name,phyl_level
Rickettsiales,order
Liberibacter,genus
Brucella,genus
Bartonella,genus
Liberibacter,genus
Brucella,genus
Bartonella,genus
Candidatus Phytoplasma,genus
Candidatus Zinderia insecticola,species
Coxiella,genus
Chlamydia,genus
Borrelia,genus
Borreliella,genus
Cristispira,genus
Brevinema andersonii,species
Phytoplasma,genus
Spiroplasma,genus
Entomoplasma,genus
Mesoplasma,genus
Ureaplasma,genus
Mycobacterium leprae,species
Mycobacterium tuberculosis,species
Mycobacterium africanum,species
Mycobacterium bovis,species
Mycobacterium canetti,species
Mycobacterium caprae,species
Mycobacterium microti,species
Mycobacterium mungi,species
Mycobacterium orygis,species
Mycobacterium pinnipedii,species
Mycobacterium suricattae,species
Tropheryma whipplei,species
Buchnera aphidicola,species
Candidatus Hodgkinia cicadicola,species
Candidatus Nasuia deltocephalinicola,species
Candidatus Carsonella ruddii,species
Candidatus Sulcia muelleri,species
Candidatus Walczuchella monophlebidarum,species
Candidatus Portiera aleyrodidarum,species
Candidatus Mikella endobia,species
Candidatus Evansia muelleri,species
Candidatus Profftella armatura,species
Candidatus Purcelliella pentastirinorum,species
Legionella endosymbiont of Polyplax serrata,species
Candidatus Westeberhardia cardiocondylae,species
Candidatus Moranella endobia,species
Blattabacterium cuenoti,species
Candidatus Hoaglandella endobia,species
Candidatus Baumannia cicadellinicola,species
Candidatus Blochmannia floridanus,species
Wigglesworthia glossinidia,species
Candidatus Blochmannia vafer,species
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,species
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,species
Candidatus Blochmannia chromaiodes,species
Candidatus Blochmannia pennsylvanicus,species
Kinetoplastibacterium blastocrithidii,species
Candidatus Kinetoplastibacterium crithidii,species
Candidatus Kinetoplastibacterium galatii,species
Candidatus Kinetoplastibacterium desouzaii,species
Arsenophonus symbiont of Lipoptena fortisetosa,species
Candidatus Providencia siddallii,species
Candidatus Doolittlea endobia,species
Candidatus Gullanella endobia,species
Cardinium endosymbiont of Encarsia pergandiella,species
Candidatus Tremblaya phenacola,species
Candidatus Tremblaya princeps,species
Candidatus Uzinura diaspidicola,species
Candidatus Riesia pthiripubis,species
Candidatus Riesia pediculischaeffi,species
Candidatus Riesia pediculicola,species
bacterium endosymbiont of Pedicinus badii,species
Candidatus Vidania fulgoroideae,species
secondary endosymbiont of Trabutina mannipara,species
Uzinura diaspidicola,species
Sulcia muelleri_A,species
Zinderia insecticola,species
Tremblaya phenacola,species
Blattabacterium,genus
Mycoplasma,genus
Mycoplasmopsis,genus
Mesomycoplasma,genus
Mycoplasmoides,genus
Mycoplasma_J,genus
Metamycoplasma,genus
Mycoplasmopsis_A,genus
Mycoplasmopsis_B,genus
Eperythrozoon_B,genus
Eperythrozoon_A,genus
