Original,New,carbon_substrate_group
1-butanol,1-butanol,alcohols
"2,3-butanediol","2,3-butanediol",alcohols
2-aminethanol,2-aminethanol,alcohols
2-butanol,2-butanol,alcohols
2-propanol,2-propanol,alcohols
adonitol,adonitol,alcohols
butanol,butanol,alcohols
cyclopentanol,cyclopentanol,alcohols
ethanol,ethanol,alcohols
H2_methanol,H2_methanol,alcohols
isobutanol,isobutanol,alcohols
methanol,methanol,alcohols
propanol,propanol,alcohols
alaninamide,alaninamide,amine/amide
dimethylamine,dimethylamine,amine/amide
glucosamine,glucosamine,amine/amide
glucuronamide,glucuronamide,amine/amide
methylamine,methylamine,amine/amide
N-acetylgulcosamine,N-acetylgulcosamine,amine/amide
phenethylamine,phenethylamine,amine/amide
trimethylamine,trimethylamine,amine/amide
urea,urea,amine/amide
glutamic acid,glutamate,amino acids
alanine,alanine,amino acids
arginine,arginine,amino acids
asparagine,asparagine,amino acids
aspartic acid (aspartate),aspartate,amino acids
glycine,glycine,amino acids
histidine,histidine,amino acids
hyroxl-proline,hyrdoxyproline,amino acids
inosine,inosine,amino acids
leucine,leucine,amino acids
ornithine,ornithine,amino acids
phenylalanine,phenylalanine,amino acids
proline,proline,amino acids
pyruvic acid (pyruvate),pyruvate,amino acids
serine,serine,amino acids
threonine,threonine,amino acids
thymidine,thymidine,amino acids
tryptophan,tryptophan,amino acids
carbon_monoxide,carbon_monoxide,one-carbon compounds
H2_CO2,H2_CO2,one-carbon compounds
formic acid,formic acid,organic acids
galactonic acid,galactonic acid,organic acids
galcturonic acid,galacturonic acid,organic acids
gamma-aminobutyric acid,gamma-aminobutyric acid,organic acids
gluconic acid,gluconic acid,organic acids
suberic acid,suberic acid,organic acids
2-ketogluconate,2-ketogluconate,organic acid derivatives
3-hydroxybenzoate,3-hydroxybenzoate,organic acid derivatives
3-hydroxybutyrate,3-hydroxybutyrate,organic acid derivatives
4-hydroxbenzoate,4-hydroxbenzoate,organic acid derivatives
5-ketoguconate,5-ketogluconate,organic acid derivatives
acetate,acetate,organic acid derivatives
adipate,adipate,organic acid derivatives
citrate,citrate,organic acid derivatives
citric acide (citrate),citrate,organic acid derivatives
itaconate,itaconate,organic acid derivatives
lactate,lactate,organic acid derivatives
malate,malate,organic acid derivatives
malonic acid (malonate),malonate,organic acid derivatives
propionic acid (propionate),propionate,organic acid derivatives
propionate,propionate,organic acid derivatives
pyruvic acid methyl ester,pyruvic acid methyl ester,organic acid derivatives
succinic acid (succinate),succinate,organic acid derivatives
trisodium citrate,trisodium citrate,organic acid derivatives
valerate,valerate,organic acid derivatives
urocanic acid,urocanic acid,organic acids
alpha-ketovaleric acid,alpha-ketovaleric acid,other
caprate,caprate,other
carnitine,carnitine,other
dimethyl_sulfide,dimethyl_sulfide,other
gelatin,gelatin,other
methyl beta-D-glucoside,methyl beta-D-glucoside,other
methyl pyruvate,methyl pyruvate,other
phenylacetate,phenylacetate,other
putrescine,putrescine,other
quinic acid,quinic acid,other
salicin,salicin,other
Tween 20,Tween 20,other
Tween 40,Tween 40,other
Tween 60,Tween 60,other
Tween 80,Tween 80,other
uridine,uridine,other
glycerol,glycerol,other
glycogen,glycogen,sugars
arabitol,arabitol,sugar alcohols
mannitol,mannitol,sugar alcohols
sorbitol,sorbitol,sugar alcohols
xylitol,xylitol,sugar alcohols
alpha-cyclodextrin,alpha-cyclodextrin,sugars
arabinose,arabinose,sugars
cellobiose,cellobiose,sugars
dextrin,dextrin,sugars
fructose,fructose,sugars
fucose,fucose,sugars
galactose,galactose,sugars
glucose,glucose,sugars
lactose,lactose,sugars
maltose,maltose,sugars
mannose,mannose,sugars
melibiose,melibiose,sugars
myo-inositol,myo-inositol,sugars
raffinose,raffinose,sugars
rhamnose,rhamnose,sugars
ribose,ribose,sugars
sucrose,sucrose,sugars
trehalose,trehalose,sugars
xylose,xylose,sugars
