Original,New,Priority,Category,,
NA,NA,0,0,,
cocci,coccus,1,1,,
Cocci,coccus,1,1,,
coccus,coccus,1,1,,
oval,coccus,1,1,,       
Coccus-shaped,coccus,1,1,,
Coccoid,coccus,1,1,,
Sphere-shaped,coccus,1,1,,
"Sphere, Ellipse",coccus,1,1,,   
Coccus,coccus,1,1,,
Sphere,coccus,1,1,,
coccus-shaped,coccus,1,1,,
"Sphere, Oval",coccus,1,1,,
"Sphere, Curved",coccus,1,1,,
Irregular coccus,coccus,1,1,,
Irregular cocci,coccus,1,1,,
Pleomorphic coccus,coccus,1,1,,
Irregular sphere,coccus,1,1,,
Diplococcus,coccus,1,1,,
Coccus to filament,coccus,1,1,,
Spherical,coccus,1,1,,
ovoid/coccobacillus,coccobacillus,1,2,,
Coccobacillus,coccobacillus,1,2,,
Irregular cocci,coccobacillus,1,2,,
Rod/cocci,coccobacillus,1,2,,
coccoid to rod,coccobacillus,1,2,,
coccobacillus,coccobacillus,1,2,,
Oval-shaped,coccobacillus,1,2,,
Ovoid-shaped,coccobacillus,1,2,,
Lancet-shaped,coccobacillus,1,2,,
Coccobacilli,coccobacillus,1,2,,
"Rod, Coccus",coccobacillus,1,2,,
Coccobacilus,coccobacillus,1,2,,
"Sphere, Rod",coccobacillus,1,2,,
"Rod, Coccobacillus",coccobacillus,1,2,,
ovoid to spherical,coccobacillus,1,2,,
"Oval, Rod",coccobacillus,1,2,,
Spore-shaped,coccobacillus,1,2,,
Oval,coccobacillus,1,2,,
rod,bacillus,1,3,,
Rod,bacillus,1,3,,
rods,bacillus,1,3,,
"Rod-shaped,",bacillus,1,3,,
Rod-shaped,bacillus,1,3,,
bacilli,bacillus,1,3,,
Bacilli,bacillus,1,3,,
rod-shaped,bacillus,1,3,,
Pleomorphic rod,bacillus,1,3,,
"Rod, Curved Rod, Forked",bacillus,1,3,,
Bacillus,bacillus,1,3,,
bacillus,bacillus,1,3,,
"Rod, Cyst",bacillus,1,3,,
"Rod, Oval",bacillus,1,3,,
peritrichous rods,bacillus,1,3,,
Flexible rod,bacillus,1,3,,
Bacill,bacillus,1,3,,
Short rod,bacillus,1,3,,
"Rod, Filament",bacillus,1,3,,
curved rods,vibrio,1,4,,
Curved-shaped,vibrio,1,4,,
Vibrio-shaped,vibrio,1,4,,
Crescent-shaped,vibrio,1,4,,
Bean-shaped,vibrio,1,4,,
Vibrios,vibrio,1,4,,
Curved-Shaped,vibrio,1,4,,
CurvedShaped,vibrio,1,4,,
Curved,vibrio,1,4,,
Vibrio,vibrio,1,4,,
Curve-Shaped,vibrio,1,4,,
Vibroid,vibrio,1,4,,
Vibrios,vibrio,1,4,,
curved rod,vibrio,1,4,,
Crescent,vibrio,1,4,,
vibrio,vibrio,1,4,,
Curved-shape,vibrio,1,4,,
Curved rod,vibrio,1,4,,
slightly curved or spiral rods,vibrio,1,4,,
spirillum/corkscrew,spiral,1,5,,
Sheathed spiral,spiral,1,5,,
helical,spiral,1,5,,
spiral,spiral,1,5,,
Helical-shaped,spiral,1,5,,
Spiral-shaped,spiral,1,5,,
Spiral,spiral,1,5,,
Spirilla,spiral,1,5,,
Helically coiled,spiral,1,5,,
Spirilillum,spiral,1,5,,
spiral-shaped,spiral,1,5,,
tightly coiled spirals,spiral,1,5,,
Helical,spiral,1,5,,
"Spiral, Curved",spiral,1,5,,
spirilla,spiral,1,5,,
filamentous,filament,1,7,,
Filamentous,filament,1,7,,
Filaments,filament,1,7,,
Filament-shaped,filament,1,7,,
Filament,filament,1,7,,
Filamentous rod,filament,1,7,,
Filament-shaped,filament,1,7,,
Branched,branced,1,17,,
Branched septate hyphae,branced,1,17,,
Branched filament,filament,1,17,,
Disc-shaped,disc ,1,6,,
Irregular disc,disc ,1,6,,
Pleomorphic,pleomorphic,1,8,,
Pleomorphic-shaped,pleomorphic,1,8,,
Star-shaped,star,1,9,,
Irregular-shaped,irregular,1,10,,
Flask-shaped,flask,1,11,,
Square-shaped,square,1,12,,
SquareShaped,square,1,12,,
Fusiform,fusiform,1,13,,
Fusobacteria,fusiform,1,13,,
Spindle-shaped,spindle,1,14,,
Triangular,triangular,1,15,,
Tailed,tailed,1,16,,
Ring,ring,1,18,,
Spirochete,spirochete,1,19,,
Rod or Coccus or V-shaped,NA,0,0,,
