Original,New,pathway_group
acetoclastic_methanogenesis,methanogenesis_acetoclastic,methanogenesis
acetogenesis,acetogenesis,acetogenesis
aerobic_ammonia_oxidation,nitrification,nitrogen
aerobic_anoxygenic_phototrophy,aerobic_anoxygenic_phototrophy,phototrophy
aerobic_chemoheterotophy,aerobic_chemoheterotophy,heterotrophy
aerobic_chemoheterotrophy,aerobic_chemoheterotrophy,heterotrophy
aerobic_heterotrophy,aerobic_heterotrophy,heterotrophy
aerobic_nitrite_oxidation,nitrite_oxidation,nitrogen
aliphatic_non_methane_hydrocarbon_degradation,aliphatic_non_methane_hydrocarbon_degradation,hydrocarbon
aminoacid_degradation,aminoacid_degradation,aminoacids
ammoniaoxidizer,nitrification,nitrogen
anammox,annamox,nitrogen
anoxygenic_photoautotrophy,anoxygenic_photoautotrophy,phototrophy
anoxygenic_photoautotrophy_Fe_oxidizing,anoxygenic_photoautotrophy_iron_oxidation,iron
anoxygenic_photoautotrophy_H2_oxidizing,anoxygenic_photoautotrophy_hydrogen_oxidation,phototrophy
anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy_sulfur_oxidation,sulfur
aromatic_compound_degradation,aromatic_compound_degradation,hydrocarbon
aromatic_hydrocarbon_degradation,aromatic_hydrocarbon_degradation,hydrocarbon
arsenate_detoxification,arsenate_reduction,arsen
arsenate_respiration,arsenate_reduction,arsen
arsenite_oxidation_detoxification,arsenite_oxidation,arsen
arsenite_oxidation_energy_yielding,arsenite_oxidation,arsen
carbonmonoxide_oxidation,carbonmonoxide_oxidation,carbonmonoxide
"carbonmonoxide_reduction, methanogenesis","carbonmonoxide_reduction, methanogenesis",carbonmonoxide
carbonylsulfide_oxidation,carbonylsulfide_oxidation,sulfur
carbonylsulfide_reduction,carbonylsulfide_reduction,sulfur
cellulolysis,cellulose_degradation,heterotrophy
cellulosedegrader,cellulose_degradation,heterotrophy
chalcopyrite_oxidation,chalcopyrite_oxidation,iron
chemoheterotrophy,chemo_heterotrophy,heterotrophy
chitinolysis,chitin_degradation,heterotrophy
chlorate_reducers,chlorate_reduction,chlorate
cobalt_reduction,cobalt_reduction,cobalt
covellite_oxidation,covellite_oxidation,iron
dark_hydrogen_oxidation,hydrogen_oxidation_dark,hydrogen
dark_iron_oxidation,iron_oxidation_dark,iron
dark_oxidation_of_sulfur_compounds,sulfur_compound_oxidation_dark,sulfur
dark_sulfide_oxidation,sulfide_oxidation_dark,sulfur
dark_sulfite_oxidation,sulfite_oxidation_dark,sulfur
