name,full_name
M. denitrificans,Micrococcus denitrificans
T. denitrificans,Thiobacillus denitrificans
C. perfringens,Clostridium perfringens
P. aeruginosa,Pseudomonas aeruginosa
P. denitrificans,Paracoccus denitrificans
P. fumarii (,Pyrolobus fumarii
V. alcalescens,Veillonella parvula
D. desulfuricans,Desulfovibrio desulfuricans
D. lacustre,Desulfonatronum lacustre
D. kuznetsovii,Desulfotomaculum kuznetsovii
D. hydrogenovorans,Desulfonatronovibrio hydrogenovorans
D. halophilum,Desulfotomaculum halophilum
D. rhabdoformis,Desulfobulbus rhabdoformis
T. thiopara,Thermothrix thiopara
D. sulfodismutans,Desulfovibrio sulfodismutans
D. sulfoexigens,Desulfocapsa sulfexigens
D. thiozymogenes,Desulfocapsa thiozymogenes
T. neapolitanus,Halothiobacillus neapolitanus
T. tepidarius,Thermithiobacillus tepidarius
T. chilensis,Thiomicrospira chilensis
T. thiooxidans,Thiobacillus thiooxidans
T. ferrooxidans,Thiobacillus ferrooxidans
T. prosperus,Thiobacillus prosperus
T. crunogena,Thiomicrospira crunogena
S. arcachonense,Sulfurospirillum arcachonense
T. chileae,Thioploca chileae
T. araucae,Thioploca araucae
M. barkeri,Methanosarcina barkeri
M. halotolerans,Methanocalculus halotolerans
M. subterraneum,Methanobacterium subterraneum
M. petrolearius,Methanolacinia petrolearia
N. acetigena,Natroniella acetigena
S. barnesii strain SES?3,Sulfurospirillum barnesii str. SES-3
B. selenitireducens,Bacillus selenitireducens
B. stearothermophilus,Bacillus Stearothermophilus
D. vacuolatus,Desulforhopalus vacuolatus
Desulfotomaculum nigrificans ssp. salinus,Desulfotomaculum nigrificans ssp. salinus
D. auripigmentum,Desulfotomaculum auripigmentum
S. barnesii strain SES-3 (,Sulfurospirillum barnesii str. SES-3
D. toluolica,Desulfobacula toluolica
D. acetoxidans,Desulfuromonas acetoxidans
E. coli,Escherichia coli
D. peptidovorans,Dethiosulfovibrio peptidovorans
G. sulfurreducens,Geobacter sulfurreducens
G. metallireducens,Geobacter metallireducens
D. palmitatis,Desulfuromonas palmitatis
B. arsenicoselenatis,Bacillus arseniciselenatis
S. putrefaciens,Shewanella putrefaciens
Sulfurospirillum barnesii strain SES-3,Sulfurospirillum barnesii str. SES-3
strain EbN1,Aromatoleum aromaticum
 strain PbN1, Pseudomonas sp. Strain PbN1
