id,organisms
A1 ,"Acidovorax delafieldii, Acidovorax facilis, Alcaligenes xylosoxidans, Ancylobacter aquaticus, Hydrogenophaga palleronii, Pseudomonas hydrogenovora, Xanthobacter autotrophicus[379], P. fumarii[9]Sulfolobus acidocaldarius, Sulfolobus solfataricus, Sulfolobus shibatae, A. brierleyi, A. infernus, M. sedula[293]Bacillus schlegelii[189]Hydrogenobacter halophilus[225]Hydrogenophilus thermoluteolus[228], [229]Calderobacterium hydrogenophilum[195], M. prunae[296], Hydrogenobacter thermophilus[226], P. aerophilum[345], A. pyrophilus[82], Hydrogenobacter acidophilus[224], Sulfurospirillum arcachonense[380]"
A2 ,Acetobacter peroxidans [381]
B1,"As written: F. placidus[84], A. pyrophilus[82], Veillonella alcalescens, Micrococcus denitrificans, Thiobacillus denitrificans[6]"
B1,Inferred: B. schlegelii[189]C. hydrogenophilum[195]
B1,"Hydrogen from an organic source: Pseudomonas strain MT?1 [385], Silicibacter lacuscaerulensis[386], P. aerophilum[345], Thermothrix thioparus[277], [278], Clostridium perfringens, Aerobacter aerogenes, Escherichia coli, Pseudomonas aeruginosa, Pseudomonas denitrificans, Spirillum itersoni, Selenomonas ruminantium[6]"
B2,"As written: A. pyrophilus [82], M. denitrificans, T. denitrificans[6]"
B2,"Hydrogen from an organic source: P. aerophilum [345], T. thioparus[277], [278], C. perfringens, P. aeruginosa, P. denitrificans[6]"
B3,"As written: Ammonifex degensii [187], P. fumarii ([9], V. alcalescens[6]"
B4,"As written: Nitrobacter, Nitrospina, Nitrococcus[387]"
B5,"As written: F. placidus [84], M. denitrificans, T. denitrificans[6]"
B5,"Hydrogen from an organic source: T. thioparus [277], [278], C. perfringens, P. aeruginosa, P. denitrificans[6]"
B6,"As written: A. pyrophilus [82], M. denitrificans, T. denitrificans[6],"
B6,"Hydrogen from an organic source: T. thioparus [277], [278], C. perfringens, P. aeruginosa, P. denitrificans[6]"
B7,"As written: M. denitrificans, T. denitrificans[6]"
B7,"Hydrogen from an organic source: T. thioparus [277], [278], C. perfringens, P. aeruginosa, P. denitrificans[6]"
B8,"As written: M. denitrificans, T. denitrificans[6]"
B8,"Hydrogen from an organic source: T. thioparus [277], [278], C. perfringens, P. aeruginosa, P. denitrificans[6]"
B9,"As written: Methanosarcina barkeri [388], Desulfovibrio gigas, Desulfovibrio vulgaris, Desulfovibrio desulfuricans, Desulfovibrio salexigens[389], Desulfovibrio africanus[389], [390], Desulfovibrio baculatus[390]"
