Note:
Results of the csv export.
If more than one entry per data field is available for a strain, the export contains multiple lines per strain.
At the end of the line you find the reference for each exported entry.


Export with Textmined data

strains.ID_strains;strains.Culture collection no.;strains.Species;strains.Strain Designation;strains_tax_PNU.Species (PNU);strains_tax_PNU.ID_reference
"145172";"CCUG 27806";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"148055";"CCUG 34739";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"148519";"CCUG 35584";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"149144";"CCUG 36937";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"150280";"CCUG 39479";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"152186";"CCUG 46001";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"152552";"CCUG 47045";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"152579";"CCUG 47112";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"153374";"CCUG 49368";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"154020";"CCUG 52016";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"154929";"CCUG 55745";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"155280";"CCUG 57181";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"155432";"CCUG 57749";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"156779";"CCUG 65103";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"152516";"CCUG 46990 B";"Abiotrophia defectiva";"";"Abiotrophia defectiva";"20215";

"152884";"CCUG 47876";"Achromobacter denitrificans";"";"Achromobacter denitrificans";"20215";

"130545";"DSM 25450, CECT 8062";"Acidipropionibacterium damnosum";"IGBL13";"Acidipropionibacterium damnosum";"20215";

"12650";"DSM 20279, ATCC 4870, CCM 1860, NCDO 565, NCIB 5962, CCUG 28150, LMG 16727";"Acidipropionibacterium jensenii";"20";"Acidipropionibacterium jensenii";"20215";

"12654";"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966";"Acidipropionibacterium thoenii";"15";"Acidipropionibacterium thoenii";"20215";

"12655";"DSM 20277, ATCC 4872, NCDO 854, NCIB 8072, CCUG 36817";"Acidipropionibacterium thoenii";"19";"Acidipropionibacterium thoenii";"20215";

"155136";"CCUG 56561";"Acidovorax temperans";"";"Acidovorax temperans";"20215";

"150562";"CCUG 41605";"Acinetobacter parvus";"";"Acinetobacter parvus";"20215";

"152037";"CCUG 45618";"Acinetobacter parvus";"";"Acinetobacter parvus";"20215";

"153436";"CCUG 49585";"Acinetobacter parvus";"";"Acinetobacter parvus";"20215";

"153921";"CCUG 51650";"Acinetobacter parvus";"";"Acinetobacter parvus";"20215";

"156066";"CCUG 60254";"Acinetobacter pittii";"";"Acinetobacter pittii";"20215";

"155009";"CCUG 56074";"Acinetobacter sp.";"";"Acinetobacter sp.";"20215";

"154881";"CCUG 55524";"Acinetobacter ursingii";"";"Acinetobacter ursingii";"20215";

"11691";"DSM 26423, CCM 7846, CCUG 60324";"Actinobacillus anseriformium";"F66";"Actinobacillus anseriformium";"20215";

"151618";"CCUG 44466";"Actinobacillus anseriformium";"";"Actinobacillus anseriformium";"20215";

"11688";"DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500";"Actinobacillus arthritidis";"P. 907, Wetmore 1706";"Actinobacillus arthritidis";"20215";

"152515";"CCUG 46989";"Actinobacillus capsulatus";"";"Actinobacillus capsulatus";"20215";

"11671";"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870";"Actinobacillus delphinicola";"M906/93";"Actinobacillus delphinicola";"20215";

"152311";"CCUG 46400";"Actinobacillus equuli subsp. haemolyticus";"";"Actinobacillus equuli subsp. haemolyticus";"20215";

"11677";"DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529";"Actinobacillus hominis";"12, P 578";"Actinobacillus hominis";"20215";

"11678";"DSM 19770, ATCC 19363, JCM 2431, NCTC 4976, CCUG 23133";"Actinobacillus lignieresii";"CM 2";"Actinobacillus lignieresii";"20215";

"11672";"DSM 13472, ATCC 27088, CCM 5869";"Actinobacillus pleuropneumoniae";"Shope 4074";"Actinobacillus pleuropneumoniae";"20215";

"138969";"CIP 104082, CCUG 41657";"Actinobacillus pleuropneumoniae";"";"Actinobacillus pleuropneumoniae";"20215";

"11684";"DSM 22435, CCUG 38924, CIP 105315";"Actinobacillus porcinus";"NM319";"Actinobacillus porcinus";"20215";

"152827";"CCUG 47722";"Actinobacillus rossii";"";"Actinobacillus rossii";"20215";

"11686";"DSM 22205, CCUG 46379, CIP 105697, NCTC 12922";"Actinobacillus scotiae";"M2000/95/1";"Actinobacillus scotiae";"20215";

"143363";"CCUG 18731";"Actinobacillus seminis";"";"Actinobacillus seminis";"20215";

"144191";"CCUG 23440";"Actinobacillus seminis";"";"Actinobacillus seminis";"20215";

"152745";"CCUG 47532";"Actinobacillus sp.";"";"Actinobacillus sp.";"20215";

"11682";"DSM 22433, ATCC 33415, CCM 5586, CCUG 11624, CIP 103354, NCTC 12996";"Actinobacillus suis";"";"Actinobacillus suis";"20215";

"144139";"CCUG 23136";"Actinobacillus suis";"";"Actinobacillus suis";"20215";

"152808";"CCUG 47662";"Actinobacillus suis";"";"Actinobacillus suis";"20215";

"152809";"CCUG 47663";"Actinobacillus suis";"";"Actinobacillus suis";"20215";

"11670";"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139";"Actinobacillus ureae";"3520/59";"Actinobacillus ureae";"20215";

"142640";"CCUG 13515";"Actinobacillus ureae";"";"Actinobacillus ureae";"20215";

"152319";"CCUG 46419";"Actinobacillus ureae";"";"Actinobacillus ureae";"20215";

"152408";"CCUG 46713";"Actinobacillus ureae";"";"Actinobacillus ureae";"20215";

"153136";"CCUG 48551";"Actinobacillus ureae";"";"Actinobacillus ureae";"20215";

"132079";"DSM 100580, CSUR P1982, FC1";"Actinobaculum massiliense";"FC3";"Actinobaculum massiliense";"20215";

"16977";"DSM 44761, CCUG 46403";"Actinomadura nitritigenes";"";"Actinomadura nitritigenes";"20215";

"16978";"DSM 44762, CCUG 47067";"Actinomadura nitritigenes";"";"Actinomadura nitritigenes";"20215";

"16960";"DSM 44763, CCUG 48058";"Actinomadura sp.";"";"Actinomadura sp.";"20215";

"154575";"CCUG 54455";"Actinomadura sp.";"";"Actinomadura sp.";"20215";

"17000";"DSM 45233, CCUG 56589";"Actinomadura sputi";"IMMIB L-889";"Actinomadura sputi";"20215";

"177";"DSM 15435, CCUG 37421, CIP 106647";"Actinomyces bowdenii";"M1327/95/1";"Actinomyces bowdenii";"20215";

"131091";"DSM 28589";"Actinomyces bowdenii";"21_37, ERD15F";"Actinomyces bowdenii";"20215";

"147910";"CCUG 34477";"Actinomyces bowdenii";"";"Actinomyces bowdenii";"20215";

"180";"DSM 15536, CCUG 41706, CIP 106351, IFR M2289/98/2";"Actinomyces canis";"";"Schaalia canis";"20215";

"175";"DSM 15415, CCUG 41709, CIP 106507";"Actinomyces catuli";"M1192/98/1";"Actinomyces catuli";"20215";

"150948";"CCUG 42832, DSM 10006";"Actinomyces catuli";"";"Actinomyces catuli";"20215";

"179";"DSM 15436, CCUG 41708, CIP 106873";"Actinomyces coleocanis";"M343/98/2";"Gleimia coleocanis";"20215";

"149";"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758";"Actinomyces denticolens";"Sh8/4303";"Actinomyces denticolens";"20215";

"147914";"CCUG 34481";"Actinomyces denticolens";"";"Actinomyces denticolens";"20215";

"181";"DSM 15537, CCUG 42773, CIP 106713, KCTC 15233";"Actinomyces funkei";"Hudd B9912678";"Schaalia funkei";"20215";

"159";"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963";"Actinomyces gerencseriae";"2-606-032, VPI 12594";"Actinomyces gerencseriae";"20215";

"186";"DSM 15540, CCUG 27294, CIP 105737, CCM 4739";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"138236";"CIP 105738, CCUG 29516";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"146952";"CCUG 32536";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"148604";"CCUG 35697";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"152244";"CCUG 46196";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"152519";"CCUG 46994";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"152640";"CCUG 47256";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"152878";"CCUG 47855";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"152964";"CCUG 48141";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"153181";"CCUG 48659";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"153186";"CCUG 48673";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"153253";"CCUG 48895";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"153643";"CCUG 50473";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"153878";"CCUG 51480";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"153949";"CCUG 51733";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"153986";"CCUG 51841";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"155191";"CCUG 56860";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"155266";"CCUG 57140";"Actinomyces graevenitzii";"";"Actinomyces graevenitzii";"20215";

"147057";"CCUG 32757, ATCC 43323, NCTC 11636";"Actinomyces howellii";"";"Actinomyces howellii";"20215";

"170";"DSM 10695, ATCC 51367, CIP 103923, NCFB 2983, CCUG 35604";"Actinomyces hyovaginalis";"BM 1192/5";"Schaalia hyovaginalis";"20215";

"146033";"CCUG 30217";"Actinomyces israelii";"";"Actinomyces israelii";"20215";

"148770";"CCUG 35922";"Actinomyces israelii";"";"Actinomyces israelii";"20215";

"174";"DSM 15383, CCUG 41710, CIP 106509";"Actinomyces marimammalium";"M1749/98/1";"Boudabousia marimammalium";"20215";

"147663";"CCUG 33970";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"147766";"CCUG 34193";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"147778";"CCUG 34212";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148087";"CCUG 34801";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148088";"CCUG 34802";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148089";"CCUG 34803";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148090";"CCUG 34804";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148091";"CCUG 34805";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148092";"CCUG 34806";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148094";"CCUG 34808";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148096";"CCUG 34810";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148098";"CCUG 34812";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148099";"CCUG 34813";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148100";"CCUG 34814";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148101";"CCUG 34815";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148102";"CCUG 34816";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148106";"CCUG 34820";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148107";"CCUG 34821";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"148117";"CCUG 34838";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"150657";"CCUG 41882";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"152609";"CCUG 47191";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"152642";"CCUG 47269";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"153158";"CCUG 48600";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"153535";"CCUG 50100";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"153994";"CCUG 51873";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"153997";"CCUG 51890";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"155289";"CCUG 57217";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"155904";"CCUG 59618";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"156424";"CCUG 61684";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"156892";"CCUG 66423";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"155214";"CCUG 56934 B";"Actinomyces naeslundii";"";"Actinomyces naeslundii";"20215";

"188";"DSM 19116, CCUG 46092, CIP 107668";"Actinomyces nasicola";"";"Bowdeniella nasicola";"20215";

"195";"DSM 26713, CCUG 56698, NRRL-B-24670, NRRL B-24670";"Actinomyces naturae";"BL-79";"Schaalia naturae";"20215";

"166";"DSM 8577, CCUG 32253";"Actinomyces neuii subsp. anitratus";"50/90";"Winkia neuii subsp. anitrata";"20215";

"167";"CCUG 32252, DSM 8576, ATCC 51847";"Actinomyces neuii subsp. neuii";"97/90";"Winkia neuii";"20215";

"147118";"CCUG 32894";"Actinomyces oris";"";"Actinomyces oris";"20215";

"147392";"CCUG 33516";"Actinomyces oris";"";"Actinomyces oris";"20215";

"147441";"CCUG 33589";"Actinomyces oris";"";"Actinomyces oris";"20215";

"147775";"CCUG 34209";"Actinomyces oris";"";"Actinomyces oris";"20215";

"149496";"CCUG 37856";"Actinomyces oris";"";"Actinomyces oris";"20215";

"152668";"CCUG 47315";"Actinomyces oris";"";"Actinomyces oris";"20215";

"154696";"CCUG 54866";"Actinomyces oris";"";"Actinomyces oris";"20215";

"155922";"CCUG 59654";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156243";"CCUG 60842, JCM 8352, ATCC 43146";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156493";"CCUG 62100";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156731";"CCUG 64609";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156830";"CCUG 65932";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156847";"CCUG 66038";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156972";"CCUG 67812";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156997";"CCUG 68389";"Actinomyces oris";"";"Actinomyces oris";"20215";

"157066";"CCUG 69305";"Actinomyces oris";"";"Actinomyces oris";"20215";

"157174";"CCUG 70054";"Actinomyces oris";"";"Actinomyces oris";"20215";

"155213";"CCUG 56934 A";"Actinomyces oris";"";"Actinomyces oris";"20215";

"156974";"CCUG 67859 B";"Actinomyces oris";"";"Actinomyces oris";"20215";

"176";"DSM 15433, CCUG 36733, CIP 106352";"Actinomyces radicidentis";"AO 96-06841";"Actinomyces radicidentis";"20215";

"164";"DSM 43322, ATCC 29322, CCUG 32939";"Actinomyces sp.";"8/46-47, WVU 307";"Actinomyces sp.";"20215";

"165";"DSM 43329";"Actinomyces sp.";"WVU 1065";"Actinomyces sp.";"20215";

"147624";"CCUG 33915";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"148183";"CCUG 35002";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"152272";"CCUG 46285";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"153254";"CCUG 48896";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"153793";"CCUG 50986";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"156027";"CCUG 60122";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"156499";"CCUG 62191";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"157057";"CCUG 69246";"Actinomyces sp.";"";"Actinomyces sp.";"20215";

"182";"DSM 15538, CCUG 39276, CIP 106779, SVA 489II";"Actinomyces suimastitidis";"";"Schaalia suimastitidis";"20215";

"193";"KCTC 15137, DSM 23838, CCUG 55928, CSUR P35";"Actinomyces timonensis";"7400942";"Actinomyces timonensis";"20215";

"178";"DSM 15434, CCUG 38702, CIP 106421";"Actinomyces urogenitalis";"";"Actinomyces urogenitalis";"20215";

"145523";"CCUG 28744";"Actinomyces urogenitalis";"";"Actinomyces urogenitalis";"20215";

"151396";"CCUG 44038";"Actinomyces urogenitalis";"";"Actinomyces urogenitalis";"20215";

"151531";"CCUG 44229";"Actinomyces urogenitalis";"";"Actinomyces urogenitalis";"20215";

"152932";"CCUG 48051";"Actinomyces urogenitalis";"";"Actinomyces urogenitalis";"20215";

"144930";"CCUG 27172";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147055";"CCUG 32751";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147442";"CCUG 33590";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147450";"CCUG 33599";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147507";"CCUG 33713";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147658";"CCUG 33964";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147776";"CCUG 34210";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147777";"CCUG 34211";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147779";"CCUG 34213";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"147780";"CCUG 34214";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148095";"CCUG 34809";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148097";"CCUG 34811";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148103";"CCUG 34817";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148104";"CCUG 34818";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148105";"CCUG 34819";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148108";"CCUG 34822";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148114";"CCUG 34835";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148115";"CCUG 34836";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148116";"CCUG 34837";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148118";"CCUG 34839";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148119";"CCUG 34840";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148120";"CCUG 34841";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148121";"CCUG 34842";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148122";"CCUG 34843";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148123";"CCUG 34844";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148124";"CCUG 34845";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148125";"CCUG 34846";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148126";"CCUG 34847";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148176";"CCUG 34991";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148177";"CCUG 34992";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148178";"CCUG 34993";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148179";"CCUG 34994";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148180";"CCUG 34995";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"148181";"CCUG 34996";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"156083";"CCUG 60330";"Actinomyces viscosus";"";"Actinomyces viscosus";"20215";

"196";"DSM 24894, CCM 7951, CCUG 61299, CIP 110333, LMG 26472";"Actinomyces weissii";"2298, 2298/06";"Actinomyces weissii";"20215";

"145";"DSM 15541, CCUG 27420, CIP 105739, LMG 18293, CCM 4738";"Actinotignum schaalii";"B 5329";"Actinotignum schaalii";"20215";

"152374";"CCUG 46571";"Actinotignum schaalii";"";"Actinotignum schaalii";"20215";

