ref_code,reference
1,"Eagon RG. Pseudomonas natriegens, a marine bacterium with a generation time of less than 10 minutes. J Bacteriol. 1962;83(4):736-737."
2,"Karnauchow TM, Koval SF, Jarrell KF. Isolation and characterization of three thermophilic anaerobes from a St. Lucia hot spring. Syst Appl Microbiol. 1992;15(2):296-310."
3,"Xiao Z, Wang X, Huang Y, Huo F, Zhu X, Xi L, et al. Thermophilic fermentation of acetoin and 2, 3-butanediol by a novel Geobacillus strain. Biotechnol Biofuels. 2012;5(1):88."
4,"Rivard CJ, Smith PH. Isolation and characterization of a thermophilic marine methanogenic bacterium, Methanogenium thermophilicum sp. nov. Int J Syst Bacteriol. 1982;32(4):430-436."
5,"McLachlan JL, Curtis JM, Boutilier K, Keusgen M, Seguel MR. Tetreutreptia pomquetensis (Euglenophyta), a psychrophilic species: growth and fatty acid composition. J Phycol. 1999;35(2):280-286."
6,Barber MA. The rate of multiplication of Bacillus coli at different temperatures. J Infect Dis. 1908 October;5(4):379-400. Syn Escherichia coli.
7,"Miroshnichenko ML, Kublanov IV, Kostrikina NA, Tourova TP, Kolganova TV, Birkeland NK, et al. Caldicellulosiruptor kronotskyensis sp. nov. and Caldicellulosiruptor hydrothermalis sp. nov., two extremely thermophilic, cellulolytic, anaerobic bacteria from Kamchatka thermal springs. Int J Syst Evol Microbiol. 2008;58(6):1492-1496."
8,"Bredholt S, Sonne-Hansen J, Nielsen P, Mathrani IM, Ahring BK. Caldicellulosiruptor kristjanssonii sp. nov., a cellulolytic, extremely thermophilic, anaerobic bacterium. Int J Syst Bacteriol. 1999;49(3):991-996."
9,"Nielsen P, Mathrani IM, Ahring BK. Thermoanaerobium acetigenum spec. nov., a new anaerobic, extremely thermophilic, xylanolytic nonspore-forming bacterium isolated from an Icelandic hot spring. Arch Microbiol. 1993;159(5):460-464."
10,"Yang SJ, Kataeva I, Wiegel J, Yin Y, Dam P, Xu Y, et al. Classification of ‘Anaerocellum thermophilum’ strain DSM 6725 as Caldicellulosiruptor bescii sp. nov. Int J Syst Evol Microbiol. 2010;60(9):2011-2015."
