"strain.code","T.C","rate.per.minute","domain","kingdom","phylum","binomial.name","aero","trophy"
1,37,0.0707293041387698,"Bacteria","Bacteria","Proteobacteria","Vibrio natriegens","FA","H"
2,65,0.00231049060186648,"Bacteria","Bacteria","Firmicutes","Desulfotomaculum sp.","AN","A"
3,28,0.00133233877829634,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,35,0.00363270495020308,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,40,0.00464986233625525,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,45,0.00534466935201827,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,50,0.00534466935201827,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,55,0.00522456442276839,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,60,0.00360454444670961,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
3,65,0.00123666551496209,"Bacteria","Bacteria","Firmicutes","Geobacillus sp.","FA","H"
4,36.923642536,0.00112257610226178,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,45.0895443086,0.0034506554002774,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,50.0141496482,0.00537122196944578,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,55.0979492282,0.00666666666666667,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,60.1170377027,0.00483552702848868,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
4,65.067806341,2.10973892318967e-05,"Archaea","Euryarchaeota","Euryarchaeota","Methanogenium thermophilicum","AN","H"
5,-0.0127237823117,0.00141373424578538,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
5,4.97849606381,0.00198412698412698,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
5,6.87247942616,0.00158510600979969,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
5,9.98820631873,0.000405700766508615,"Eukarya","Protozoa","Euglenozoa","Tetreutreptia pomquetensis","A","M"
6,14.411664484,0.003496941312152,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,16.4531520782,0.00573426086320505,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,18.502234814,0.00708468741959034,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,19.5631287698,0.00731608521543578,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,21.5209022025,0.0115849156782128,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,23.0472786534,0.0131008763566768,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
6,24.1293790206,0.0139380636953467,"Bacteria","Bacteria","Proteobacteria","Escherichia coli","FA","H"
