Code,Strain/species name,Aero.,Troph.,Smp.,Tmin,Topt,Tmax,Lit.
1,Vibrio natriegens,FA,H,1,37.0,37.0,37.0,1
2,Desulfotomaculum sp.,AN,A,1,65.0,65.0,65.0,2
3,Geobacillus sp.,FA,H,8,28.0,47.5,65.0,3
4,Methanogenium thermophilicum,AN,H,6,36.9,55.1,65.1,4
5,Tetreutreptia pomquetensis,A,M,4,-0.0,5.0,10.0,5
6,Escherichia coli,FA,H,20,14.4,37.6,47.5,6
7,Caldicellulosiruptor hydrothermalis,AN,H,1,65.0,65.0,65.0,7
8,Caldicellulosiruptor kronotskyensis,AN,H,1,70.0,70.0,70.0,7
9,Caldicellulosiruptor kristjanssonii,AN,H,1,78.0,78.0,78.0,8
10,Caldicellulosiruptor acetigenus,AN,H,7,50.1,64.9,78.1,9
11,Caldicellulosiruptor bescii,AN,H,13,37.0,77.9,89.9,10
12,Caminibacter hydrogeniphilus,AN,A,1,60.0,60.0,60.0,11
13,Caminibacter mediatlanticus,AN,A,1,55.0,55.0,55.0,11
14,Caminibacter profundus,FA,A,1,55.0,55.0,55.0,11
15,Caminibacter profundus,FA,A,1,55.0,55.0,55.0,12
16,Noctiluca scintillans,A,H,4,12.0,16.0,27.0,13
17,Bacterial str.,A,M,21,34.0,55.2,60.1,14
18,Thermoanaerobaculum aquaticum,AN,H,1,60.0,60.0,60.0,15
19,Bacterial str.,A,H,5,-9.4,5.0,5.0,16
20,Thermococcoides shengliensis,AN,H,1,65.0,65.0,65.0,17
21,Mesoaciditoga lauensis,AN,H,1,58.5,58.5,58.5,18
22,Clostridium thermobutyricum,AN,H,1,55.0,55.0,55.0,19
23,Clostridium thermobutyricum,AN,H,36,26.2,53.5,60.0,20
24,Vibrio sp.,FA,H,5,15.0,30.0,35.0,21
25,Desulfitobacterium dehalogenans,AN,H,15,17.1,38.1,44.9,22
26,Clostridium thermocellum,AN,H,2,60.0,60.0,60.0,23
27,Macrotrachela quadricornifra,A,H,3,16.0,24.0,24.0,24
28,Macrotrachela quadricornifra,A,H,3,16.0,24.0,24.0,24
29,Macrotrachela quadricornifra,A,H,3,16.0,24.0,24.0,24
30,Macrotrachela quadricornifra,A,H,3,16.0,24.0,24.0,24
31,Macrotrachela quadricornifra,A,H,3,16.0,24.0,24.0,24
32,Lactococcus paracasei,FA,H,35,5.9,32.9,39.9,25
33,Streptococcus thermophilus,FA,H,22,29.8,46.0,51.0,25
34,Clostridium perfringens,AN,H,11,19.0,49.0,49.0,26
35,Acroperus harpae,A,H,4,5.0,20.0,20.0,27
36,Alona affinis,A,H,4,5.0,20.0,20.0,27
37,Chydorus sphaericus,A,H,4,5.0,20.0,20.0,27
38,Eurycercus lamellatus,A,H,4,5.0,20.0,20.0,27
39,Graptoleberis testudinaria,A,H,4,5.0,20.0,20.0,27
40,Pleuroxus uncinatus,A,H,4,5.0,20.0,20.0,27
41,Sida crystallina,A,H,3,10.0,20.0,20.0,27
42,Simocephalus vetulus,A,H,3,10.0,20.0,20.0,27
43,Clostridium perfringens,AN,H,29,13.0,43.0,51.0,28
44,Clostridium perfringens,AN,H,28,13.0,40.0,51.0,28
45,Clostridium perfringens,AN,H,31,10.0,43.0,51.1,28
46,Desulfuromonas acetoxidans,AN,H,1,30.0,30.0,30.0,29
47,Sulfolobus acidocaldarius,A,M,1,70.0,70.0,70.0,30
48,Methanothermus sociabilis,AN,A,1,80.0,80.0,80.0,31
49,Methanothermus sociabilis,AN,A,1,88.0,88.0,88.0,31
50,Methanothermus sociabilis,AN,A,1,77.0,77.0,77.0,31
51,Archaeoglobus fulgidus,AN,M,1,76.0,76.0,76.0,32
52,Ceriodaphnia dubia,A,H,4,10.0,25.0,25.0,33
53,Plasmodium falciparum,A,H,1,37.0,37.0,37.0,34
54,Clostridium perfringens,AN,H,2,41.0,41.0,45.0,35
55,Clostridium perfringens,AN,H,1,45.0,45.0,45.0,35
56,Clostridium perfringens,AN,H,2,41.0,45.0,45.0,35
57,Clostridium perfringens,AN,H,2,41.0,45.0,45.0,35
58,Clostridium termitidis,AN,H,8,20.1,37.6,45.0,36
59,Methanolobus zinderi,AN,H,6,24.9,42.0,50.1,37
60,Paraphysomonas imperforata,A,H,4,14.0,26.0,26.0,38
61,Monas sp.,A,H,4,3.0,23.5,30.0,39
62,Desulfovibrio cuneatus,FA,H,6,4.0,27.9,32.9,40
63,Desulfovibrio cuneatus,FA,H,5,3.9,28.0,32.8,40
64,Desulfovibrio litoralis,FA,H,5,4.0,27.9,33.0,40
65,Candida sphaerica,FA,H,10,3.8,31.8,36.8,41
66,Kluyveromyces blattae,FA,H,9,7.8,31.9,37.1,41
67,Kluyveromyces thermotolerans,FA,H,11,3.7,34.5,40.7,41
68,Candia sphaerica,FA,H,10,3.8,31.8,37.0,41
69,Kluyveromyces battae,FA,H,10,7.9,31.7,40.6,41
70,Kluyveromyces thermotolerans,FA,H,11,3.5,34.7,40.8,41
71,Methanofollis aquaemaris,AN,H,4,19.9,36.9,36.9,42
72,Methanofollis aquaemaris,AN,H,6,19.9,36.6,42.6,42
73,Halomonas kenyensis,FA,H,8,11.9,40.9,48.6,43
74,Halomonas mongoliensis,FA,H,7,15.9,40.5,51.0,43
75,Methanoculleus chikugoensis,AN,H,5,15.1,25.3,40.2,44
76,Methanoculleus palmolei,AN,H,6,25.9,40.0,49.0,45
77,Marinobacter alkaliphilus,FA,H,7,10.6,30.1,45.1,46
78,Clostridium difficile,AN,H,1,37.0,37.0,37.0,47
79,Cyanobacterial str.,A,A,5,5.8,25.3,25.3,48
80,Cyanobacterial str.,A,A,5,4.4,19.9,25.1,48
81,Cyanobacterial str.,A,A,5,5.3,25.3,30.2,48
