Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
"freshwater (river, lake, pond)"	2008	10.1099/ijs.0.65700-0	60.2	DQ987877	aerobic	1.05	0.7	"motile, but unspecified structure"	not indicated	"catalase positive, H2S production, indole production, nitrate reduction to nitrite, oxidase positive"	Halorubrum	luteum	CGSA15	9.75	7.5-10.5	35	17-41	24.07	14.5-30.16	yes	not indicated	not indicated	1705	CGMCC=1.6783|CECT=7303	"glucose, lactose, maltose, mannitol, mannose, sorbitol"		negative		No
soil	2006	10.1099/ijs.0.63862-0	200233	71	aerobic			non-motile	yes		Catellatospora	bangladeshensis	2-70(23)	6.8-7.2	6.8-7.2	25-30	25-30	0	0	yes	rod	chain	393	JCM12949|DSM44899	"arabinose, galactose, glucose, lactose, maltose, mannose, melibiose, rhamnose, salicin, sucrose, trehalose, xylose"		positive		No
other	2009	10.1099/ijs.0.001123-0	 	67	aerobic			not indicated	no	"aesculin hydrolysis, oxidase positive"	Burkholderia	contaminans	J2956T			36	30-42			yes	rod	not indicated	102	LMG23361T|CCUG55526T	"adipate, adonitol, arabinose, caprate, citric acide (citrate), gelatin, gluconic acid, glucose, lactose, malate, maltose, mannitol, mannose, phenylacetate, sucrose, xylose"		negative	sheep milk	No
soil	2009	10.1099/ijs.0.001123-0	 	67	aerobic			not indicated	no	"aesculin hydrolysis, nitrate reduction to nitrite, oxidase positive"	Burkholderia	lata	383T			33.5	30-37			yes	rod		102	ATCC17760T|LMG22485T|CCUG55525T	"adipate, adonitol, arabinose, caprate, citric acide (citrate), gelatin, gluconic acid, glucose, lactose, malonic acid (malonate), maltose, mannitol, mannose, phenylacetate, sucrose, xylose"		negative		No
built environment	2005	10.1099/ijs.0.63649-0	 AB043852	39.6	aerobic	2.5	0.35	flagella	yes	"catalase positive, nitrate reduction to nitrite"	Bacillus	cellulosilyticus	N-4T	9.5	08-Oct	37	20-40	7.5	0-13	yes	rod	clump	2309	JCM9156T|DSM2522T	"cellobiose, fructose, glucose, lactose, maltose, mannose, salicin, sucrose, trehalose, Tween 20, Tween 40, Tween 60"		positive		Yes
built environment	2005	10.1099/ijs.0.63649-0	 AB043858	34.4	aerobic	3.5	0.7	flagella	yes	"catalase positive, nitrate reduction to nitrite"	Bacillus	akibai	 1139T 	9.5	08-Oct	37	20-45	4.5	0-9	yes	rod	clump	2309	JCM9157T|ATCC43226T	"arabinose, cellobiose, fructose, galactose, glucose, maltose, mannitol, mannose, salicin, sorbitol, sucrose, trehalose, Tween 20, Tween 40, Tween 60"		positive		Yes
other	2004	10.1099/ijs.0.03050-0	 AB111849	30		18	0.24	flagella			Borrelia	turcica	IST7T 				34-39				rod		1649	JCM11958T|DSM16138T				hard tick	No
soil	2005	10.1099/ijs.0.02982-0	 AB112081	69	aerobic			non-motile	yes		Asanoa	iriomotensis	TT97-02T			25	20-30		дЉж4		not indicated	chain	725	NBRC100142T|DSM44745T	"arabinose, galactose, glucose, maltose, mannitol, mannose, melibiose, raffinose, rhamnose, xylose"		positive		No
other	2008	10.1099/ijs.0.65314-0	 AB166879	63.5	facultative anaerobe	1.2-2	0.3-0.5	non-motile	no	"aesculin hydrolysis, nitrate reduction to nitrite, oxidase positive"	Castellaniella	caeni	Ho-11	6.5-7	5-8.5	30	Oct-37	5	5	yes	rod	chain	2141	KCTC12197|LMG23411	"3-hydroxybutyrate, acetate, adipate, adonitol, alanine, alanine, arabinose, arginine, asparagine, aspartic acid (aspartate), caprate, cellobiose, formic acid, fucose, galactose, glucose, glutamic acid, glycerol, histidine, lactate, malate, phenylacetate, proline, propionic acid (propionate), serine, threonine"		negative	sludge	No
wastewater	2005	10.1099/ijs.0.63459-0	 AB180738	36.2	aerobic	3.5	0.4	non-motile	no	"catalase positive, oxidase positive, urease positive"	Flavobacterium	granuli	Kw05T			27.5	15-37	1	<2	yes	rod	not indicated	747	KCTC12201T|IAM15099T	"glucose, maltose, mannose, N-acetylgulcosamine, proline, propionic acid (propionate)"		negative		No
other	2007	10.1099/ijs.0.64741-0	 AB182324	43	facultative anaerobe		0.5-0.75	not indicated	no		Streptococcus	 orisuis	NUM 1001T 			37				yes	cocci	chain	1272	JCM14035T|DSM18307T	"cellobiose, fructose, galactose, glucosamine, glucose, lactose, maltose, mannitol, mannose, melibiose, raffinose, salicin, sorbitol, sucrose, trehalose"		positive	oral cavities in pigs	No
other	2007	10.1099/ijs.0.64817-0	 AB189298	43.3	aerobic	1.0-2.9	0.5-1.0	non-motile	yes	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Halobacillus	profundi	IS-Hb4T 	7.5-8.0	5.5-10	25	Sep-47	10	0.5-30	yes	rod	chain	1243	JCM14154T|DSM18394T	"fructose, maltose, mannitol, mannose, raffinose, rhamnose, sorbitol, sucrose, trehalose"		positive	deep sea carbonate rock	Yes
marine sediment	2005	10.1099/ijs.0.63689-0	 AB193748	60.5	facultative anaerobe	2.25	0.35	flagella	not indicated	"aesculin hydrolysis, H2S production, oxidase positive"	Ferrimonas	marina	A4D-4T	7.5	6.0-11.0	27	15-37	3	1.5-3.5	yes	rod	clump	1851	MBIC06480T|DSM16917T	"acetate, dextrin, glucose, lactate, maltose"		negative		Yes
other	2006	10.1099/ijs.0.63931-0	 AB205566	47	aerobic	1-1.2	0.5-0.7	flagella	no	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Shewanella	hafniensis	P010	7	7	25	Apr-25	0-6	0-6	yes	rod	chain	243	ATCCBAA-1207|NBRC100975	"citric acide (citrate), gluconic acid, glucose, lactate, malate, maltose, N-acetylgulcosamine"	AB208056 	negative	marine fish	No
soil	2008	10.1099/ijs.0.64431-0	 AB245343	69.2	aerobic	1-1.2	0.2-0.3	"motile, but unspecified structure"	no	"catalase positive, oxidase positive"	Sphingopyxis 	ginsengisoli	Gsoil 250	7	5-8.5	30	Apr-42	0-5	0-5	yes	rod	chain	2342	KCTC12582|LMG23390	"3-hydroxybutyrate, adipate, alanine, alanine, asparagine, cellobiose, fucose, galactose, glucose, glutamic acid, histidine, lactate, leucine, malate, maltose, proline, propionic acid (propionate), rhamnose, succinic acid (succinate), tryptophan, valerate"		negative		No
soil	2009	10.1099/ijs.0.004945-0	 AB245362	68.7	aerobic			non-motile	no	"aesculin hydrolysis, catalase positive, gelatinase, oxidase positive"	Dokdonella	ginsengisoli	Gsoil 191T	6.75	5.75-9.75	30	15-42		4	yes	rod		1947	5KCTC12564T|DSM17954T|CCUG52462T	"acetate, arabinose, asparagine, aspartic acid (aspartate), fructose, glucose, glutamic acid, lactate, proline, serine, tryptophan, valerate, xylose"		negative		No
seawater	2008	10.1099/ijs.0.65210-0	 AB286025	70	aerobic	0.8-1.3	0.6-1	non-motile	no	"catalase positive, nitrate reduction to nitrite"	Marihabitans	asiaticum	HG667	9	9	18-34	18-34	0-7	0-7	yes	ovoid/coccobacillus	chain	2429	MBIC07497|DSM18935	"galactose, glucose, trehalose"		positive		No
other	2009	10.1099/ijs.0.005611-0	 AB360448	74.4	aerobic	1.45	0.4	non-motile	no	"catalase positive, gelatinase, nitrate reduction to nitrite, oxidase positive"	Iamia	majanohamensis	F12T 	7	06-Sep	29	15-40				rod	clump	869	NBRC102561T|DSM19957T	"arabinose, arginine, galactose, gelatin, mannose, ornithine, rhamnose, xylose"		positive	sea cucumber epidermis	No
other	2010	10.1099/ijs.0.019307-0	 AB365975 	43.7	facultative anaerobe	01-Mar	0.3-0.4	non-motile	no		Lactobacillus	odoratitofui	YIT 11304	7	4.5-8.5	30	15-40	01-Jul	01-Jul	yes	rod	chain	2903	JCM15043|BCRC17810|DSM19909	"arabinose, galactose, gluconic acid, glucose, lactose, maltose, melibiose, N-acetylgulcosamine, ribose, xylose"		positive	stinky tofu brine	No
human - fecal	2008	10.1099/ijs.0.2008/000810-0	 AB370249 	51.9	anaerobic	0.8-2	0.4-0.9	non-motile	no	"acid phosphatase, alkaline phosphatase"	Dialister	succinatiphilus	YIT 11850	7	7	37	37	0	0	yes	cocci	chain	2716	DSM21274|JCM15077	lactose		negative	human faeces	No
other	2010	10.1099/ijs.0.013722-0	 AB371717	61.4	anaerobic		2	non-motile	no		Halarchaeum	acidiphilum	MH1-52-1	4.4.-4.5	04-Jun	37	15-45	21-24	18-30	no	ovoid/coccobacillus	chain	2513	JCM16109|DSM22442|CECT7534	"arabinose, cellobiose, fructose, galactose, glucose, glycerol, raffinose, sucrose, xylose"		negative	solar salt	No
