,drugClassCount,disease,pathogenName,level,host,mlstCount,strainCount,taxonid,assCount
0,30.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Reproductive system,Respiratory system,Urinary system",Salmonella enterica,BSL-2,"Birds,Environment,Food,Human,Mammal,Primate,Rodent,Vertebrate",4678,434792,28901,459323
1,28.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Skin,Skin/Soft tissue,Urinary system",Escherichia coli,BSL-2,"Birds,Environment,Food,Human,Mammal,Primate,Rodent,Vertebrate",6340,163636,562,205108
2,27.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system,Skin,Skin/Soft tissue,Urinary system",Staphylococcus aureus,BSL-2,"Birds,Environment,Food,Human,Mammal,Primate,Rodent,Vertebrate",1628,45602,1280,73584
3,25.0,"Blood,Digestive system",Campylobacter jejuni,BSL-2,"Birds,Human,Mammal,Primate,Rodent",2009,55817,197,56733
4,23.0,"Blood,Bone/Joint,Central nervous system,Digestive system,Reproductive system,Respiratory system,Urinary system",Listeria monocytogenes,BSL-2,"Arthropod,Birds,Environment,Food,Human,Mammal,Mollusc,Plant,Primate,Reptile,Rodent,Vertebrate",1833,43598,1639,51972
5,29.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Skin/Soft tissue,Urinary system",Klebsiella pneumoniae,BSL-2,"Birds,Environment,Food,Human,Mammal,Primate,Rodent",1932,31917,573,47925
6,21.0,"Blood,Digestive system",Campylobacter coli,BSL-2,"Birds,Human,Mammal,Primate",1033,24326,195,24959
7,27.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system",Streptococcus pneumoniae,BSL-2,"Human,Mammal",3393,11353,1313,22723
8,27.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system,Skin/Soft tissue,Urinary system",Pseudomonas aeruginosa,BSL-2,"Birds,Human,Mammal,Rodent",1335,14468,287,19838
9,28.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Skin/Soft tissue,Urinary system",Enterococcus faecium,BSL-2,"Birds,Environment,Human,Mammal,Rodent",613,9061,1352,19700
