GOLD_ID,NCBI_TAXONOMY_ID,DOMAIN,ORGANISM_NAME,SPECIES,METABOLISM
Go0000002,515635,BACTERIAL,Dictyoglomus turgidum DSM 6724,Dictyoglomus turgidum,Cellulose degrader
Go0000003,521011,ARCHAEAL,"Methanosphaerula palustris E1-9c, DSM 19958",Methanosphaerula palustris,Methanogen
Go0000009,639283,BACTERIAL,Starkeya novella DSM 506,Starkeya novella,Carbon dioxide fixation
Go0000016,357809,BACTERIAL,Lachnoclostridium phytofermentans ISDg,Lachnoclostridium phytofermentans,Acetate producer
Go0000016,357809,BACTERIAL,Lachnoclostridium phytofermentans ISDg,Lachnoclostridium phytofermentans,Cellulose degrader
Go0000016,357809,BACTERIAL,Lachnoclostridium phytofermentans ISDg,Lachnoclostridium phytofermentans,Ethanol production
Go0000020,444158,ARCHAEAL,Methanococcus maripaludis C6,Methanococcus maripaludis,Hydrogenotrophic
Go0000020,444158,ARCHAEAL,Methanococcus maripaludis C6,Methanococcus maripaludis,Methanogen
Go0000020,444158,ARCHAEAL,Methanococcus maripaludis C6,Methanococcus maripaludis,Nitrogen fixation
Go0000023,448385,BACTERIAL,Sorangium cellulosum So ce 56,Sorangium cellulosum,Cellulose degrader
Go0000027,96561,BACTERIAL,Desulfococcus oleovorans Hxd3,Desulfococcus oleovorans,Alkane degrader
Go0000027,96561,BACTERIAL,Desulfococcus oleovorans Hxd3,Desulfococcus oleovorans,Sulfate reducer
Go0000030,438753,BACTERIAL,Azorhizobium caulinodans ORS 571,Azorhizobium caulinodans,Nitrogen fixation
Go0000034,350688,BACTERIAL,Alkaliphilus oremlandii OhILAs,Alkaliphilus oremlandii,Nitrogen fixation
Go0000037,398579,BACTERIAL,"Shewanella pealeana ANG-SQ1, ATCC 700345",Shewanella pealeana,Sulfur reducer
Go0000042,298653,BACTERIAL,Frankia sp. EAN1pec,Frankia sp. EAN1pec,Nitrogen fixation
Go0000044,315750,BACTERIAL,Bacillus pumilus SAFR-032,Bacillus pumilus,Biomass degrader
Go0000051,416591,BACTERIAL,Pseudothermotoga lettingae TMO,Pseudothermotoga lettingae,Methanol degrading
Go0000055,1268556,ARCHAEAL,Candidatus Nitrosocaldus yellowstonensis HL72,Candidatus Nitrosocaldus yellowstonensis,Ammonia-oxidizer
Go0000055,1268556,ARCHAEAL,Candidatus Nitrosocaldus yellowstonensis HL72,Candidatus Nitrosocaldus yellowstonensis,Carbon fixation
Go0000055,1268556,ARCHAEAL,Candidatus Nitrosocaldus yellowstonensis HL72,Candidatus Nitrosocaldus yellowstonensis,Nitrifying
Go0000070,78245,BACTERIAL,Xanthobacter autotrophicus Py2,Xanthobacter autotrophicus,Nitrogen fixation
Go0000071,402881,BACTERIAL,Parvibaculum lavamentivorans DS-1,Parvibaculum lavamentivorans,Surfactant-degrading
Go0000073,456442,ARCHAEAL,Methanoregula boonei 6A8,Methanoregula boonei,Methanogen
Go0000087,404589,BACTERIAL,Anaeromyxobacter sp. Fw109-5,Anaeromyxobacter sp. Fw109-5,Iron reducer
Go0000097,272620,BACTERIAL,Klebsiella pneumoniae pneumoniae MGH78578,Klebsiella pneumoniae,Lactose fermenting
Go0000116,426368,ARCHAEAL,Methanococcus maripaludis C7,Methanococcus maripaludis,Hydrogenotrophic
Go0000116,426368,ARCHAEAL,Methanococcus maripaludis C7,Methanococcus maripaludis,Methanogen
Go0000116,426368,ARCHAEAL,Methanococcus maripaludis C7,Methanococcus maripaludis,Nitrogen fixation
Go0000117,366394,BACTERIAL,Sinorhizobium medicae WSM419,Sinorhizobium medicae,Nitrogen fixation
Go0000119,419665,ARCHAEAL,Methanococcus aeolicus Nankai-3,Methanococcus aeolicus,Methanogen
Go0000120,406327,ARCHAEAL,Methanococcus vannielii SB,Methanococcus vannielii,Methanogen
Go0000121,293826,BACTERIAL,Alkaliphilus metalliredigens QYMF,Alkaliphilus metalliredigens,Metal reducer
Go0000123,290402,BACTERIAL,Clostridium beijerinckii NCIMB 8052,Clostridium beijerinckii,Gelatin hydrolysis negative
Go0000134,420247,ARCHAEAL,"Methanobrevibacter smithii PS, ATCC 35061",Methanobrevibacter smithii,Methanogen
Go0000136,351746,BACTERIAL,Pseudomonas putida F1,Pseudomonas putida,Benzene degradation
Go0000140,413999,BACTERIAL,Clostridium botulinum type A - Hall,Clostridium botulinum,Type A toxin producer
Go0000147,288000,BACTERIAL,Bradyrhizobium sp. BTAi1,Bradyrhizobium sp. BTAi1,Nitrogen fixation
Go0000147,288000,BACTERIAL,Bradyrhizobium sp. BTAi1,Bradyrhizobium sp. BTAi1,Stores polyhydroxybutyrate
