ORGANISM_ID	TERM
4774	Hydrothermal vent
4774	Hot spring
4774	Aquatic
4785	Human intestinal microflora
4785	Host
4860	Fresh water
4860	Aquatic
4878	Host
4899	Host
4899	Fresh water
4920	Host
4920	Fresh water
5328	Human oral cavity
5328	Host
5333	Sediment
5333	Marine
5333	Deep sea
5333	Aquatic
5334	Mud
5334	Aquatic
5388	Human skin
5388	Host
5455	Human oral cavity
5455	Host
5541	Human skin
5541	Host
5561	Human skin
5561	Host
5562	Human airways
5562	Host
5570	Human airways
5570	Host
5593	Human skin
5593	Host
5642	Human oral cavity
5642	Host
5643	Human oral cavity
5643	Host
5654	Human vaginal microflora
5654	Host
5679	Marine
5679	Aquatic
5680	Marine
5680	Aquatic
5719	Host
4931	Host
4933	Respiratory tract
4933	Human airways
4933	Host
4959	Human vaginal microflora
4959	Host
4976	Host
4978	Host
5044	Host
5086	Soil
5086	Intestinal tract
5086	Host
5086	Fresh water
5086	Food
5100	Human intestinal microflora
5100	Host
5106	Human intestinal microflora
5106	Host
5135	Host
5157	Lake
5157	Fresh water
5157	Aquatic
5183	Fresh water
5215	Human airways
5215	Host
5216	Human airways
5216	Host
5287	Human skin
5287	Human oral cavity
5287	Human abscess
5287	Human
5287	Host
6256	Human vaginal microflora
6256	Host
6264	Human skin
6264	Host
6271	Human skin
6271	Host
6298	Marine
6298	Hydrothermal vent
6298	Hot spring
6298	Aquatic
6302	Human stomach
6302	Host
6305	Human stomach
6305	Host
6325	Sediment
6325	Marine
6325	Aquatic
6333	Host
6344	Human vaginal microflora
6344	Host
7154	Human intestinal microflora
7154	Host
7161	Host
7163	Fresh water
7163	Aquatic
7221	Host
7229	Host
7309	Host
7329	Marine
7351	Soil
7351	Root nodule
7351	Plant root
7351	Host
7391	Soil
7391	Root nodule
7391	Plant root
7391	Host
7394	Root nodule
7394	Host
7397	Hot spring
7397	Fresh water
7397	Aquatic
7403	Host
7409	Host
7458	Host
7470	Ponds
7470	Aquatic
6350	Host
6350	Bovine
6450	Host
6527	Host
6553	Wastewater
6553	Host
6554	Fresh water
6554	Aquatic
6599	Human intestinal microflora
6599	Host
6683	Host
6685	Insect endosymbiont
6685	Host
6685	Endosymbiont
6688	Human intestinal microflora
6688	Host
6770	Host
6777	Fresh water
6777	Aquatic
6800	Sediment
6800	Fresh water
6800	Aquatic
6873	Vagina
6873	Host
6878	Vagina
6878	Host
6897	Soil
6897	Host
6897	Fresh water
6897	Cave
6899	Soil
6906	Host
7088	Human intestinal microflora
7088	Host
7101	Human intestinal microflora
7101	Host
7108	Fresh water
7108	Aquatic
7148	Human intestinal microflora
7148	Host
5721	Host
5755	Human stomach
5755	Host
5775	Host
5785	Host
5814	Human oral cavity
5814	Host
5831	Hot spring
5831	Aquatic
5847	Fresh water
5895	Host
5921	Marine
5921	Host
5921	Food
5991	Human vaginal microflora
5991	Host
6007	Soil
6007	Host
6010	Human stomach
6010	Host
6068	Human vaginal microflora
6068	Host
6100	Human vaginal microflora
6100	Host
6103	Human vaginal microflora
6103	Host
6156	Human vaginal microflora
6156	Host
6164	Soil
6164	Rice paddies
6182	Terrestrial
6240	Human airways
6240	Host
9761	Soil
9761	Host
9761	Fresh water
9815	Soil
9815	Root nodule
9815	Plant root
9815	Host
9838	Soil
9843	Human intestinal microflora
9843	Host
10123	Host
7560	Host
7567	Food
7663	Human intestinal microflora
7663	Host
4241	Soil
4241	Host
4274	Host
4303	Human skin
4303	Host
4339	Human intestinal microflora
4339	Host
4370	Rhizosphere-colonizing
4370	Rhizosphere
4370	Host
4386	Host
4390	Host
4391	Host
4407	Pig
4407	Host
4411	Host
4420	Soil
4420	Plant symbiont
4420	Host
4446	Host
4451	Host
4468	Host
4513	Human intestinal microflora
4513	Host
4552	Human skin
4552	Host
4555	Host
4560	Soil
4566	Marine
4566	Deep sea
4566	Aquatic
4600	Soil
4607	Host
4618	Human skin
4618	Host
4714	Host
4754	Host
4754	Gastrointestinal tract
4754	Feces
9362	Host
9366	Soil
9402	Host
9445	Soil
9445	Human intestinal microflora
9445	Host
9490	Plants
9490	Plant root
9490	Host
9504	Host
9580	Soil
9580	Root nodule
9580	Plant root
9580	Host
9585	Soil
9585	Root nodule
9585	Plant root
9585	Host
9617	Host
9626	Soil
9626	Root nodule
9626	Plant root
9626	Host
9693	Surface water
9693	Marine
10642	Host
10642	Fresh water
10682	Marine
10682	Hydrothermal vent
10682	Hot spring
10682	Deep sea
10682	Aquatic
10694	Host
10719	Host
10719	Fresh water
10729	Host
10729	Fresh water
10756	Host
10756	Fresh water
10774	Host
10785	Host
10785	Fresh water
10840	Human stomach
10840	Host
11729	Host
7666	Human intestinal microflora
7666	Host
7674	Host
7688	Host
7743	Host
7756	Host
7773	Host
7800	Host
7809	Host
7852	Host
7856	Host
7861	Host
7864	Host
10846	Human stomach
