isolate.code,name,former.name.1,former.name.2,strain,clone,species,genus,family,order,class,phylum,kingdom,domain,bv,bv.choice
2,Chlamydomonas strain UMACC 229,,,UMACC 229,,,Chlamydomonas,Chlamydomonadaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae,Eukaryota,2.191245447,1
4,Navicula strain UMACC 231,,,UMACC 231,,,Navicula,Naviculaceae,Naviculales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.753261,1
5,Phaeocystis antarctica strain CCMP 1871,,,CCMP 1871,,antarctica,Phaeocystis,Phaeocystaceae,Phaeocystales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,2.079181246,1
6,Chaetoceros sp. strain CCAP 1010/10,,,CCAP 1010/10,,,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.187126,1
7,Chaetoceros deflandrei,,,,,deflandrei,Chaetoceros,Chaetocerotaceae,Chaetocerotales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.187126,3
8,Corethron pennatum,Corethron criophilum,,,,pennatum,Corethron,Corethraceae,Corethrales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,5.283301229,2
9,Fragilariopsis cylindrus,Nitzschia cylindrus,,,,cylindrus,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,1.780811529,1
10,Fragilariopsis kerguelensis,Nitzschia kerguelensis,,,,kerguelensis,Fragilariopsis,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.113943352,2
11,Pseudo-nitzschia turgiduloides,Nitzschia turgiduloides,,,,turgiduloides,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,3.142389466,2
12,Stellarima microtrias,,,,,microtrias,Stellarima,Coscinodiscaceae,Coscinodiscales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,4.944457996,1
13,Synedra sp.,,,,,,Synedra,Fragilariaceae,Fragilariales,Bacillariophyceae,Ochrophyta,Chromista,Eukaryota,2.918924067,1
14,Emiliania huxleyi,Coccolithus huxleyi,,,,huxleyi,Emiliania,Noëlaerhabdaceae,Isochrysidales,Coccolithophyceae,Haptophyta,Chromista,Eukaryota,1.481859156,1
