isolate.code,curve.code,genus,species,name,group,environment,temperature,inv.kT,r,ln.r,ln.rM,ln.rT,bv,ln.m,wts,colors,symbol,mte.analysis
2,707,Chlamydomonas,,Chlamydomonas ,Greens,marine,4,41.87105508,0.23,-1.46967597,-0.409663163,11.92906165,2.191245447,-9.575459331,0.166666667,green3,22,0
2,707,Chlamydomonas,,Chlamydomonas ,Greens,marine,6,41.57106543,0.39,-0.94160854,0.118404267,12.3611324,2.191245447,-9.575459331,0.166666667,green3,22,0
2,707,Chlamydomonas,,Chlamydomonas ,Greens,marine,9,41.12905516,0.4,-0.916290732,0.143722075,12.24500692,2.191245447,-9.575459331,0.166666667,green3,22,1
2,707,Chlamydomonas,,Chlamydomonas ,Greens,marine,14,40.4128954,0.26,-1.347073648,-0.287060841,11.58505288,2.191245447,-9.575459331,0.166666667,green3,22,0
2,707,Chlamydomonas,,Chlamydomonas ,Greens,marine,20,39.58575103,0.19,-1.660731207,-0.6007184,11.00670912,2.191245447,-9.575459331,0.166666667,green3,22,0
2,707,Chlamydomonas,,Chlamydomonas ,Greens,marine,30,38.27993704,0.05,-2.995732274,-1.935719467,9.25384758,2.191245447,-9.575459331,0.166666667,green3,22,0
4,708,Navicula,,Navicula ,Diatoms,marine,4,41.87105508,0.34,-1.078809661,0.301490082,12.31992796,2.753261,-8.294311584,0.166666667,brown,21,1
4,708,Navicula,,Navicula ,Diatoms,marine,6,41.57106543,0.26,-1.347073648,0.033226096,11.95566729,2.753261,-8.294311584,0.166666667,brown,21,0
4,708,Navicula,,Navicula ,Diatoms,marine,9,41.12905516,0.23,-1.46967597,-0.089376227,11.69162168,2.753261,-8.294311584,0.166666667,brown,21,0
4,708,Navicula,,Navicula ,Diatoms,marine,14,40.4128954,0.27,-1.30933332,0.070966424,11.62279321,2.753261,-8.294311584,0.166666667,brown,21,0
4,708,Navicula,,Navicula ,Diatoms,marine,20,39.58575103,0.25,-1.386294361,-0.005994618,11.28114597,2.753261,-8.294311584,0.166666667,brown,21,0
4,708,Navicula,,Navicula ,Diatoms,marine,30,38.27993704,0.17,-1.771956842,-0.391657098,10.47762301,2.753261,-8.294311584,0.166666667,brown,21,0
6,743,Chaetoceros,,Chaetoceros ,Diatoms,marine,1,42.32924645,0.308,-1.177655496,-0.11999032,12.36770337,2.187126,-9.584849855,0.166666667,brown,21,0
6,742,Chaetoceros,,Chaetoceros ,Diatoms,marine,1,42.32924645,0.308,-1.177655496,-0.11999032,12.36770337,2.187126,-9.584849855,0.166666667,brown,21,0
6,742,Chaetoceros,,Chaetoceros ,Diatoms,marine,3,42.02267939,0.406,-0.901402119,0.156263056,12.54585529,2.187126,-9.584849855,0.166666667,brown,21,0
6,743,Chaetoceros,,Chaetoceros ,Diatoms,marine,3,42.02267939,0.406,-0.901402119,0.156263056,12.54585529,2.187126,-9.584849855,0.166666667,brown,21,0
6,742,Chaetoceros,,Chaetoceros ,Diatoms,marine,5,41.72052099,0.462,-0.772190388,0.285474788,12.57837633,2.187126,-9.584849855,0.166666667,brown,21,1
6,743,Chaetoceros,,Chaetoceros ,Diatoms,marine,5,41.72052099,0.462,-0.772190388,0.285474788,12.57837633,2.187126,-9.584849855,0.166666667,brown,21,1
7,739,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,42.17540583,0.39,-0.94160854,0.116056636,12.55452133,2.187126,-9.584849855,0.037037037,brown,21,0
7,741,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,42.17540583,0.39,-0.94160854,0.116056636,12.55452133,2.187126,-9.584849855,0.037037037,brown,21,0
7,740,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,42.17540583,0.39,-0.94160854,0.116056636,12.55452133,2.187126,-9.584849855,0.037037037,brown,21,0
7,738,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,2,42.17540583,0.39,-0.94160854,0.116056636,12.55452133,2.187126,-9.584849855,0.037037037,brown,21,0
7,762,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,3,42.02267939,0.284190344,-1.25811104,-0.200445864,12.18914637,2.187126,-9.584849855,0.037037037,brown,21,0
7,762,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,41.72052099,0.436682724,-0.82854838,0.229116796,12.52201834,2.187126,-9.584849855,0.037037037,brown,21,0
7,738,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,41.72052099,0.546,-0.605136303,0.452528872,12.74543041,2.187126,-9.584849855,0.037037037,brown,21,0
7,739,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,41.72052099,0.591,-0.525939262,0.531725914,12.82462746,2.187126,-9.584849855,0.037037037,brown,21,0
7,740,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,41.72052099,0.828,-0.188742125,0.868923051,13.16182459,2.187126,-9.584849855,0.037037037,brown,21,0
