original_name,mw_ncbi_scientific_name,mw_ncbi_name,medium,generation_time_min,growth_temperature,org_ref,mw_comment
Azotobacter chroococcum,Azotobacter chroococcum Beijerinck 1901,Azotobacter chroococcum,Glucose broth,27,NA,"MASON, M. M. 1934 Master's Thesis, Cornell University",NA
Rhizobium trifolii,Rhizobium leguminosarum,Rhizobium leguminosarum,Mannitol-mineral-yeast extract,101,NA,"SHERMAN, J. M., AND CAMERON, G. M. 1932 Unpublished data, Cornell University.",NA
Diplococcus mucosus,Neisseria mucosa,Neisseria mucosa,Milk,32,NA,"HEINEMANN, D. G., AND GLENN, T. H. 1908 Jour. Inf. Dis., 5, 534.",NA
Diplococcus pneumoniae I,Streptococcus pneumoniae,Streptococcus pneumoniae,Broth + serum,20.5,NA,"CHESNEY, M. M. 1916 Jour. Exp. Med., 24, 381.",NA
Streptococcus lactis,Lactococcus lactis (Lister 1873) Schleifer et al. 1986,Lactococcus lactis,Milk,23.5,NA,"HEINEMANN, D. G., AND GLENN, T. H. 1908 Jour. Inf. Dis., 5, 534.",NA
Streptococcus fecalis,Enterococcus faecalis (Andrewes and Horder 1906) Schleifer and Kilpper-Balz 1984,Enterococcus faecalis,Milk,23,NA,"FRAZIER, W. C., AND WHITTIER, E. 0. 1931 Jour. Bact., 21, 239.",NA
Streptococcus thermophilus,Streptococcus thermophilus (Orla-Jensen 1919) Schleifer et al. 1995,Streptococcus thermophilus,Milk,27,NA,"FRAZIER, W. C., AND WHITTIER, E. 0. 1931 Jour. Bact., 21, 239.",NA
Streptococcus hemolyticus,Streptococcus pyogenes Rosenbach 1884,Streptococcus pyogenes,Glucose broth,26,NA,"FOSTER, L. F. 1921 Jour. Bact., 6, 143.",NA
Streptococcus liquefaciens,Enterococcus faecalis (Andrewes and Horder 1906) Schleifer and Kilpper-Balz 1984,Enterococcus faecalis,Milk,27,NA,"MASON, M. M. 1934 Master's Thesis, Cornell University.",NA
Streptococcus mastitidis,Streptococcus agalactiae Lehmann and Neumann 1896,Streptococcus agalactiae,Milk + glucose,36,NA,"MASON, M. M. 1934 Master's Thesis, Cornell University.",NA
Staphylococcus aureus,Staphylococcus aureus Rosenbach 1884,Staphylococcus aureus,Broth,27,NA,"GRAHAM-SMITH, G. S. 1920 Jour. Hyg., 19, 133.",NA
Staphylococcus albus,Staphylococcus epidermidis (Winslow and Winslow 1908) Evans 1916,Staphylococcus epidermidis,Glucose broth,24.5,NA,"MASON, M. M. 1934 Master's Thesis, Cornell University.",Reported to have changed name to S. epidermis
Vibrio cholerae,Vibrio cholerae Pacini 1854,Vibrio cholerae,Broth,21.2,NA,"HEINEMANN, D. G., AND GLENN, T. H. 1908 Jour. Inf. Dis., 5, 534.",NA
Vibrio costatus,NA,NA,Broth,42,NA,"LLOYD, B., AND CRANSTON, J. A. 1930 Biochem. Jour., 24, 529.",Could not translate
Serratia marcescens,Serratia marcescens Bizio 1823,Serratia marcescens,Milk,37,NA,"HEINEMANN, D. G., AND GLENN, T. H. 1908 Jour. Inf. Dis., 5, 534.",NA
Pseudomonas fluorescens,Pseudomonas fluorescens Migula 1895,Pseudomonas fluorescens,Glucose broth,34.3,NA,"MASON, M. M. 1934 Master's Thesis, Cornell University.",NA
Pseudomonas pyocyanea,Pseudomonas aeruginosa (Schroeter 1872) Migula 1900,Pseudomonas aeruginosa,Glucose broth,31,NA,"MASON, M. M. 1934 Master's Thesis, Cornell University.",NA
Erwinia carotovora,Pectobacterium carotovorum (Jones 1901) Waldee 1945 (Approved Lists 1980) emend. Gardan et al. 2003,Pectobacterium carotovorum,Glucose broth,42,NA,"MASON, M. M. 1934 Master's Thesis, Cornell University.",NA
Phytomonas angulata,Pseudomonas syringae van Hall 1902,Pseudomonas syringae,Broth,76,25,WOLF AND FOSTER 1921 North Carolina Agr. Exp. Sta. Tech. Bul. 20.,"name according to Bacterial diseases of crop plants, Suresh Borkar, Rupert Anand Yumlembam: synonym for Pseudomonas syringae pv. Tabaci (Wolf & Foster) Young et al.. Not listed in NCBI browser, so reducing to species level."
Phytomonas tabacum,Pseudomonas syringae van Hall 1902,Pseudomonas syringae,Broth,81,25,WOLF AND FOSTER 1921 North Carolina Agr. Exp. Sta. Tech. Bul. 20.,"name according to Bacterial diseases of crop plants, Suresh Borkar, Rupert Anand Yumlembam: synonym for Pseudomonas syringae pv. Tabaci (Wolf & Foster) Young et al.. Not listed in NCBI browser, so reducing to species level."
Phytomonas sojae,NA,NA,Broth,82,25,WOLF AND FOSTER 1921 North Carolina Agr. Exp. Sta. Tech. Bul. 20.,NA
Phytomonas glycinea,Pseudomonas savastanoi (Janse 1982) Gardan et al. 1992,Pseudomonas savastanoi,Broth,95,25,WOLF AND FOSTER 1921 North Carolina Agr. Exp. Sta. Tech. Bul. 20.,According to DSMZ name change:  <- ATCC (Pseudomonas syringae pvar. glycinea) <- W.H. Burkholder; PG2 (Phytomonas glycinea) 
