genus, species, strain, growth_rate, growth_units, pH, temperature_C
Lactobacillus,plantarum,wcfs1,0.6,1/h,5.5,37.0
Lactobacillus,plantarum,wcfs1,,,5.5,37.0
Geobacter,sulfurreducens,-,0.06,1/h,7.0,30.0
Chromohalobacter,salexigens,CHR61,0.043,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.066,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.1,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.061,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.0,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.013,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.045,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.032,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.0,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.012,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.03,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR61,0.007,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.09,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.055,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.044,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.007,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.038,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.045,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.046,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.02,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.01,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.023,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.045,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR95,0.0,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.0,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.011,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.041,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.029,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.0,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.012,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.024,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR161,0.0,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.033,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.044,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.04,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.016,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.015,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.021,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.023,1/h,7.2,37.0
Chromohalobacter,salexigens,CHR183,0.0,1/h,7.2,37.0
Chromohalobacter,salexigens,"DSM 3043",0.12,1/h,7.5,30.0
Chromohalobacter,salexigens,"DSM 3043",,,7.5,30.0
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,
Acinetobacter,baylyi,ADP1,,,,30.0
Acinetobacter,baylyi,ADP1,,,,30.0
Acinetobacter,baylyi,ADP1,,,,30.0
Acinetobacter,baylyi,ADP1,0.805905,1/h,,30.0
Acinetobacter,baylyi,ADP1,,,,30.0
Acinetobacter,baylyi,ADP1,,,,30.0
Acinetobacter,baylyi,ADP1,0.5373,1/h,6.8,30.0
Acinetobacter,baylyi,ADP331,,,,30.0
Acinetobacter,baylyi,ADP331,,,,30.0
Acinetobacter,baylyi,ADP331,,,,30.0
Acinetobacter,baylyi,ADP331,,,,30.0
Acinetobacter,baylyi,ADP331,,,,30.0
Acinetobacter,baylyi,ADP331,,,,30.0
Acinetobacter,baylyi,ADP197,,,,30.0
Acinetobacter,baylyi,ADP197,,,,30.0
Acinetobacter,baylyi,ADP197,,,,30.0
Acinetobacter,baylyi,ADP197,0.5342,1/h,,30.0
Acinetobacter,baylyi,ADP197,,,,30.0
Acinetobacter,baylyi,ADP197,,,,30.0
Acinetobacter,baylyi,ADPU331,,,,30.0
