microbe_id,kingdom,phylum,class,order,family,genus,species,gram_stain,gram_stain_citation,microbiome_location,microbiome_location_citation,antimicrobial_susceptibility,antimicrobial_susceptibility_citation,optimal_temperature,optimal_temperature_citation,extreme_environment,extreme_environment_citation,biofilm_forming,biofilm_forming_citation,optimal_ph,optimal_ph_citation,animal_pathogen,animal_pathogen_citation,spore_forming,spore_forming_citation,pathogenicity,pathogenicity_citation,plant_pathogen,plant_pathogen_citation
1,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,Bacteriovorax marinus,0,,0,,,,22.5,,,,,,,,,,0,,1,,,
2,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Ahjdlikevirus,Staphylococcus phage 44AHJD,,,,,,,,,0,,0,,,,0,,0,,,,0,
3,Viruses,Viruses noname,Viruses noname,Viruses noname,Parvoviridae,Densovirus,Junonia coenia densovirus,,,0,,,,,,,,,,,,1,,,,,,,
4,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Listeria phage B025,,,,,,,,,0,,0,,,,0,,0,,,,0,
5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri,0,,1,,,,32.5,,0,,,,8.0,,,,0,,,,,
6,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales noname,Candida,Candida albicans,,,1,,0,,,,0,,1,,,,0,,1,,,,0,
7,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum,Halorubrum aidingense,0,,0,,,,41.0,,1,,,,7.5,,0,,,,,,0,
8,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,South African cassava mosaic virus,,,,,,,,,,,,,,,,,,,,,1,
9,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,Kurthia sp JC8E,1,,1,,1,,40.0,,0,,1,,7.0,,0,,0,,1,,0,
10,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella nigrescens,0,,1,,0,,32.5,,0,,0,,,,1,,0,,2,,0,
