ref_id,reference
1,"Moore, L. R., R. Goericke, and S. W. Chisholm. 1995. Comparative phsysiology of Synechococcus and Prochlorococcus: Influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar. Ecol. Prog. Ser. 116: 259-275."
2,Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.
3,"Zinser, E. R., Johnson, Z, I., Coe, A., Karaca, E., Veneziano, D., and S. W. Chisholm. 2007. Influence of light and temperature on Prochlorococcus ecotope distributions in the Atlantic Ocean. Limnol. Oceanogr. 53: 2205-2220."
4,"Morel, A., Y.-W. Ahn, F. Partensky, D. Vaulot, and H. Claustre. 1993. Prochlorococcus and Synechococcus: a comparative study of their size, pigmentation and related optical properties. J. Mar. Res. 51:617-649."
5,"Bertilsson et al. 2003. Elemental Composition of Marine Prochlorococcus and Synechococcus: Lmplications for theEcological Stoichiometry of the Sea. Limnology and Oceanography, Vol. 48, No. 5 (Sep., 2003), pp. 1721-1731"
6,"Yu et al. Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO₂. Sci Rep. 2015; 5: 8132."
7,"Timmermans, K. R.; van der Wagt, B.; Veldhuis, M. J. W.; Maatman, A.; de Baar, H. J. W. 2005 Journal of Sea Research, v. 53, iss. 1-2 [SPECIAL ISSUE], p. 109-120."
8,"Kana and Glibert 1987 Deep Sea Research Part A. Oceanographic Research Papers
Volume 34, Issue 4, April 1987, Pages 479-495"
9,"Ting, C. S., E. Westly, and E. Russell-Roy. 2005. Genome diversification in marine cyanobacteria: implications for photosynthetic physiology and environmental stress response mechanisms, p. 614-616."
10,https://ncma.bigelow.org/ccmp2773#.WbUxyGeznzQ
11,"Lisa Campbell & Edward J. Carpenter  Mar. Ecol. Prog. Ser 32: 139-148, 1986"
12,"Berstein et al Front Microbiol. 2014; 5: 488.
Published online 2014 Sep 19. doi:  10.3389/fmicb.2014.00488"
13,"Glover et al  Journal of Plankton Research, Volume 29, Issue 3, 1 January 2007, Pages 263–274, https://doi.org/10.1093/plankt/fbm013
"
14,"Wood et al Limnology and Oceanography
Volume 30, Issue 6, Version of Record online: 22 DEC 2003"
15,"Bergey's, vol 1"
16,"Jacquet et al 
J. Phycol.
37,
 357–369 (2001)"
17,"Vaulot et al A
PPLIED AND
E
NVIRONMENTAL
M
ICROBIOLOGY
, July 1996, p. 2527–2533
Vol. 62, No. 7"
18,"LRMoore, unpublished data"
