id,full_text
1,"Hara, A., S.h. Baik, K. Syutsubo, N. Misawa, T.H. Smits, et al. (2004) Cloning and functional analysis of alkB genes in Alcanivorax borkumensis SK2. Environmental microbiology. 6(3): p. 191-197."
2,"Zellner, G., E. Stackebrandt, H. Kneifel, P. Messner, U.B. Sleytr, et al. (1989) Isolation and characterization of a thermophilic, sulfate reducing archaebacterium, Archaeoglobus-fulgidus strain-z. Systematic and Applied Microbiology. 11(2): p. 151-160."
3,"Kniemeyer, O.J. Heider (2001) (S)-1-Phenylethanol dehydrogenase of Azoarcus sp strain EbN1, an enzyme of anaerobic ethylbenzene catabolism. Archives of Microbiology. 176(1-2): p. 129-135, DOI: 10.1007/s002030100303."
4,"Tamplin, M.L., R. Phillips, T.A. Stewart, J.B. LuchanskyL.C. Kelley (2008) Behavior of Bacillus anthracis strains Sterne and Ames K0610 in sterile raw ground beef. Applied and Environmental Microbiology. 74(4): p. 1111-1116, DOI: 10.1128/aem.01292-07."
5,"Wong, H.C.Y.L. Chen (1988) Effects of lactic-acid bacteria and organic-acids on growth and germination of Bacillus-cereus. Applied and Environmental Microbiology. 54(9): p. 2179-2184."
6,"Warth, A. (1978) Relationship between the heat resistance of spores and the optimum and maximum growth temperatures of Bacillus species. Journal of Bacteriology. 134(3): p. 699-705."
7,"Martínez de Tejada, G., J.F. MillerP.A. Cotter (1996) Comparative analysis of the virulence control systems of Bordetella pertussis and Bordetella bronchiseptica. Molecular microbiology. 22(5): p. 895-908."
8,"Jiang, X.C.L. Baldwin (1993) Effects of cytokines on intracellular growth of Brucella abortus. Infection and Immunity. 61(1): p. 124-134."
9,"Baumann, L.P. Baumann (1994) Growth-kinetics of the endosymbiont Buchnera-aphidicola in the aphid Schizaphis-graminum. Applied and Environmental Microbiology. 60(9): p. 3440-3443."
10,"Ribot, W.J.R.L. Ulrich (2006) The animal pathogen-like type III secretion system is required for the intracellular survival of Burkholderia mallei within J774.2 macrophages. Infection and Immunity. 74(7): p. 4349-4353, DOI: 10.1128/iai.01939-05."
11,"Ngamdee, W., S. Tandhavanant, C. Wikraiphat, O. Reamtong, V. Wuthiekanun, et al. (2015) Competition between Burkholderia pseudomallei and B. thailandensis. Bmc Microbiology. 15, DOI: 10.1186/s12866-015-0395-7."
12,"Rappe, M.S., S.A. Connon, K.L. VerginS.J. Giovannoni (2002) Cultivation of the ubiquitous SAR11 marine bacterioplankton clade. Nature. 418(6898): p. 630-633, DOI: 10.1038/nature00917."
13,"Svetlichny, V.A., T.G. Sokolova, M. Gerhardt, M. Ringpfeil, N.A. Kostrikina, et al. (1991) Carboxydothermus-hydrogenoformans gen-nov, sp-nov, a co-utilizing thermophilic anaerobic bacterium from hydrothermal environments of Kunashir-island. Systematic and Applied Microbiology. 14(3): p. 254-260."
14,"Miyairi, I., O.S. Mahdi, S.P. Ouellette, R.J. BellandG.I. Byrne (2006) Different growth rates of Chlamydia trachomatis biovars reflect pathotype. The Journal of infectious diseases. 194(3): p. 350-357."
15,"Lin, Y.-L.H.P. Blaschek (1983) Butanol production by a butanol-tolerant strain of Clostridium acetobutylicum in extruded corn broth. Applied and Environmental Microbiology. 45(3): p. 966-973."
16,"Willardsen, R.R., F.F. Busta, C.E. AllenL.B. Smith (1978) Growth and survival of Clostridium-perfringens during constantly rising temperatures. Journal of Food Science. 43(2): p. 470-475, DOI: 10.1111/j.1365-2621.1978.tb02333.x."
17,"Zamboni, D.S., R.A. MortaraM. Rabinovitch (2001) Infection of Vero cells with Coxiella burnetii phase II: relative intracellular bacterial load and distribution estimated by confocal laser scanning microscopy and morphometry. Journal of Microbiological Methods. 43(3): p. 223-232, DOI: 10.1016/s0167-7012(00)00223-2."
18,"Gardini, F., M. Martuscelli, M.C. Caruso, F. Galgano, M.A. Crudele, et al. (2001) Effects of pH, temperature and NaCl concentration on the growth kinetics, proteolytic activity and biogenic amine production of Enterococcus faecalis. International Journal of Food Microbiology. 64(1-2): p. 105-117, DOI: 10.1016/s0168-1605(00)00445-1."
19,"Smadja, B., X. Latour, S. Trigui, J. Burini, S. Chevalier, et al. (2004) Thermodependence of growth and enzymatic activities implicated in pathogenicity of two Erwinia carotovora subspecies (Pectobacterium spp.). Canadian Journal of Microbiology. 50(1): p. 19-27, DOI: 10.1139/w03-099."
20,"Hooke, A.M., D. Sordelli, M. CerquettiA. Vogt (1985) Quantitative determination of bacterial replication in vivo. Infection and immunity. 49(2): p. 424-427."
21,"Rippka, R., J. WaterburyG. Cohenbazire (1974) Cyanobacterium which lacks thylakoids. Archives of Microbiology. 100(4): p. 419-436, DOI: 10.1007/bf00446333."
22,"Dziuba, M., P.A. NobleW.L. Albritton (1993) A study of the nutritional-requirements of a selected Haemophilus-ducreyi strain by impedance and conventional methods. Current Microbiology. 27(2): p. 109-113, DOI: 10.1007/bf01570867."
23,"Zillig, W., I. Holz, D. Janekovic, H.P. Klenk, E. Imsel, et al. (1990) Hyperthermus-butylicus, a hyperthermophilic sulfur-reducing archaebacterium that ferments peptides. Journal of Bacteriology. 172(7): p. 3959-3965."
24,"Fontana, C., S. Crussard, N. Simon-Dufay, D. Pialot, N. Bomchil, et al. (2017) Use of flow cytometry for rapid and accurate enumeration of live pathogenic Leptospira strains. Journal of Microbiological Methods. 132: p. 34-40, DOI: 10.1016/j.mimet.2016.10.013."
