dsmz_list,dsmz_risk_category,A,B,C,D,E,F,G,H,I,overall_score
,,,,,,,,,,,
ABIOTROPHIA ADIACENS,2,-,-,-,-,-,-,-,2,-,2
ABIOTROPHIA BALAENOPTERAE,2,-,-,-,-,-,-,-,2,-,2
ABIOTROPHIA DEFECTIVA,2,2,-,2,-,-,-,-,2,-,2
ABIOTROPHIA ELEGANS,2,-,-,-,-,-,-,-,2,-,2
ACARICOMES PHYTOSEIULI,1,-,-,-,-,-,-,-,-,-,1
ACETITOMACULUM RUMINIS,1,-,-,1,-,-,-,-,1,-,1
ACETIVIBRIO ETHANOLGIGNENS,2,2,-,2,-,-,-,-,2,-,2
ACETOANAEROBIUM,-,-,-,1,-,-,-,-,1,-,1
ACETOBACTER,1,-,1,1,-,-,-,-,1,-,1
ACETOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
ACETOFILAMENTUM,-,-,-,1,-,-,-,-,1,-,1
ACETOGENIUM KIVUI,1,-,-,1,-,-,-,-,-,-,1
ACETOHALOBIUM,1,-,-,1,-,-,-,-,1,-,1
ACETOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
ACETOMONAS,1,-,-,-,-,-,-,-,-,-,1
ACETONEMA LONGUM,1,-,-,1,-,-,-,-,1,-,1
ACETOTHERMUS,-,-,-,1,-,-,-,-,1,-,1
ACHOLEPLASMA AXANTHUM,-,2,-,2,-,2,-,-,2,-,2
ACHOLEPLASMA GRANULARUM,-,2,-,1,-,2,-,-,2,-,2
ACHOLEPLASMA HIPPIKON,-,2,-,2,-,2,-,-,2,-,2
ACHOLEPLASMA LAIDLAWII,2,2,-,2,-,2,-,-,2,-,2
ACHOLEPLASMA MODICUM,-,2,-,2,-,2,-,-,2,-,2
ACHOLEPLASMA OCULI,-,2,-,2,-,2,-,-,2,-,2
ACHROMOBACTER XYLOSOXIDANS,2,-,2,2,-,-,-,-,-,-,2
ACHROMOBACTER PIECHADII,-,-,-,2,-,-,-,-,-,-,2
ACIDAMINOBACTER HYDROGENOFORMANS,1,-,-,1,-,-,-,-,1,-,1
ACIDAMINOCOCCUS FERMENTANS,2,2,-,2,-,-,-,-,2,-,2
ACIDAMINOCOCCUS INTESTINI,2,-,-,-,-,-,-,-,-,-,2
ACIDICALDUS,1,-,-,1,-,-,-,-,-,-,1
ACIDIMICROBIUM FERROOXIDANS,1,-,-,1,-,-,-,-,1,-,1
ACIDIPHILIUM,1,-,-,1,-,-,-,-,1,-,1
ACIDISPHAERA,1,-,-,1,-,-,-,-,-,-,1
ACIDITHIOBACILLUS,1,-,-,1,-,-,-,-,-,-,1
ACIDOBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
ACIDOCALDUS,1,-,-,-,-,-,-,-,-,-,1
ACIDOCELLA,1,-,-,1,-,-,-,-,1,-,1
ACIDOMONAS,1,-,-,1,-,-,-,-,1,-,1
ACIDOVORAX,1,-,-,1,-,-,-,-,1,-,1
ACINETOBACTER BAUMANNII,2,2,2,2,-,OP,-,-,2,-,2
ACINETOBACTER CALCOACETICUS,-,-,-,-,-,-,-,-,2,-,2
ACINETOBACTER HAEMOLYTICUS,2,2,2,2,-,OP,-,-,2,-,2
ACINETOBACTER JOHNSONII,2,2,-,2,-,OP,-,-,2,-,2
ACINETOBACTER JUNII,2,2,-,2,-,OP,-,-,2,-,2
ACINETOBACTER LWOFFII,2,2,2,2,-,OP,-,-,2,-,2
ACINETOBACTER PARVUS,-,-,-,2,-,OP,-,-,-,-,2
ACINETOBACTER URSINGII,-,-,-,2,-,OP,-,-,1,-,2
ACROCARPOSPORA,1,-,-,1,-,-,-,-,-,-,1
ACTINACIDIPHILUS,1,-,-,-,-,-,-,-,-,-,1
ACTINOACIDIPHILUS,1,-,-,-,-,-,-,-,-,-,1
ACTINOALLOTEICHUS,1,-,-,1,-,-,-,-,-,-,1
ACTINOBACILLUS ACTINOMYCETEMCOMITANS,2,2,-,2,2,2,2,2,2,2,2
ACTINOBACILLUS EQUUI,2,2,-,2,-,2,-,-,2,-,2
ACTINOBACILLUS HOMINIS,2,2,-,2,-,2,-,-,2,-,2
ACTINOBACILLUS LIGNIERESII,2,2,-,2,-,2,-,-,2,-,2
ACTINOBACILLUS MURIS,2,2,-,1,-,-,-,-,2,-,1
ACTINOBACILLUS PLEUROPNEUMONIAE,2,2,2,2,-,2,-,-,2,-,2
ACTINOBACILLUS ROSSII,2,2,-,2,-,2,-,-,2,-,2
ACTINOBACILLUS SEMINIS,2,2,-,2,-,2,-,-,2,-,2
ACTINOBACILLUS SUIS,2,2,-,2,-,2,-,-,2,-,2
ACTINOBACILLUS UREAE,2,2,-,2,-,OP,-,-,2,-,2
ACTINOBACTERIA,1,-,-,-,-,-,-,-,-,-,1
ACTINOBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
ACTINOBACULUM MASSILIENSE,2,-,-,2,-,-,-,-,-,-,2
ACTINOBACULUM SCHAALII,2,-,-,2,-,-,-,-,2,-,2
ACTINOBACULUM SUIS,2,-,-,2,-,-,-,-,2,-,2
ACTINOBACULUM URINALE,2,-,-,2,-,-,-,-,-,-,2
ACTINOBIFIDA,1,-,-,-,-,-,-,-,-,-,1
ACTINOBISPORA,1,-,-,-,-,-,-,-,1,-,1
ACTINOCATENISPORA,1,-,-,-,-,-,-,-,-,-,1
ACTINOCORALLIA,1,-,-,1,-,-,-,-,1,-,1
ACTINOKINEOSPORA,1,-,-,1,-,-,-,-,1,-,1
ACTINOMADURA CHIBENSIS,2,-,-,-,-,-,-,-,-,-,2
ACTINOMADURA LATINA,2,-,-,2,-,-,-,-,-,-,2
ACTINOMADURA MADURAE,2,2,-,2,2,2,2,2,2,2,2
ACTINOMADURA PELLETIERI,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES BERNARDIAE,1,2,-,-,2,2,2,2,-,2,1
ACTINOMYCES BOVIS,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES BOWDENII,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES CANIS,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES CATULI,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES DENTALIS,2,-,-,-,2,2,2,2,1,2,1
ACTINOMYCES EUROPAEUS,2,-,-,2,2,2,2,2,2,2,2
ACTINOMYCES FUNKEI,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES GERENCSERIAE,2,2,-,-,2,2,2,2,2,2,2
ACTINOMYCES GRAEVENITZII,2,-,-,2,2,2,2,2,2,2,2
ACTINOMYCES HONGKONGENSIS,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES HORDEOVULNERIS,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES HYOVAGINALIS,2,-,2,2,2,2,2,2,2,,2
ACTINOMYCES ISRAELII,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES MARIMAMMALIUM,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES MEYERI,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES NAESLUNDII,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES NEUII SUBSP. ANITRATIUS,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES NEUII SUBSP. NEULI,2,2,-,2,2,2,2,2,2,2,2
ACTINOMYCES ODONTOLYTICUS,2,2,2,2,2,2,2,2,2,2,2
ACTINOMYCES PYOGENES,1,2,-,-,2,2,2,2,-,2,2
ACTINOMYCES RADICIDENTIS,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES RADINGAE,2,-,-,2,2,2,2,2,2,2,2
ACTINOMYCES SUIMASTITIDIS,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES SUIS,1,2,-,2,2,2,2,2,-,2,2
ACTINOMYCES TURICENSIS,2,-,-,2,2,2,2,2,2,2,2
ACTINOMYCES VACCIMAXILAE,2,-,-,2,2,2,2,2,-,2,2
ACTINOMYCES VISCOSUS,2,2,2,2,2,2,2,2,2,2,2
ACTINOMYCETOSPORA,1,-,-,-,-,-,-,-,-,-,1
ACTINOPLANES,1,-,-,1,-,-,-,-,1,-,1
ACTINOPOLYMORPHA,1,-,-,1,-,-,-,-,-,1,1
ACTINOPOLYSPORA,1,-,-,1,-,-,-,-,1,-,1
ACTINOSPICA,1,-,-,-,-,-,-,-,-,-,1
ACTINOSPORANGIUM,1,-,-,-,-,-,-,-,-,-,1
ACTINOSYNNEMA,1,-,-,1,-,-,-,-,1,-,1
ACTINOTALEA,1,-,-,-,-,-,-,-,-,-,1
ACTINOTELLURIA,1,-,-,-,-,-,-,-,-,-,1
ADHAERIBACTER,1,-,-,-,-,-,-,-,-,-,1
ADLERCREUTZIA,1,-,-,-,-,-,-,-,-,-,1
AEGYTIANELLA PULLORUM,-,2,-,2,-,2,-,-,2,-,2
AEQUORIVITA,1,-,-,1,-,-,-,-,-,-,1
AEROBACTER,1,-,-,-,-,-,-,-,-,-,1
AEROCOCCUS URINAE,2,2,-,2,-,-,-,-,2,-,2
AEROCOCCUS VIRIDANS,2,2,1,2,-,-,-,-,2,-,2
AEROMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
AEROMONAS ALLOSACCHAROPHILA,2,2,-,2,-,-,-,-,2,-,2
AEROMONA AQUARIORIUM,2,-,-,-,-,-,-,-,-,-,2
AEROMONAS CAVIAE,2,2,1,2,-,-,-,-,2,-,2
AEROMONAS CULICICOLA,2,-,-,1,-,-,-,-,-,-,1
AEROMONAS ENTEROPELOGENES,2,-,-,2,-,OP,-,-,1,-,1
AEROMONAS HYDROPHILA SUB. ANAEROGENES,2,2,2,-,2,-,-,2,-,,2
AEROMONAS HYDROPHILA SUBSP. HYDROPHILA,2,2,2,2,-,2,-,-,2,-,2
AEROMONAS HYDROPHILA SUB PROTEOLYTICA,2,2,2,-,2,-,-,2,-,,2
AEROMONAS JANDAEI,2,2,-,2,-,OP,-,-,2,-,2
AEROMONAS PUNCTATA,1,2,-,2,-,OP,-,-,2,-,2
AEROMONAS SALMONICIDA SUBSP. MASOUCIDA,2,2,-,2,-,OP,-,-,2,-,2
AEROMONAS SALMONICIDA SUBSP.SALMONICIDA,2,2,1,2,-,3,-,-,2,-,2
AEROMONAS SALMONICIDA SUBSP. SMITHIA,2,2,-,2,-,OP,-,-,2,-,2
AEROMONAS SCHUBERTII,2,2,-,2,-,OP,-,-,2,-,2
AEROMONAS SOBRIA,2,2,-,2,-,OP,-,-,2,-,2
AEROMONAS TRUCTI,-,-,-,-,-,-,-,-,2,-,2
AEROMONAS VERONII,-,-,-,-,-,-,-,-,2,-,2
AESTUARIIBACTER,1,-,-,1,-,-,-,-,-,-,1
AESTUARIIMICROBIUM,1,-,-,-,-,-,-,-,-,-,1
AFIPIA BROOMEAE,2,2,-,2,-,-,-,-,2,-,2
AFIPIA CLEVALANDENSIS,2,2,-,2,-,-,-,-,2,-,2
AFIPIA FELIS,2,2,-,2,-,-,-,-,2,-,2
AGARBACTERIUM,1,-,-,-,-,-,-,-,-,-,1
AGGREGATIBACTER ACTINOMYCETEMCOMITANS,-,2,-,-,-,-,-,-,-,-,2
AGGREGATIBACTER APHROPHILUS,-,2,-,-,-,-,-,-,-,-,2
AGGREGATIBACTER SEGNIS,2,2,-,-,-,-,-,-,-,-,2
AGITOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
AGREIA,1,-,-,1,-,-,-,-,-,-,1
AGROBACTERIUM,1,-,-,1,-,-,-,-,1,-,1
AGROCOCCUS,1,-,-,1,-,-,-,-,1,-,1
AGROMONAS,1,-,-,1,-,-,-,-,1,-,1
AGROMYCES,1,-,-,1,-,-,-,-,1,-,1
AHRENSIA,1,-,-,1,-,-,-,-,-,-,1
AKKERMANSIA,-,-,-,1,-,-,-,-,-,-,1
ALBIDOVULUM,1,-,-,1,-,-,-,-,-,-,1
ALBIMONAS,1,-,-,-,-,-,-,-,-,-,1
ALCALIGENES DEFRAGANS,-,-,-,-,-,-,-,-,2,2,2
ALCALIGENES FAECALIS SUBSP. FAECALIS,2,2,1,2,-,OP,-,-,2,2,2
ALCALIGENES PIECHAUDII,2,2,-,-,-,OP,-,-,2,2,2
ALCALIGENES XYLOSOXIDANS,2,2,-,-,-,OP,-,-,2,2,2
ALCANIVORAX,1,-,-,1,-,-,-,-,-,-,1
ALGIBACTER,1,-,-,1,-,-,-,-,-,-,1
ALGICOLA,1,-,-,1,-,-,-,-,-,-,1
ALICYCLIPHILUS,1,-,-,1,-,-,-,-,-,-,1
ALICYCLOBACILLUS,1,-,1,1,-,-,-,-,1,-,1
ALIIVIBRIO SALMONICIDA,2,-,-,-,-,-,-,-,-,-,2
ALISHEWANELLA,1,-,-,1,-,-,-,-,-,-,1
ALISTIPES ONDERDONKII,2,-,-,1,-,-,-,-,-,-,1
ALISTIPES PUTREDINIS,2,2,-,2,-,-,-,-,-,-,2
ALISTIPES SHAHII,2,-,-,-,-,-,-,-,-,-,2
ALKALIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
ALKALIBACTER,1,-,-,-,-,-,-,-,-,-,1
ALKALIBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
ALKALIFLEXUS,1,-,-,-,-,-,-,-,-,-,1
ALKALILIMNICOLA,1,-,-,-,-,-,-,-,-,-,1
ALKALIMONAS,1,-,-,-,-,-,-,-,-,-,1
ALKALIPHILUS,1,-,-,1,-,-,-,-,-,-,1
ALKALISPIRILLUM,1,-,-,1,-,-,-,-,-,-,1
ALKANINDIGES,1,-,-,1,-,-,-,-,-,-,1
ALLISONELLA,1,-,-,1,-,-,-,-,-,-,1
ALLOBACULUM,1,-,-,-,-,-,-,-,-,-,1
ALLOCHROMATIUM,1,-,-,1,-,-,-,-,-,-,1
ALLOFUSTIS,1,-,-,1,-,-,-,-,-,-,1
ALLOIOCOCCUS OTITIS,-,2,2,2,-,-,-,-,2,-,2
ALLOKUTZNERIA,1,-,-,1,-,-,-,-,-,-,1
ALLOMONAS ENTERICA,-,2,-,1,-,-,-,-,2,-,1
ALLOSCARDOVIA,1,-,-,-,-,-,-,-,-,-,1
ALTERERYTHROBACTER,1,-,-,-,-,-,-,-,-,-,1
ALTEROMONAS HALOPLANCTIS,1,2,-,1,-,2,-,-,-,-,1
ALYSIELLA,1,-,-,1,-,-,-,-,1,-,1
AMINIPHILUS,1,-,-,-,-,-,-,-,-,-,1
AMINOBACTERIUM,1,-,-,1,-,-,-,-,-,-,1
AMINOMONAS,1,-,-,1,-,-,-,-,-,-,1
AMMONIFEX,1,-,-,1,-,-,-,-,1,-,1
AMMONIPHILUS,1,-,-,1,-,-,-,-,-,-,1
AMOEBOBACTER,1,-,-,1,-,-,-,-,1,-,1
