,level,count,facet
0,Discosea,1,0
1,Evosea,2,0
2,Tubulinea,3,0
3,Euglenozoa,2,0
4,Ascomycota,23,0
5,Basidiomycota,21,0
6,Blastocladiomycota,2,0
7,Chytridiomycota,3,0
8,Mucoromycota,5,0
9,Olpidiomycota,1,0
0,Sanchytriomycota,1,1
1,Zoopagomycota,8,1
2,Chordata,13,1
3,Echinodermata,5,1
4,Hemichordata,2,1
5,Nematoda,2,1
6,Nematomorpha,2,1
7,Arthropoda,19,1
8,Onychophora,1,1
9,Tardigrada,2,1
0,Kinorhyncha,2,2
1,Priapulida,1,2
2,Chaetognatha,1,2
3,Rotifera,2,2
4,Acanthocephala,4,2
5,Annelida,3,2
6,Brachiopoda,3,2
7,Bryozoa,3,2
8,Mollusca,8,2
9,Nemertea,3,2
0,Platyhelminthes,6,3
1,Cnidaria,7,3
2,Ctenophora,2,3
3,Placozoa,1,3
4,Porifera,4,3
5,Nebulidia,1,3
6,Nibbleridia,1,3
7,Rhodophyta,5,3
8,Apicomplexa,3,3
9,Ciliophora,14,3
0,Cercozoa,3,4
1,Endomyxa,2,4
2,Foraminifera,1,4
3,Bacillariophyta,4,4
4,Chlorophyta,11,4
5,Prasinodermophyta,1,4
6,Streptophyta,26,4
7,Picozoa,1,4
