"","org_name","note","tax_id","pathways","reference","ref_type"
"1","Ferroglobus placidus","As written",54261,"nitrate_reduction","Hafenbradl, D., Keller, M., Dirmeier, R., Rachel, R., Rossnagel, P., Burggraf, S., Huber, H., Stetter, K.O. (1996) Ferroglobus placidus gen. nov., sp. nov., a novel hyperthermophilic archaeum that oxidizes Fe2+ at neutral pH under anoxic conditions. Arch. Microbiol. 166, 308– 314.","full_text"
"2","Aquifex pyrophilus","As written",2714,"nitrate_reduction","Huber, R., Wilharm, T., Huber, D., Trincone, A., Burggraf, S., König, H., Rachel, R., Rockinger, I., Fricke, H., Stetter, K.O. (1992) Aquifex pyrophilus gen. nov. sp. nov., represents a novel group of marine hyperthermophilic hydrogen oxidizing bacteria. Syst. Appl. Microbiol. 15, 340– 351.","full_text"
"3","Veillonella alcalescens","As written",29466,"nitrate_reduction",NA,NA
"4","Micrococcus denitrificans","As written",266,"nitrate_reduction",NA,NA
"5","Thiobacillus denitrificans","As written",36861,"nitrate_reduction","Thauer, R.K., Jungermann, K., Decker, K. (1977) Energy conservation in chemotrophic anaerobic bacteria. Bacteriol. Rev. 41, 100– 180.","full_text"
"6","Bacillus schlegelii","Inferred",1484,"nitrate_reduction","Schenk, A., Aragno, M. (1979) Bacillus schlegelii, a new species of thermophilic, facultatively chemolithoautotrophic bacterium oxidizing molecular hydrogen. J. Gen. Microbiol. 115, 333– 341.","full_text"
"7","Calderobacterium hydrogenophilum","Inferred",35835,"nitrate_reduction","Kryukov, V.R., Savel'eva, N.D., Pusheva, M.A. (1983) Calderobacterium hydrogenophilum gen. et. sp. nov., an extremely thermophilic hydrogen bacterium and its hydrogenase activity. Mikrobiologiya (in Russian) 52, 781– 788.","full_text"
"8","Silicibacter lacuscaerulensis","Hydrogen from an organic source",55218,"nitrate_reduction","Petursdottir, S.K., Kristjansson, J.K. (1997) Silicibacter lacuscaerulensis gen. nov., sp. nov., a mesophilic moderately halophilic bacterium characteristic of the Blue Lagoon geothermal lake in Iceland. Extremophiles 1, 94– 99.","full_text"
"9","Pyrobaculum aerophilum","Hydrogen from an organic source",13773,"nitrate_reduction","Völkl, P., Huber, R., Drobner, E., Rachel, R., Burggraf, S., Trincone, A., Stetter, K.O. (1993) Pyrobaculum aerophilum sp. nov., a novel nitrate?reducing hyperthermophilic archaeum. Appl. Environ. Microbiol. 1993, 2918– 2926.","full_text"
"10","Thermothrix thioparus","Hydrogen from an organic source",48382,"nitrate_reduction","Caldwell, D.E., Caldwell, S.J., Laycock, J.P. (1976) Thermothrix thioparus gen. et sp. nov. a facultatively anaerobic facultative chemolithotroph living at neutral pH and high temperature. Can. J. Microbiol. 22, 1509– 1517.","full_text"
"11","Clostridium perfringens","Hydrogen from an organic source",1502,"nitrate_reduction",NA,NA
"12","Aerobacter aerogenes","Hydrogen from an organic source",548,"nitrate_reduction",NA,NA
"13","Escherichia coli","Hydrogen from an organic source",562,"nitrate_reduction",NA,NA
"14","Pseudomonas aeruginosa","Hydrogen from an organic source",287,"nitrate_reduction",NA,NA
"15","Pseudomonas denitrificans","Hydrogen from an organic source",43306,"nitrate_reduction",NA,NA
"16","Spirillum itersoni","Hydrogen from an organic source",189,"nitrate_reduction",NA,NA
"17","Selenomonas ruminantium","Hydrogen from an organic source",971,"nitrate_reduction","Thauer, R.K., Jungermann, K., Decker, K. (1977) Energy conservation in chemotrophic anaerobic bacteria. Bacteriol. Rev. 41, 100– 180.","full_text"
"18","Aquifex pyrophilus","As written",2714,"denitrification","Huber, R., Wilharm, T., Huber, D., Trincone, A., Burggraf, S., König, H., Rachel, R., Rockinger, I., Fricke, H., Stetter, K.O. (1992) Aquifex pyrophilus gen. nov. sp. nov., represents a novel group of marine hyperthermophilic hydrogen oxidizing bacteria. Syst. Appl. Microbiol. 15, 340– 351.","full_text"
"19","Micrococcus denitrificans","As written",266,"denitrification",NA,NA
"20","Thiobacillus denitrificans","As written",36861,"denitrification","Thauer, R.K., Jungermann, K., Decker, K. (1977) Energy conservation in chemotrophic anaerobic bacteria. Bacteriol. Rev. 41, 100– 180.","full_text"
"21","Pyrobaculum aerophilum","Hydrogen from an organic source",13773,"denitrification","Völkl, P., Huber, R., Drobner, E., Rachel, R., Burggraf, S., Trincone, A., Stetter, K.O. (1993) Pyrobaculum aerophilum sp. nov., a novel nitrate?reducing hyperthermophilic archaeum. Appl. Environ. Microbiol. 1993, 2918– 2926.","full_text"
"22","Thermothrix thioparus","Hydrogen from an organic source",48382,"denitrification","Caldwell, D.E., Caldwell, S.J., Laycock, J.P. (1976) Thermothrix thioparus gen. et sp. nov. a facultatively anaerobic facultative chemolithotroph living at neutral pH and high temperature. Can. J. Microbiol. 22, 1509– 1517.","full_text"
"23","Clostridium perfringens","Hydrogen from an organic source",1502,"denitrification",NA,NA
"24","Pseudomonas aeruginosa","Hydrogen from an organic source",287,"denitrification",NA,NA
"25","Paracoccus denitrificans","Hydrogen from an organic source",266,"denitrification","Thauer, R.K., Jungermann, K., Decker, K. (1977) Energy conservation in chemotrophic anaerobic bacteria. Bacteriol. Rev. 41, 100– 180.","full_text"
"26","Ammonifex degensii","As written",42838,"nitrate_reduction_to_ammonia","Huber, R., Rossnagel, P., Woese, C.R., Rachel, R., Langworthy, T.A., Stetter, K.O. (1996) Formation of ammonium from nitrate during chemolithoautotrophic growth of the extremely thermophilic bacterium Ammonifex degensii gen. nov. sp. nov. Syst. Appl. Microbiol. 19, 40– 49.","full_text"
