"tax_id","org_name","metabolism","ref_type","reference"
46125,"Abiotrophia defectiva","microaerophilic","doi","doi.org/10.1093/nar/gky879"
32002,"Achromobacter denitrificans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1243001,"Acidipropionibacterium damnosum","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1749,"Acidipropionibacterium jensenii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1751,"Acidipropionibacterium thoenii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
80878,"Acidovorax temperans","microaerophilic","doi","doi.org/10.1093/nar/gky879"
134533,"Acinetobacter parvus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
48296,"Acinetobacter pittii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
472,"Acinetobacter sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
108980,"Acinetobacter ursingii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
221404,"Actinobacillus anseriformium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
157339,"Actinobacillus arthritidis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
717,"Actinobacillus capsulatus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
51161,"Actinobacillus delphinicola","microaerophilic","doi","doi.org/10.1093/nar/gky879"
202948,"Actinobacillus equuli subsp. haemolyticus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
719,"Actinobacillus hominis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
720,"Actinobacillus lignieresii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
715,"Actinobacillus pleuropneumoniae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
51048,"Actinobacillus porcinus","microaerophilic","doi","doi.org/10.1093/nar/gky879"
123820,"Actinobacillus rossii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
182182,"Actinobacillus scotiae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
722,"Actinobacillus seminis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
41114,"Actinobacillus sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
716,"Actinobacillus suis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
723,"Actinobacillus ureae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
202789,"Actinobaculum massiliense","microaerophilic","doi","doi.org/10.1093/nar/gky879"
134602,"Actinomadura nitritigenes","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1989,"Actinomadura sp.","microaerophilic","doi","doi.org/10.1093/nar/gky879"
589159,"Actinomadura sputi","microaerophilic","doi","doi.org/10.1093/nar/gky879"
131109,"Actinomyces bowdenii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
100469,"Actinomyces canis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
119495,"Actinomyces catuli","microaerophilic","doi","doi.org/10.1093/nar/gky879"
103618,"Actinomyces coleocanis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
52767,"Actinomyces denticolens","microaerophilic","doi","doi.org/10.1093/nar/gky879"
132933,"Actinomyces funkei","microaerophilic","doi","doi.org/10.1093/nar/gky879"
52769,"Actinomyces gerencseriae","microaerophilic","doi","doi.org/10.1093/nar/gky879"
55565,"Actinomyces graevenitzii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
52771,"Actinomyces howellii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
29316,"Actinomyces hyovaginalis","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1659,"Actinomyces israelii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
156892,"Actinomyces marimammalium","microaerophilic","doi","doi.org/10.1093/nar/gky879"
1655,"Actinomyces naeslundii","microaerophilic","doi","doi.org/10.1093/nar/gky879"
