"tax_id","species_tax_id","species_name","species","reference","metabolism","d1_lo","d1_up","d2_lo","d2_up","doubling_h","accession","source","ref_type"
291968,291968,"Acaricomes phytoseiuli","Acaricomes phytoseiuli","doi.org/10.1002/9781118960608.gbm00117",NA,0.5,0.8,1,1.5,NA,"AJ812213","the predatory mite Phytoseiulus persimilis","doi"
35830,35830,"Acetivibrio cellulosolvens","Acetivibrio cellulolyticus","doi.org/10.1002/9781118960608.gbm00671","obligate anaerobic",0.3,0.7,2,3,NA,"L35515",NA,"doi"
290052,290052,"Acetivibrio ethanolgignens","Acetivibrio ethanolgignens","doi.org/10.1002/9781118960608.gbm00671","obligate anaerobic",0.5,0.9,1.5,2.5,NA,NA,NA,"doi"
937251,937251,"Acetivibrio multivorans","Youngiibacter multivorans","doi.org/10.1002/9781118960608.gbm00671","obligate anaerobic",0.5,0.9,0.8,3.5,NA,NA,NA,"doi"
745369,745369,"Acetoanaerobium noterae","Acetoanaerobium noterae","doi.org/10.1002/9781118960608.gbm00732",NA,0.8,NA,1,5,NA,NA,NA,"doi"
104101,104101,"Acetobacter indonesiensis","Acetobacter indonesiensis","doi.org/10.1002/9781118960608.gbm00876",NA,0.8,1,1.8,2,NA,"AB032356",NA,"doi"
146474,146474,"Acetobacter orientalis","Acetobacter orientalis","doi.org/10.1002/9781118960608.gbm00876",NA,0.6,0.8,2,3,NA,"AB052706",NA,"doi"
65959,65959,"Acetobacter pomorum","Acetobacter pomorum","doi.org/10.1002/9781118960608.gbm00876",NA,0.8,1.2,1.3,1.6,NA,"AJ001632",NA,"doi"
104102,104102,"Acetobacter tropicalis","Acetobacter tropicalis","doi.org/10.1002/9781118960608.gbm00876",NA,0.5,0.7,1.8,2,NA,"AB032354",NA,"doi"
52689,52689,"Acetobacterium bakii","Acetobacterium bakii","doi.org/10.1002/9781118960608.gbm00626",NA,0.9,1.5,1.5,2.7,NA,"X96960",NA,"doi"
52690,52690,"Acetobacterium carbinolicum","Acetobacterium carbinolicum","doi.org/10.1002/9781118960608.gbm00626",NA,0.8,1,1.5,2.5,NA,"X96956",NA,"doi"
82116,82116,"Acetobacterium dehalogenans","Acetobacterium dehalogenans","doi.org/10.1002/9781118960608.gbm00626","obligate anaerobic",1.1,NA,1.5,NA,NA,NA,NA,"doi"
52691,52691,"Acetobacterium fimetarium","Acetobacterium fimetarium","doi.org/10.1002/9781118960608.gbm00626",NA,0.8,1.1,1.5,2.6,22,"X96959",NA,"doi"
52693,52693,"Acetobacterium paludosum","Acetobacterium paludosum","doi.org/10.1002/9781118960608.gbm00626",NA,0.8,1.1,1.3,2.9,NA,"X96958",NA,"doi"
93718,93718,"Acetobacterium psammolithicum","Acetobacterium psammolithicum","doi.org/10.1002/9781118960608.gbm00626","obligate anaerobic",1.1,NA,1.7,3.3,NA,NA,NA,"doi"
132932,132932,"Acetobacterium tundrae","Acetobacterium tundrae","doi.org/10.1002/9781118960608.gbm00626",NA,0.7,1.1,1.1,4,NA,"AJ297449",NA,"doi"
52694,52694,"Acetobacterium wieringae","Acetobacterium wieringae","doi.org/10.1002/9781118960608.gbm00626",NA,1,NA,2,NA,10,"X96955",NA,"doi"
33952,33952,"Acetobacterium woodii","Acetobacterium woodii","doi.org/10.1002/9781118960608.gbm00626",NA,1,NA,2,NA,NA,"X96954",NA,"doi"
28187,28187,"Acetohalobium arabaticum","Acetohalobium arabaticum","doi.org/10.1002/9781118960608.gbm00736","obligate anaerobic",NA,NA,NA,NA,NA,"L37422","cyanobacterial mats in hypersaline lagoons","doi"
2374,2374,"Acetonema longum","Acetonema longum","doi.org/10.1002/9781118960608.gbm00686","obligate anaerobic",0.3,0.4,6,60,NA,"AJ010964",NA,"doi"
264633,264633,"Acholeplasma cavigenitalium","Acholeplasma cavigenitalium","doi.org/10.1002/9781118960608.gbm01256","aerobic",NA,NA,NA,NA,NA,"AY538164","isolated from the vagina of guinea pigs","doi"
264639,264639,"Acholeplasma parvum","Acholeplasma parvum","doi.org/10.1002/9781118960608.gbm01256","aerobic",NA,NA,NA,NA,NA,"AY538170","isolated from the oral cavities and vagina of healthy horses","doi"
228419,228419,"Acholeplasma pleciae","Acholeplasma pleciae","doi.org/10.1002/9781118960608.gbm01256","facultative",NA,NA,NA,NA,NA,"AY257485","originally isolated from the hemolymph of a larva of the corn root maggot (Plecia sp","doi"
