"tax_id","org_name","isolation_source","metabolism","growth_tmp","ref_type","reference"
1600,"Lactobacillus acetotolerans","fermented vinegar broth","Anaerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
267364,"Lactobacillus acidifarinae","artisanal wheat sourdough","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
89059,"Lactobacillus acidipiscis","fermented fish","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1579,"Lactobacillus acidophilus","human","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1601,"Lactobacillus agilis","municipal sewage","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
105612,"Lactobacillus algidus","vacuum-packed beef","Anaerobic",20,"doi","doi.org/10.1128/AEM.01738-18"
1602,"Lactobacillus alimentarius","marinated fish product","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1603,"Lactobacillus amylophilus","swine waste-corn fermentation","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
376807,"Lactobacillus amylotrophicus","swine waste-corn fermentation","Aerobic",30,"doi","doi.org/10.1128/AEM.01738-18"
1604,"Lactobacillus amylovorus","cattle waste-corn fermentation","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1605,"Lactobacillus animalis","dental plaque of baboon","Aerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
227943,"Lactobacillus antri","gastric biopsies, human stomach mucosa","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1218495,"Lactobacillus apinorum","honey stomach of honeybee","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
303541,"Lactobacillus apis","stomachs of honeybees","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
307126,"Lactobacillus apodemi","faeces of wild japanese wood mouse","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
392566,"Lactobacillus aquaticus","surface of a eutrophic freshwater pond","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
147809,"Lactobacillus aviarius subsp. araffinosus","intestine of chicken","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
147810,"Lactobacillus aviarius subsp. aviarius","faeces of chicken","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
375175,"Lactobacillus backii","orchardgrass silage","Preferably anaerobic",28,"doi","doi.org/10.1128/AEM.01738-18"
1607,"Lactobacillus bifermentans","blown cheese","Anaerobic",NA,"doi","doi.org/10.1128/AEM.01738-18"
1303590,"Lactobacillus bombi","digestive tracts of bumblebee queens","Anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
1505723,"Lactobacillus bombicola","bumble bee gut","Strictly anaerobic",37,"doi","doi.org/10.1128/AEM.01738-18"
943673,"Lactobacillus brantae","faeces of canada goose","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
1580,"Lactobacillus brevis","faeces","Microaerophilic",30,"doi","doi.org/10.1128/AEM.01738-18"
1581,"Lactobacillus buchneri","tomato pulp","Microaerophilic",37,"doi","doi.org/10.1128/AEM.01738-18"
