"tax_id","org_name","growth_tmp","metabolism","trophy","doubling_h","reference","ref_type"
691,"Vibrio natriegens",37,"FA","H",0.16,"Eagon RG. Pseudomonas natriegens, a marine bacterium with a generation time of less than 10 minutes. J Bacteriol. 1962;83(4):736-737.","full_text"
41211,"Desulfotomaculum sp.",65,"AN","A",5,"Karnauchow TM, Koval SF, Jarrell KF. Isolation and characterization of three thermophilic anaerobes from a St. Lucia hot spring. Syst Appl Microbiol. 1992;15(2):296-310.","full_text"
413888,"Caldicellulosiruptor hydrothermalis",65,"AN","H",2,"Miroshnichenko ML, Kublanov IV, Kostrikina NA, Tourova TP, Kolganova TV, Birkeland NK, et al. Caldicellulosiruptor kronotskyensis sp. nov. and Caldicellulosiruptor hydrothermalis sp. nov., two extremely thermophilic, cellulolytic, anaerobic bacteria from Kamchatka thermal springs. Int J Syst Evol Microbiol. 2008;58(6):1492-1496.","full_text"
413889,"Caldicellulosiruptor kronotskyensis",70,"AN","H",2.5,"Miroshnichenko ML, Kublanov IV, Kostrikina NA, Tourova TP, Kolganova TV, Birkeland NK, et al. Caldicellulosiruptor kronotskyensis sp. nov. and Caldicellulosiruptor hydrothermalis sp. nov., two extremely thermophilic, cellulolytic, anaerobic bacteria from Kamchatka thermal springs. Int J Syst Evol Microbiol. 2008;58(6):1492-1496.","full_text"
52765,"Caldicellulosiruptor kristjanssonii",78,"AN","H",2,"Bredholt S, Sonne-Hansen J, Nielsen P, Mathrani IM, Ahring BK. Caldicellulosiruptor kristjanssonii sp. nov., a cellulolytic, extremely thermophilic, anaerobic bacterium. Int J Syst Bacteriol. 1999;49(3):991-996.","full_text"
301953,"Caldicellulosiruptor acetigenus",64.9,"AN","H",4.93,"Nielsen P, Mathrani IM, Ahring BK. Thermoanaerobium acetigenum spec. nov., a new anaerobic, extremely thermophilic, xylanolytic nonspore-forming bacterium isolated from an Icelandic hot spring. Arch Microbiol. 1993;159(5):460-464.","full_text"
31899,"Caldicellulosiruptor bescii",77.9,"AN","H",1.18,"Yang SJ, Kataeva I, Wiegel J, Yin Y, Dam P, Xu Y, et al. Classification of ÇƒÚAnaerocellum thermophilumÇƒÙ strain DSM 6725 as Caldicellulosiruptor bescii sp. nov. Int J Syst Evol Microbiol. 2010;60(9):2011-2015.","full_text"
291048,"Caminibacter mediatlanticus",55,"AN","A",0.83,"Voordeckers JW, Starovoytov V, Vetriani C. Caminibacter mediatlanticus sp. nov., a thermophilic, chemolithoautotrophic, nitrateammonifying bacterium isolated from a deep-sea hydrothermal vent on the Mid-Atlantic Ridge. Int J Syst Evol Microbiol. 2005;55(2):773-779.","full_text"
217041,"Caminibacter profundus",55,"FA","A",0.67,"Voordeckers JW, Starovoytov V, Vetriani C. Caminibacter mediatlanticus sp. nov., a thermophilic, chemolithoautotrophic, nitrateammonifying bacterium isolated from a deep-sea hydrothermal vent on the Mid-Atlantic Ridge. Int J Syst Evol Microbiol. 2005;55(2):773-779.","full_text"
1312852,"Thermoanaerobaculum aquaticum",60,"AN","H",8.9,"Losey NA, Stevenson BS, Busse HJ, Damste√≈ JSS, Rijpstra WIC, Rudd S, et al. Thermoanaerobaculum aquaticum gen. nov., sp. nov., the first cultivated member of Acidobacteria subdivision 23, isolated from a hot spring. Int J Syst Evol Microbiol. 2013;63(Pt 11):4149-4157.","full_text"
501340,"Thermococcoides shengliensis",65,"AN","H",1.75,"Feng Y, Cheng L, Zhang X, Li X, Deng Y, Zhang H. Thermococcoides shengliensis gen. nov., sp. nov., a new member of the order Thermotogales isolated from oil-production fluid. Int J Syst Evol Microbiol. 2010;60(4):932-937.","full_text"
1495039,"Mesoaciditoga lauensis",58.5,"AN","H",3,"Reysenbach AL, Liu Y, Lindgren AR, Wagner ID, Sislak CD, Mets A, et al. Mesoaciditoga lauensis gen. nov., sp. nov., a moderately thermoacidophilic member of the order Thermotogales from a deep-sea hydrothermal vent. Int J Syst Evol Microbiol. 2013;63(Pt 12):4724-4729.","full_text"
