"tax_id","org_name","growth_tmp","ref_type","reference"
46124,"abiotrophia_adiacens",37,"doi","doi.org/10.1186/s12866-018-1320-7"
137733,"abiotrophia_balaenopterae",37,"doi","doi.org/10.1186/s12866-018-1320-7"
46125,"abiotrophia_defectiva",37,"doi","doi.org/10.1186/s12866-018-1320-7"
137732,"abiotrophia_elegans",37,"doi","doi.org/10.1186/s12866-018-1320-7"
1817405,"abyssicoccus_albus",28,"doi","doi.org/10.1186/s12866-018-1320-7"
1675854,"abyssivirga_alkaniphila",37,"doi","doi.org/10.1186/s12866-018-1320-7"
442870,"acanthopleuribacter_pedis",25,"doi","doi.org/10.1186/s12866-018-1320-7"
291968,"acaricomes_phytoseiuli",25,"doi","doi.org/10.1186/s12866-018-1320-7"
155978,"acaryochloris_marina",20,"doi","doi.org/10.1186/s12866-018-1320-7"
879566,"acetatifactor_muris",37,"doi","doi.org/10.1186/s12866-018-1320-7"
2382,"acetitomaculum_ruminis",37,"doi","doi.org/10.1186/s12866-018-1320-7"
35830,"acetivibrio_cellulolyticus",37,"doi","doi.org/10.1186/s12866-018-1320-7"
290052,"acetivibrio_ethanolgignens",37,"doi","doi.org/10.1186/s12866-018-1320-7"
937251,"acetivibrio_multivorans",28,"doi","doi.org/10.1186/s12866-018-1320-7"
745369,"acetoanaerobium_noterae",35,"doi","doi.org/10.1186/s12866-018-1320-7"
435,"acetobacter_aceti",27,"doi","doi.org/10.1186/s12866-018-1320-7"
438,"acetobacter_alcoholophilus",26,"doi","doi.org/10.1186/s12866-018-1320-7"
81475,"acetobacter_aurantius",26,"doi","doi.org/10.1186/s12866-018-1320-7"
178900,"acetobacter_cerevisiae",27,"doi","doi.org/10.1186/s12866-018-1320-7"
146475,"acetobacter_cibinongensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
33996,"acetobacter_diazotrophicus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
104097,"acetobacter_estunense",26,"doi","doi.org/10.1186/s12866-018-1320-7"
104097,"acetobacter_estunensis",27,"doi","doi.org/10.1186/s12866-018-1320-7"
33995,"acetobacter_europaeus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
483199,"acetobacter_fabarum",28,"doi","doi.org/10.1186/s12866-018-1320-7"
431306,"acetobacter_ghanensis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
436,"acetobacter_hansenii",28,"doi","doi.org/10.1186/s12866-018-1320-7"
104101,"acetobacter_indonesiensis",28,"doi","doi.org/10.1186/s12866-018-1320-7"
66229,"acetobacter_intermedius",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1332824,"acetobacter_lambici",28,"doi","doi.org/10.1186/s12866-018-1320-7"
89584,"acetobacter_liquefaciens",28,"doi","doi.org/10.1186/s12866-018-1320-7"
104100,"acetobacter_lovaniensis",27,"doi","doi.org/10.1186/s12866-018-1320-7"
178901,"acetobacter_malorum",29,"doi","doi.org/10.1186/s12866-018-1320-7"
104099,"acetobacter_mesoxydans",26,"doi","doi.org/10.1186/s12866-018-1320-7"
437,"acetobacter_methanolicus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
864732,"acetobacter_musti",28,"doi","doi.org/10.1186/s12866-018-1320-7"
285268,"acetobacter_nitrogenifigens",28,"doi","doi.org/10.1186/s12866-018-1320-7"
65958,"acetobacter_oboediens",30,"doi","doi.org/10.1186/s12866-018-1320-7"
304077,"acetobacter_oeni",25,"doi","doi.org/10.1186/s12866-018-1320-7"
146474,"acetobacter_orientalis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
104099,"acetobacter_orleanensis",27,"doi","doi.org/10.1186/s12866-018-1320-7"
442,"acetobacter_oxydans",26,"doi","doi.org/10.1186/s12866-018-1320-7"
438,"acetobacter_pasteurianus",27,"doi","doi.org/10.1186/s12866-018-1320-7"
104098,"acetobacter_peroxydans",27,"doi","doi.org/10.1186/s12866-018-1320-7"
65959,"acetobacter_pomorum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
446692,"acetobacter_senegalensis",35,"doi","doi.org/10.1186/s12866-018-1320-7"
440,"acetobacter_sp",27,"doi","doi.org/10.1186/s12866-018-1320-7"
146476,"acetobacter_syzygii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
104102,"acetobacter_tropicalis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
28448,"acetobacter_xylinum",28,"doi","doi.org/10.1186/s12866-018-1320-7"
52689,"acetobacterium_bakii",20,"doi","doi.org/10.1186/s12866-018-1320-7"
52690,"acetobacterium_carbinolicum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
82116,"acetobacterium_dehalogenans",25,"doi","doi.org/10.1186/s12866-018-1320-7"
52691,"acetobacterium_fimetarium",25,"doi","doi.org/10.1186/s12866-018-1320-7"
52692,"acetobacterium_malicum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
52693,"acetobacterium_paludosum",20,"doi","doi.org/10.1186/s12866-018-1320-7"
1872094,"acetobacterium_sp",30,"doi","doi.org/10.1186/s12866-018-1320-7"
132932,"acetobacterium_tundrae",22,"doi","doi.org/10.1186/s12866-018-1320-7"
52694,"acetobacterium_wieringae",30,"doi","doi.org/10.1186/s12866-018-1320-7"
33952,"acetobacterium_woodii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
2325,"acetogenium_kivui",60,"doi","doi.org/10.1186/s12866-018-1320-7"
28187,"acetohalobium_arabaticum",37,"doi","doi.org/10.1186/s12866-018-1320-7"
49896,"acetomicrobium_flavidum",53,"doi","doi.org/10.1186/s12866-018-1320-7"
97477,"acetomicrobium_mobile",55,"doi","doi.org/10.1186/s12866-018-1320-7"
2374,"acetonema_longum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1871329,"acetonema_sp",30,"doi","doi.org/10.1186/s12866-018-1320-7"
29552,"acholeplasma_axanthum",32,"doi","doi.org/10.1186/s12866-018-1320-7"
61635,"acholeplasma_brassicae",30,"doi","doi.org/10.1186/s12866-018-1320-7"
264633,"acholeplasma_cavigenitalium",37,"doi","doi.org/10.1186/s12866-018-1320-7"
2149,"acholeplasma_entomophilum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
264634,"acholeplasma_equifetale",37,"doi","doi.org/10.1186/s12866-018-1320-7"
2151,"acholeplasma_florum",30,"doi","doi.org/10.1186/s12866-018-1320-7"
264635,"acholeplasma_granularum",37,"doi","doi.org/10.1186/s12866-018-1320-7"
264636,"acholeplasma_hippikon",37,"doi","doi.org/10.1186/s12866-018-1320-7"
2148,"acholeplasma_laidlawii",37,"doi","doi.org/10.1186/s12866-018-1320-7"
2150,"acholeplasma_modicum",37,"doi","doi.org/10.1186/s12866-018-1320-7"
264637,"acholeplasma_morum",37,"doi","doi.org/10.1186/s12866-018-1320-7"
264638,"acholeplasma_multilocale",37,"doi","doi.org/10.1186/s12866-018-1320-7"
35623,"acholeplasma_oculi",35,"doi","doi.org/10.1186/s12866-018-1320-7"
38986,"acholeplasma_palmae",30,"doi","doi.org/10.1186/s12866-018-1320-7"
264639,"acholeplasma_parvum",37,"doi","doi.org/10.1186/s12866-018-1320-7"
228419,"acholeplasma_pleciae",30,"doi","doi.org/10.1186/s12866-018-1320-7"
28224,"acholeplasma_seiffertii",30,"doi","doi.org/10.1186/s12866-018-1320-7"
69473,"acholeplasma_vituli",37,"doi","doi.org/10.1186/s12866-018-1320-7"
1389935,"achromobacter_animicus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
77097,"achromobacter_aquamarinus",26,"doi","doi.org/10.1186/s12866-018-1320-7"
1114982,"achromobacter_cholinophagum",26,"doi","doi.org/10.1186/s12866-018-1320-7"
223,"achromobacter_cycloclastes",34,"doi","doi.org/10.1186/s12866-018-1320-7"
32002,"achromobacter_denitrificans",30,"doi","doi.org/10.1186/s12866-018-1320-7"
668,"achromobacter_fischeri",26,"doi","doi.org/10.1186/s12866-018-1320-7"
1665,"achromobacter_globiforme",26,"doi","doi.org/10.1186/s12866-018-1320-7"
29430,"achromobacter_haemolyticus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
217204,"achromobacter_insolitus",33,"doi","doi.org/10.1186/s12866-018-1320-7"
1287735,"achromobacter_insuavis",34,"doi","doi.org/10.1186/s12866-018-1320-7"
339,"achromobacter_lunatus",26,"doi","doi.org/10.1186/s12866-018-1320-7"
224,"achromobacter_lyticus",30,"doi","doi.org/10.1186/s12866-018-1320-7"
1389922,"achromobacter_mucicolens",30,"doi","doi.org/10.1186/s12866-018-1320-7"
628,"achromobacter_nematophilus",26,"doi","doi.org/10.1186/s12866-018-1320-7"
1353889,"achromobacter_pestifer",30,"doi","doi.org/10.1186/s12866-018-1320-7"
72556,"achromobacter_piechaudii",31,"doi","doi.org/10.1186/s12866-018-1320-7"
1389932,"achromobacter_pulmonis",30,"doi","doi.org/10.1186/s12866-018-1320-7"
358,"achromobacter_radiobacter",26,"doi","doi.org/10.1186/s12866-018-1320-7"
72557,"achromobacter_ruhlandii",29,"doi","doi.org/10.1186/s12866-018-1320-7"
134375,"achromobacter_sp",28,"doi","doi.org/10.1186/s12866-018-1320-7"
217203,"achromobacter_spanius",32,"doi","doi.org/10.1186/s12866-018-1320-7"
1705,"achromobacter_stationis",26,"doi","doi.org/10.1186/s12866-018-1320-7"
85698,"achromobacter_xylosoxidans",31,"doi","doi.org/10.1186/s12866-018-1320-7"
