"org_name","pathways","subpathways","reference","note","tax_id","ref_type"
"Methanoperedens nitroreducens","methanotrophy",NA,"DOI:10.1038/nature12375","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",1392998,"doi"
"Methanoperedens nitroreducens","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1038/nature12375","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",1392998,"doi"
"Methanoperedens nitroreducens","methylotrophy","methanotrophy","DOI:10.1038/nature12375","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",1392998,"doi"
"Methanoperedens nitroreducens","nitrogen_respiration","nitrate_respiration","DOI:10.1038/nature12375","",1392998,"doi"
"Methanoperedens nitroreducens","chemoheterotrophy","methylotrophy","DOI:10.1038/nature12375","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",1392998,"doi"
"Methanoperedens nitroreducens","nitrate_reduction","nitrate_respiration","DOI:10.1038/nature12375","",1392998,"doi"
"Methanoperedens nitroreducens","hydrocarbon_degradation","methanotrophy","DOI:10.1038/nature12375","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",1392998,"doi"
"Methanoperedens nitroreducens","nitrate_respiration",NA,"DOI:10.1038/nature12375","",1392998,"doi"
"Methylothermus thermalis","methylotrophy","methanotrophy","Anitori (2012) - Extremophiles: Microbiology and Biotechnology, ISBN: 9781904455981","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",317575,"full_text"
"Methylothermus thermalis","chemoheterotrophy","methylotrophy","Anitori (2012) - Extremophiles: Microbiology and Biotechnology, ISBN: 9781904455981","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",317575,"full_text"
"Methylothermus thermalis","chemoheterotrophy","hydrocarbon_degradation","Anitori (2012) - Extremophiles: Microbiology and Biotechnology, ISBN: 9781904455981","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",317575,"full_text"
"Methylothermus thermalis","hydrocarbon_degradation","methanotrophy","Anitori (2012) - Extremophiles: Microbiology and Biotechnology, ISBN: 9781904455981","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",317575,"full_text"
"Methylothermus thermalis","methanotrophy",NA,"Anitori (2012) - Extremophiles: Microbiology and Biotechnology, ISBN: 9781904455981","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",317575,"full_text"
"Methylomarinum vadi","hydrocarbon_degradation","methanotrophy","DOI:10.1099/ijs.0.040568-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438855,"doi"
"Methylomarinum vadi","methylotrophy","methanotrophy","DOI:10.1099/ijs.0.040568-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438855,"doi"
"Methylomarinum vadi","methanotrophy",NA,"DOI:10.1099/ijs.0.040568-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438855,"doi"
"Methylomarinum vadi","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1099/ijs.0.040568-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438855,"doi"
"Methylomarinum vadi","chemoheterotrophy","methylotrophy","DOI:10.1099/ijs.0.040568-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438855,"doi"
"Methylacidiphilum fumariolicum","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1099/mic.0.036061-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Methylacidiphilum fumariolicum","hydrocarbon_degradation","methanotrophy","DOI:10.1099/mic.0.036061-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Methylacidiphilum fumariolicum","methylotrophy","methanotrophy","DOI:10.1099/mic.0.036061-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Methylacidiphilum fumariolicum","chemoheterotrophy","methylotrophy","DOI:10.1099/mic.0.036061-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Methylacidiphilum fumariolicum","methanotrophy",NA,"DOI:10.1099/mic.0.036061-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Methylacidiphilum fumariolicum","nitrogen_fixation",NA,"DOI:10.1099/mic.0.036061-0","",591154,"doi"
"Methylomarinovum caldicuralii","methylotrophy","methanotrophy","DOI:10.1099/ijs.0.058172-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438856,"doi"
"Methylomarinovum caldicuralii","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1099/ijs.0.058172-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438856,"doi"
"Methylomarinovum caldicuralii","methanotrophy",NA,"DOI:10.1099/ijs.0.058172-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438856,"doi"
"Methylomarinovum caldicuralii","hydrocarbon_degradation","methanotrophy","DOI:10.1099/ijs.0.058172-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438856,"doi"
"Methylomarinovum caldicuralii","chemoheterotrophy","methylotrophy","DOI:10.1099/ijs.0.058172-0","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",438856,"doi"
"Methylacidiphilum infernorum","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1186/1745-6150-3-26","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylacidiphilum infernorum","hydrocarbon_degradation","methanotrophy","DOI:10.1186/1745-6150-3-26","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylacidiphilum infernorum","chemoheterotrophy","methylotrophy","DOI:10.1186/1745-6150-3-26","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylacidiphilum infernorum","methylotrophy","methanotrophy","DOI:10.1186/1745-6150-3-26","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylacidiphilum infernorum","methanotrophy",NA,"DOI:10.1186/1745-6150-3-26","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylokorus infernorum","hydrocarbon_degradation","methanotrophy","DOI:10.1038/nature06411","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylokorus infernorum","chemoheterotrophy","methylotrophy","DOI:10.1038/nature06411","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylokorus infernorum","methylotrophy","methanotrophy","DOI:10.1038/nature06411","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylokorus infernorum","methanotrophy",NA,"DOI:10.1038/nature06411","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Methylokorus infernorum","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1038/nature06411","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",511746,"doi"
"Acidimethylosilex fumarolicum","methylotrophy","methanotrophy","DOI:10.1038/nature06222","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Acidimethylosilex fumarolicum","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1038/nature06222","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Acidimethylosilex fumarolicum","chemoheterotrophy","methylotrophy","DOI:10.1038/nature06222","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Acidimethylosilex fumarolicum","methanotrophy",NA,"DOI:10.1038/nature06222","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Acidimethylosilex fumarolicum","hydrocarbon_degradation","methanotrophy","DOI:10.1038/nature06222","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",591154,"doi"
"Methylomirabilis oxyfera","nitrogen_respiration","denitrification","DOI:10.1128/JB.05816-11","",671143,"doi"
"Methylomirabilis oxyfera","chemoheterotrophy","methylotrophy","DOI:10.1128/AEM.02099-12","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",671143,"doi"
"Methylomirabilis oxyfera","nitrogen_respiration","nitrite_respiration","DOI:10.1128/JB.05816-11","",671143,"doi"
"Methylomirabilis oxyfera","hydrocarbon_degradation","methanotrophy","DOI:10.1128/AEM.02099-12","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",671143,"doi"
"Methylomirabilis oxyfera","methylotrophy","methanotrophy","DOI:10.1128/AEM.02099-12","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",671143,"doi"
"Methylomirabilis oxyfera","denitrification","nitrous_oxide_denitrification","DOI:10.1128/JB.05816-11","",671143,"doi"
"Methylomirabilis oxyfera","denitrification","nitrite_denitrification","DOI:10.1128/JB.05816-11","",671143,"doi"
"Methylomirabilis oxyfera","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1128/AEM.02099-12","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",671143,"doi"
"Methylomirabilis oxyfera","nitrous_oxide_denitrification","nitrite_denitrification","DOI:10.1128/JB.05816-11","",671143,"doi"
"Methylomirabilis oxyfera","methanotrophy",NA,"DOI:10.1128/AEM.02099-12","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",671143,"doi"
"Methylomirabilis oxyfera","nitrite_denitrification",NA,"DOI:10.1128/JB.05816-11","",671143,"doi"
"Methylomirabilis oxyfera","nitrite_respiration","nitrite_denitrification","DOI:10.1128/JB.05816-11","",671143,"doi"
"Methylocystis parvus","chemoheterotrophy","fermentation","DOI:10.1111/j.1758-2229.2009.00069.x","",134,"doi"
"Methylocystis parvus","methylotrophy","methanotrophy","DOI:10.1111/j.1758-2229.2009.00069.x","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",134,"doi"
"Methylocystis parvus","hydrocarbon_degradation","methanotrophy","DOI:10.1111/j.1758-2229.2009.00069.x","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",134,"doi"
"Methylocystis parvus","chemoheterotrophy","hydrocarbon_degradation","DOI:10.1111/j.1758-2229.2009.00069.x","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",134,"doi"
"Methylocystis parvus","chemoheterotrophy","methylotrophy","DOI:10.1111/j.1758-2229.2009.00069.x","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",134,"doi"
"Methylocystis parvus","methanotrophy",NA,"DOI:10.1111/j.1758-2229.2009.00069.x","elements:C,H; main_element:C; electron_donor:C; electron_acceptor:variable; aerobic:variable; exclusively_prokaryotic:yes; light_dependent:no",134,"doi"
"Methylocystis parvus","fermentation",NA,"DOI:10.1111/j.1758-2229.2009.00069.x","",134,"doi"
"Methylosinus trichosporium","aliphatic_non_methane_hydrocarbon_degradation",NA,"Oldenhuis et al. (1989) - Degradation of chlorinated aliphatic hydrocarbons by Methylosinus trichosporium OB3b expressing soluble methane monooxygenase","",426,"full_text"
