"tax_id","name_class","org_name","Strain","metabolism","pathways","carbon_substrates","sporulation","cell_shape","motility","optimum_ph","optimum_tmp","d1_lo","d1_up","d2_lo","d2_up","isolation_source","reference","ref_type"
442870,"scientific name","Acanthopleuribacter pedis","FYK2218","obligate aerobe",NA,"alanine, alanine, glucose, serine, threonine","no","rod","motile, but unspecified structure",NA,30,0.7,1,2.4,4.7,"other, chiton","doi.org/10.1099/ijs.0.65589-0","doi"
291968,"scientific name","Acaricomes phytoseiuli","CSC","obligate aerobe",NA,"dextrin, fructose, glucose, glutamic acid, maltose, mannose, sucrose","no","cocci",NA,NA,25,0.5,0.8,1,1.5,"other, mite","doi.org/10.1099/ijs.0.63930-0","doi"
258515,"scientific name","Acetanaerobacterium elongatum","Z7T","anaerobic",NA,"arabinose, cellobiose, fructose, galactose, glucose, maltose, raffinose, salicin, sucrose, xylose","no","rod","flagella",6.75,37,0.3,NA,6,NA,"wastewater","doi.org/10.1099/ijs.0.63212-0","doi"
483199,"scientific name","Acetobacter fabarum","985","obligate aerobe",NA,"xylose","no","ovoid/coccobacillus","motile, but unspecified structure",7,28,0.8,NA,1.2,3,"other, cocoa bean heap fermentation","doi.org/10.1099/ijs.0.65778-0","doi"
431306,"scientific name","Acetobacter ghanensis","R-29337T","obligate aerobe",NA,"glycerol",NA,"rod","motile, but unspecified structure",NA,NA,0.8,NA,2,NA,"plant associated","doi.org/10.1099/ijs.0.64840-0","doi"
285268,"scientific name","Acetobacter nitrogenifigens","RG1","obligate aerobe",NA,"arabinose, fructose, galactose, mannitol, sorbitol, sucrose, xylose","no","rod","flagella",7,30,0.1,0.2,1.5,2,"other, tea","doi.org/10.1099/ijs.0.64101-0","doi"
304077,"scientific name","Acetobacter oeni","B13","obligate aerobe",NA,"glucose","no","rod","motile, but unspecified structure",NA,28,0.8,0.9,3.6,5.1,"other, spoiled red wine","doi.org/10.1099/ijs.0.46000-0","doi"
446692,"scientific name","Acetobacter senegalensis"," CWBI-B418T","obligate aerobe",NA,"ethanol, glycerol","no","cocci","motile, but unspecified structure",NA,35,0.8,NA,1.6,NA,"plant associated","doi.org/10.1099/ijs.0.64678-0","doi"
187327,"scientific name","Acidaminococcus intestini","ADV255.99T","anaerobic",NA,"acetate, arginine, butanol, glycine, histidine, lactate, leucine, propionic acid (propionate)","no","cocci","non-motile",NA,NA,0.55,NA,0.55,NA,"other, human gi tract","doi.org/10.1099/ijs.0.64883-0","doi"
946336,"scientific name","Acidicapsa borealis","KA1","obligate aerobe",NA,"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sucrose, trehalose, xylose","no","rod","non-motile",5.25,25,0.75,NA,2.25,NA,"other, decaying wood and peat","doi.org/10.1099/ijs.0.034819-0","doi"
542300,"scientific name","Acidicapsa ligni","WH120","obligate aerobe",NA,"arabinose, cellobiose, fructose, galactose, glucose, lactate, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sucrose, trehalose, xylose","no","rod","non-motile",4.25,25,0.65,NA,1.5,NA,"other, decaying wood and peat","doi.org/10.1099/ijs.0.034819-0","doi"
512383,"scientific name","Acidisoma sibiricum","TPB606T","obligate aerobe",NA,"arabinose, asparagine, cellobiose, fructose, galactose, galcturonic acid, gluconic acid, glucose, glycerol, lactose, mannitol, mannose, myo-inositol, pyruvic acid (pyruvate), sorbitol, sucrose, trehalose, xylose","no","ovoid/coccobacillus","non-motile",5.75,22.5,0.7,1.2,1.4,3.1,"freshwater sediment","doi.org/10.1099/ijs.0.009209-0","doi"
