"org_name","doubling_h","growth_tmp","isolation_source","tax_id","ref_type","reference"
"Anabaena bergii LIE02AB",63.2529746518581,25,"freshwater",459677,"doi","doi.org/10.1002/lno.10523"
"Anabaena cylindrica PCC 7122",17.8876691757405,25,"freshwater",272123,"doi","doi.org/10.1002/lno.10523"
"Anabaena flos-aquae",20.5831903826151,20,"freshwater",1166,"doi","doi.org/10.1002/lno.10523"
"Anabaena sp.",19.1846522755334,32,"freshwater",1167,"doi","doi.org/10.1002/lno.10523"
"Aphanizomenon aphanizomenoides",11.4569781910735,35,"freshwater",459663,"doi","doi.org/10.1002/lno.10523"
"Aphanizomenon flos-aquae",14.2011834337264,25,"freshwater",1176,"doi","doi.org/10.1002/lno.10523"
"Aphanizomenon gracile",19.1213015326881,32.5,"freshwater",54296,"doi","doi.org/10.1002/lno.10523"
"Chroococcus minutus",12.3226165432879,30,"freshwater",402401,"doi","doi.org/10.1002/lno.10523"
"Chrysosporum ovalisporum UAM290",47.1261539190898,35,"freshwater",459674,"doi","doi.org/10.1002/lno.10523"
"Crocosphaera watsonii",13.8629436111989,28,"marine",263511,"doi","doi.org/10.1002/lno.10523"
"Cylindrospermopsis raciborskii ATC-9502",9.91390484710291,30,"freshwater",246154,"doi","doi.org/10.1002/lno.10523"
"Dolichospermum macrosporum",87.5554333338878,25,"freshwater",135103,"doi","doi.org/10.1002/lno.10523"
"Dolichospermum ucrainicum",21.3824323051911,26,"freshwater",289438,"doi","doi.org/10.1002/lno.10523"
"Leptolyngbya tenuis",12.6988796438463,20,"freshwater",882062,"doi","doi.org/10.1002/lno.10523"
"Limnothrix redekei",12.3902942671321,25,"freshwater",132606,"doi","doi.org/10.1002/lno.10523"
"Merismopedia tenuissima",24.2500471332925,30,"freshwater",271628,"doi","doi.org/10.1002/lno.10523"
"Microcystis aeruginosa UTEX LB 2388",11.1423525341183,35,"freshwater",391907,"doi","doi.org/10.1002/lno.10523"
"Microcystis flos-aquae",10.0821408081447,35,"freshwater",109615,"doi","doi.org/10.1002/lno.10523"
"Microcystis ichthyoblabe",12.6026760101808,35,"freshwater",75561,"doi","doi.org/10.1002/lno.10523"
"Microcystis viridis",99.0210257942779,25,"freshwater",44822,"doi","doi.org/10.1002/lno.10523"
"Microcystis wesenbergii",69.3147180559945,35,"freshwater",44823,"doi","doi.org/10.1002/lno.10523"
"Oscillatoria sp.",14.9600110912218,25,"freshwater",1159,"doi","doi.org/10.1002/lno.10523"
"Planktothrix agardhii",8.89600659542176,30,"freshwater",1160,"doi","doi.org/10.1002/lno.10523"
"Planktothrix mougeotii",29.7063077382834,30,"freshwater",54306,"doi","doi.org/10.1002/lno.10523"
"Prochlorococcus marinus",26.4056068784741,24,"marine",1219,"doi","doi.org/10.1002/lno.10523"
"Synechococcus elongatus PCC 6301",18.2808047620205,35,"freshwater",269084,"doi","doi.org/10.1002/lno.10523"
"Synechocystis bourrellyi",12.7769065541004,35,"freshwater",1858730,"doi","doi.org/10.1002/lno.10523"
"Synechocystis limnetica",47.5300923812534,8,"freshwater",1858732,"doi","doi.org/10.1002/lno.10523"
"Synechocystis sp. PCC 6803",9.74547881279361,30,"freshwater",1148,"doi","doi.org/10.1002/lno.10523"
"Trichodesmium erythraeum IMS101",21.5765659318271,28,"marine",203124,"doi","doi.org/10.1002/lno.10523"
"Trichormus variabilis",6.10086004647239,35,"freshwater",264691,"doi","doi.org/10.1002/lno.10523"
