"org_name","genus","species","strain","growth_rate","pH","growth_tmp","tax_id","name_class","doubling_h","ref_type","reference"
"Acinetobacter baumannii","Acinetobacter","baumannii","ATCC 19606",0.95,7.4,37,470,"scientific name",0.729628611115732,"doi","doi.org/10.1371/journal.pone.0103548"
"Acinetobacter baylyi","Acinetobacter","baylyi","ADP1",0.805905,NA,30,202950,"scientific name",0.86008546982578,"doi","doi.org/10.1371/journal.pone.0103548"
"Bacillus amyloliquefaciens","Bacillus","amyloliquefaciens","B155",0.75,NA,37,1390,"scientific name",0.924196240746594,"doi","doi.org/10.1371/journal.pone.0103548"
"Bacillus subtilis","Bacillus","subtilis","168",1.54,6.5,NA,1423,"scientific name",0.450095571792172,"doi","doi.org/10.1371/journal.pone.0103548"
"Bradyrhizobium japonicum","Bradyrhizobium","japonicum","USDA 110",0.0578,7,28,375,"scientific name",11.9921657536323,"doi","doi.org/10.1371/journal.pone.0103548"
"Candidatus Pelagibacter sp.","Pelagibacter","sp","HTCC7211",0.0146,7.5,20,2024849,"scientific name",47.4758342849278,"doi","doi.org/10.1371/journal.pone.0103548"
"Chlamydomonas reinhardtii","Chlamydomonas","reinhardtii","-",0.066,7,25,3055,"scientific name",10.502230008484,"doi","doi.org/10.1371/journal.pone.0103548"
"Chromohalobacter salexigens","Chromohalobacter","salexigens","DSM 3043",0.12,7.5,30,158080,"scientific name",5.77622650466621,"doi","doi.org/10.1371/journal.pone.0103548"
"Clostridium acetobutylicum","Clostridium","acetobutylicum","P262",0.233676,7,34,1488,"scientific name",2.96627458771951,"doi","doi.org/10.1371/journal.pone.0103548"
"Clostridium beijerinckii","Clostridium","beijerinckii","NCIMB 8052",0.22142,NA,37,1520,"scientific name",3.13046328497853,"doi","doi.org/10.1371/journal.pone.0103548"
"Corynebacterium glutamicum","Corynebacterium","glutamicum","ATCC 13032",0.36,6.5,30,1718,"scientific name",1.92540883488874,"doi","doi.org/10.1371/journal.pone.0103548"
"Cyanothece","Cyanothece","","ATCC 51142",0.12,7.7,30,43988,"scientific name",5.77622650466621,"doi","doi.org/10.1371/journal.pone.0103548"
"Deinococcus radiodurans","Deinococcus","radiodurans","R1",0.224,NA,35,1299,"scientific name",3.09440705607118,"doi","doi.org/10.1371/journal.pone.0103548"
"Escherichia coli","Escherichia","coli","MC4100",1.3,7,NA,562,"scientific name",0.533190138892266,"doi","doi.org/10.1371/journal.pone.0103548"
"Geobacter sulfurreducens","Geobacter","sulfurreducens","-",0.06,7,30,35554,"scientific name",11.5524530093324,"doi","doi.org/10.1371/journal.pone.0103548"
"Haemophilus influenzae","Haemophilus","influenzae","Rd",1.167,NA,NA,727,"scientific name",0.593956452921975,"doi","doi.org/10.1371/journal.pone.0103548"
"Hydrogenobacter thermophilus","Hydrogenobacter","thermophilus","TK-6",0.36,7,70,940,"scientific name",1.92540883488874,"doi","doi.org/10.1371/journal.pone.0103548"
"Klebsiella pneumoniae","Klebsiella ","pneumoniae","-",1.084,NA,37,573,"scientific name",0.639434668413234,"doi","doi.org/10.1371/journal.pone.0103548"
"Lactobacillus plantarum","Lactobacillus","plantarum","wcfs1",0.6,5.5,37,1590,"scientific name",1.15524530093324,"doi","doi.org/10.1371/journal.pone.0103548"
"Lactococcus lactis","Lactococcus","lactis","NCDO 2118",1,6.6,30,1358,"scientific name",0.693147180559945,"doi","doi.org/10.1371/journal.pone.0103548"
"Mannheimia succiniciproducens","Mannheimia","succiniciproducens","MMBEL55E",0.72,7,NA,157673,"equivalent name",0.962704417444369,"doi","doi.org/10.1371/journal.pone.0103548"
"Methanococcus maripaludis","Methanococcus","maripaludis","JJ",0.27,6.5,30,39152,"scientific name",2.56721177985165,"doi","doi.org/10.1371/journal.pone.0103548"
"Mycobacterium tuberculosis","Mycobacterium","tuberculosis","H37Rv",0.0472,6.9,37,1773,"scientific name",14.6853216220327,"doi","doi.org/10.1371/journal.pone.0103548"
"Natronomonas pharaonis","Natronomonas","pharaonis","DSM 2160",0.0868833,9.2,40,2257,"scientific name",7.97791037587137,"doi","doi.org/10.1371/journal.pone.0103548"
"Pelagibacter ubique","Pelagibacter","ubique","HTCC1062",0.0171,7.5,20,198252,"synonym",40.5349228397629,"doi","doi.org/10.1371/journal.pone.0103548"
"Porphyromonas gingivalis","Porphyromonas","gingivalis","W83",0.067,NA,37,837,"scientific name",10.3454803068649,"doi","doi.org/10.1371/journal.pone.0103548"
"Pseudomonas aeruginosa","Pseudomonas","aeruginosa","PA01",1.048,NA,37,287,"scientific name",0.661399981450329,"doi","doi.org/10.1371/journal.pone.0103548"
"Pseudomonas putida","Pseudomonas","putida","KT2440",0.72,NA,30,303,"scientific name",0.962704417444369,"doi","doi.org/10.1371/journal.pone.0103548"
"Rhizobium etli","Rhizobium","etli","CFN42",0.393358,6.8,28,29449,"scientific name",1.76212808830619,"doi","doi.org/10.1371/journal.pone.0103548"
"Salmonella enterica","Salmonella","enterica","Typhimurium LT2",0.832,7,NA,28901,"scientific name",0.833109592019165,"doi","doi.org/10.1371/journal.pone.0103548"
"Shewanella oneidensis","Shewanella","oneidensis","MR-1",0.694849,7,NA,70863,"scientific name",0.997550806808307,"doi","doi.org/10.1371/journal.pone.0103548"
"Staphylococcus aureus","Staphylococcus","aureus","N315",0.55,NA,37,1280,"scientific name",1.26026760101808,"doi","doi.org/10.1371/journal.pone.0103548"
"Streptococcus thermophilus","Streptococcus","thermophilus","ST1",2.35,6.7,37,1308,"scientific name",0.294956247046785,"doi","doi.org/10.1371/journal.pone.0103548"
"Streptomyces coelicolor","Streptomyces","Coelicolor","A3(2)",1.38629,7.2,30,1902,"scientific name",0.500001572946458,"doi","doi.org/10.1371/journal.pone.0103548"
"Synechocystis PCC6803","Synechocystis","PCC6803","-",0.024,8,31,1148,"misspelling",28.8811325233311,"doi","doi.org/10.1371/journal.pone.0103548"
