"tax_id","org_name","name_class","sporulation","gram_stain","optimum_tmp","optimum_ph","cogem_classification","ref_type","reference"
46125,"Abiotrophia defectiva","scientific name",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
35830,"Acetivibrio cellulolyticus","scientific name",NA,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
435,"Acetobacter aceti","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
438,"Acetobacter pasteurianus","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33952,"Acetobacterium woodii","scientific name",0,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
28187,"Acetohalobium arabaticum","scientific name",NA,1,NA,7.8,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
2374,"Acetonema longum","scientific name",1,0,31.5,7.8,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
2148,"Acholeplasma laidlawii","scientific name",NA,NA,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
72556,"Achromobacter piechaudii","scientific name",NA,NA,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
85698,"Achromobacter xylosoxidans","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
905,"Acidaminococcus fermentans","scientific name",0,0,33.5,7,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
53635,"Acidimicrobium ferrooxidans","scientific name",NA,1,47.5,2,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
524,"Acidiphilium cryptum","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
62140,"Acidiphilium multivorum","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33059,"Acidithiobacillus caldus","scientific name",NA,0,47.5,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
920,"Acidithiobacillus ferrooxidans","scientific name",NA,0,26,2,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
930,"Acidithiobacillus thiooxidans","scientific name",NA,0,26,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
33075,"Acidobacterium capsulatum","scientific name",NA,0,30,4.5,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
28049,"Acidothermus cellulolyticus","scientific name",NA,0,55,5.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
80867,"Acidovorax avenae","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
80869,"Acidovorax citrulli","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
47920,"Acidovorax delafieldii","scientific name",NA,0,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
470,"Acinetobacter baumannii","scientific name",0,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
106648,"Acinetobacter bereziniae","scientific name",0,0,NA,7.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
106649,"Acinetobacter guillouiae","scientific name",0,0,38,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
134534,"Acinetobacter gyllenbergii","scientific name",0,0,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
29430,"Acinetobacter haemolyticus","scientific name",0,0,28,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
40214,"Acinetobacter johnsonii","scientific name",0,0,26,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
40215,"Acinetobacter junii","scientific name",0,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
28090,"Acinetobacter lwoffii","scientific name",0,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
134533,"Acinetobacter parvus","scientific name",0,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
40216,"Acinetobacter radioresistens","scientific name",0,0,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
108981,"Acinetobacter schindleri","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
108980,"Acinetobacter ursingii","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
52133,"Acinetobacter venetianus","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
717,"Actinobacillus capsulatus","scientific name",NA,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
