"tax_id","org_name","genome_size","gc_content","motility","gram_stain","sporulation","cell_shape","range_salinity","range_tmp","metabolism","optimum_tmp","ref_type","reference"
551115,"'Nostoc azollae' 0708",5486145,38.3,"Yes",NA,NA,"Filaments",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
483218,"Bacteroides pectinophilus ATCC 43243",NA,41.9,"No","-","No","Rod",NA,"Mesophilic","Anaerobic",37.5,"doi","doi.org/10.1093/nar/gkw1017"
1232385,NA,3340941,54.25,NA,"Positive",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
593907,"Cellvibrio gilvus ATCC 13127",3526441,73.81,"Yes","-",NA,"Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
742732,NA,6604884,48.89,"Yes","Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
742734,NA,6252818,49.25,"Yes","Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
742736,NA,5459495,48.69,"Yes","Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1121324,NA,3404633,41.3,"Yes","Positive","Yes","Bacilli","Mesophilic","Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1408823,"[Clostridium] mangenotii TR",3052440,31.3,NA,"Positive","Sporulating",NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1121335,NA,2970010,42.25,"Yes","Positive",NA,"Bacilli",NA,"Thermophilic","Anaerobic",60,"doi","doi.org/10.1093/nar/gkw1017"
515619,NA,3449685,41.48,"No","Positive",NA,"Bacilli",NA,NA,"Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
649755,"[Eubacterium] cylindroides ATCC 27803",1944726,34.7,NA,"Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",37,"doi","doi.org/10.1093/nar/gkw1017"
717960,"Eubacterium cylindroides T2-87",1966750,31.43,NA,"+",NA,"Rod",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
515620,NA,2831389,37.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
657318,NA,3344951,40.35,NA,"Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
657317,NA,3698419,39.1,NA,"Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
657319,NA,2943413,43.7,NA,"Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
428128,NA,2697034,44.97,NA,"Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
717961,NA,2836123,44.23,"No","Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
864565,NA,2511030,31.83,NA,"Positive",NA,"Bacilli",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
758,NA,2720245,40.19,"No","Negative",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1469607,"[Scytonema hofmanni] UTEX 2349",8118644,41.2,"Motile","Negative",NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
