"org_name","tax_id","sporulation","gram_stain","metabolism","cell_shape","motility","ref_type","reference"
"Filifactor alocis",143361,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Cycloclasticus sp. P1",385025,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Azorhizobium caulinodans",7,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Buchnera aphidicola",9,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Burkholderia xenovorans",36873,"0","0",NA,"bacilli",NA,"doi","doi.org/10.1093/nar/gkw964"
"Streptococcus gallolyticus",315405,"0","1","facultative","coccus","no","doi","doi.org/10.1093/nar/gkw964"
"[Cellvibrio] gilvus",11,"0","1",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Porphyromonas cansulci",36876,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Dictyoglomus thermophilum",14,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Streptococcus sp. F0442",999425,"0","1",NA,"coccus","no","doi","doi.org/10.1093/nar/gkw964"
"Streptococcus sp. F0441",999424,"0","1",NA,"coccus","no","doi","doi.org/10.1093/nar/gkw964"
"Sulfurospirillum deleyianum",65553,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Desulfocapsa sulfexigens",65555,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Pelobacter carbinolicus",19,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Thermococcus sibiricus",172049,"0",NA,"strictanaero","coccus",NA,"doi","doi.org/10.1093/nar/gkw964"
"Shewanella putrefaciens",24,"0","0","facultative","bacilli","yes","doi","doi.org/10.1093/nar/gkw964"
"Acidovorax sp. NO-1",512030,"0","0",NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
"Saccharomonospora azurea",40988,"1","1","strictaero",NA,"no","doi","doi.org/10.1093/nar/gkw964"
"Mycoplasma suis",57372,"0",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw964"
