species_tax_id,species,host,data_source,pathogen
202789,Actinobaculum massiliense,human,Liamp-shaw,TRUE
1657,Actinobaculum suis,ungulates,Liamp-shaw,TRUE
1658,Actinomyces bovis,human,Liamp-shaw,TRUE
1658,Actinomyces bovis,ungulates,Liamp-shaw,TRUE
131109,Actinomyces bowdenii,carnivora,Liamp-shaw,TRUE
181487,Actinomyces cardiffensis,human,Liamp-shaw,TRUE
272548,Actinomyces dentalis,human,Liamp-shaw,TRUE
52767,Actinomyces denticolens,ungulates,Liamp-shaw,TRUE
66228,Actinomyces europaeus,human,Liamp-shaw,TRUE
132933,Actinomyces funkei,human,Liamp-shaw,TRUE
52768,Actinomyces georgiae,human,Liamp-shaw,TRUE
52769,Actinomyces gerencseriae,human,Liamp-shaw,TRUE
55565,Actinomyces graevenitzii,human,Liamp-shaw,TRUE
595468,Actinomyces hominis,human,Liamp-shaw,TRUE
178339,Actinomyces hongkongensis,human,Liamp-shaw,TRUE
29316,Actinomyces hyovaginalis,ungulates,Liamp-shaw,TRUE
1659,Actinomyces israelii,human,Liamp-shaw,TRUE
1659,Actinomyces israelii,ungulates,Liamp-shaw,TRUE
52773,Actinomyces meyeri,human,Liamp-shaw,TRUE
52773,Actinomyces meyeri,carnivora,Liamp-shaw,TRUE
1655,Actinomyces naeslundii,human,Liamp-shaw,TRUE
1655,Actinomyces naeslundii,ungulates,Liamp-shaw,TRUE
33007,Actinomyces neuii,human,Liamp-shaw,TRUE
544580,Actinomyces oris,human,Liamp-shaw,TRUE
111015,Actinomyces radicidentis,human,Liamp-shaw,TRUE
131110,Actinomyces radingae,human,Liamp-shaw,TRUE
121163,Actinomyces suimastitidis,ungulates,Liamp-shaw,TRUE
1288391,Actinomyces timonensis,human,Liamp-shaw,TRUE
131111,Actinomyces turicensis,human,Liamp-shaw,TRUE
103621,Actinomyces urogenitalis,human,Liamp-shaw,TRUE
183916,Actinomyces vaccimaxillae,ungulates,Liamp-shaw,TRUE
1656,Actinomyces viscosus,human,Liamp-shaw,TRUE
1656,Actinomyces viscosus,carnivora,Liamp-shaw,TRUE
1656,Actinomyces viscosus,rodentia,Liamp-shaw,TRUE
1656,Actinomyces viscosus,ungulates,Liamp-shaw,TRUE
1445614,Actinotignum sanguinis,human,Liamp-shaw,TRUE
59505,Actinotignum schaalii,human,Liamp-shaw,TRUE
190146,Actinotignum urinale,human,Liamp-shaw,TRUE
999183,Arcanobacterium canis,carnivora,Liamp-shaw,TRUE
28264,Arcanobacterium haemolyticum,human,Liamp-shaw,TRUE
28264,Arcanobacterium haemolyticum,carnivora,Liamp-shaw,TRUE
28264,Arcanobacterium haemolyticum,mammalia,Liamp-shaw,TRUE
28264,Arcanobacterium haemolyticum,ungulates,Liamp-shaw,TRUE
149017,Arcanobacterium hippocoleae,ungulates,Liamp-shaw,TRUE
131112,Arcanobacterium phocae,carnivora,Liamp-shaw,TRUE
131112,Arcanobacterium phocae,cetacea,Liamp-shaw,TRUE
108028,Arcanobacterium pluranimalium,ungulates,Liamp-shaw,TRUE
2051,Mobiluncus curtisii,human,Liamp-shaw,TRUE
2052,Mobiluncus mulieris,human,Liamp-shaw,TRUE
445930,Trueperella abortisuis,ungulates,Liamp-shaw,TRUE
