Pathogen_NCBI_species_Taxonomy ID,Pathogen_species
470,Acinetobacter baumannii
106654,Acinetobacter nosocomialis
715,Actinobacillus pleuropneumoniae
644,Aeromonas hydrophila
645,Aeromonas salmonicida
358,Agrobacterium tumefaciens
373,Agrobacterium vitis
5599,Alternaria alternata
29001,Alternaria brassicicola
135859,Alternaria citri
160389,Alternaria longipes
48100,Alternaria solani
13349,Arthrobotrys oligospora
5454,Ascochyta rabiei
5059,Aspergillus flavus
746128,Aspergillus fumigatus
162425,Aspergillus nidulans
728,Avibacterium paragallinarum
1392,Bacillus anthracis
1396,Bacillus cereus
176275,Beauveria bassiana
5016,Bipolaris maydis
101162,Bipolaris oryzae
45130,Bipolaris sorokiniana
40125,Bipolaris victoriae
5017,Bipolaris zeicola
5039,Blastomyces dermatitidis
34373,Blumeria graminis
518,Bordetella bronchiseptica
520,Bordetella pertussis
139,Borrelia burgdorferi
140,Borrelia hermsii
40559,Botrytis cinerea
278938,Botrytis elliptica
4779,Bremia lactucae
235,Brucella abortus
29459,Brucella melitensis
29461,Brucella suis 
95486,Burkholderia cenocepacia
292,Burkholderia cepacia
488447,Burkholderia contaminans
337,Burkholderia glumae
13373,Burkholderia mallei
28450,Burkholderia pseudomallei
57975,Burkholderia thailandensis
6326,Bursaphelenchus xylophilus
197,Campylobacter jejuni
5476,Candida albicans
42374,Candida dubliniensis
5478,Candida glabrata
5480,Candida parapsilosis
5482,Candida tropicalis
5158,Ceratocystis fimbriata
312341,Ceratocystis harringtonii
132184,Cercospora apii
122368,Cercospora beticola
84275,Cercospora kikuchii
29003,Cercospora nicotianae
135779,Cercospora zeae-maydis
83560,Chlamydia muridarum
83558,Chlamydia pneumoniae
813,Chlamydia trachomatis
67825,Citrobacter rodentium
28447,Clavibacter michiganensis
5111,Claviceps purpurea
36911,Clavispora lusitaniae
1496,Clostridioides difficile
1502,Clostridium perfringens
5501,Coccidioides immitis 
199306,Coccidioides posadasii
27357,Colletotrichum acutatum
27358,Colletotrichum coccodes
474922,Colletotrichum gloeosporioides
31870,Colletotrichum graminicola
80884,Colletotrichum higginsianum
5462,Colletotrichum lagenaria
1585795,Colletotrichum lentis
290576,Colletotrichum lindemuthianum
5465,Colletotrichum orbiculare
5466,Colletotrichum trifolii
1717,Corynebacterium diphtheriae
777,Coxiella burnetii
413502,Cronobacter turicensis
535744,Cronobacter universalis
5116,Cryphonectria parasitica
552467,Cryptococcus gattii
5207,Cryptococcus neoformans
5503,Curvularia lunata
43,Cystobacter fuscus
204038,Dickeya dadantii
1089444,Dickeya solani 
64363,Dothistroma septosporum
67780,Edwardsiella ictaluri
636,Edwardsiella tarda
1351,Enterococcus faecalis
1352,Enterococcus faecium
35717,Epichloe festucae
552,Erwinia amylovora
562,Escherichia coli
5970,Exophiala dermatitidis
96345,Flavobacterium psychrophilum 
263,Francisella tularensis
282267,Fusarium asiaticum
5516,Fusarium culmorum
5127,Fusarium fujikuroi
5518,Fusarium graminearum
5507,Fusarium oxysporum
101028,Fusarium pseudograminearum
5128,Fusarium sambucinum
169388,Fusarium solani
5514,Fusarium sporotrichioides
117187,Fusarium verticillioides
232082,Fusarium virguliforme
29850,Gaeumannomyces graminis
738,Glaesserella parasuis
36090,Globodera pallida
31243,Globodera rostochiensis
5563,Gloeocercospora sorghi
226899,Grosmannia clavigera
730,Haemophilus ducreyi
727,Haemophilus influenzae
210,Helicobacter pylori
13563,Heterobasidion annosum
51029,Heterodera glycines
5037,Histoplasma capsulatum
272952,Hyaloperonospora arabidopsidis
504,Kingella kingae
573,Klebsiella pneumoniae
1358,Lactococcus lactis
93591,Lecanicillium fungicola
446,Legionella pneumophila
5671,Leishmania infantum
5664,Leishmania major
5665,Leishmania mexicana
5022,Leptosphaeria maculans
173,Leptospira interrogans
1639,Listeria monocytogenes
71657,Lonsdalea quercina 
13131,Macrosiphum euphorbiae
318829,Magnaporthe oryzae
203908,Melampsora larici-populina
5261,Melampsora lini
6303,Meloidogyne javanica
92637,Metarhizium acridum
5530,Metarhizium anisopliae
568076,Metarhizium robertsii
38448,Monilinia fructicola
153609,Moniliophthora perniciosa
552546,Muricauda olearia
36809,Mycobacterium abscessus
1764,Mycobacterium avium
1781,Mycobacterium marinum
1772,Mycobacterium smegmatis
1773,Mycobacterium tuberculosis
2110,Mycoplasma agalactiae
2096,Mycoplasma gallisepticum
13164,Myzus persicae
140110,Nectria haematococca
485,Neisseria gonorrhoeae
487,Neisseria meningitidis
1464,Paenibacillus larvae
553,Pantoea ananatis
66269,Pantoea stewartii
121759,Paracoccidioides brasiliensis
13684,Parastagonospora nodorum
5499,Passalora fulva
29471,Pectobacterium atrosepticum
554,Pectobacterium carotovorum
55208,Pectobacterium wasabiae
36651,Penicillium digitatum
27334,Penicillium expansum
38293,Photobacterium damselae
29488,Photorhabdus luminescens
29920,Phytophthora cactorum
4784,Phytophthora capsici
4787,Phytophthora infestans
4792,Phytophthora parasitica
67593,Phytophthora sojae
5821,Plasmodium berghei
5833,Plasmodium falciparum
837,Porphyromonas gingivalis
584,Proteus mirabilis
83344,Pseudocercospora fijiensis
685502,Pseudocercospora fuligena
287,Pseudomonas aeruginosa
36746,Pseudomonas cichorii
294,Pseudomonas fluorescens 
50340,Pseudomonas fuscovaginae
29438,Pseudomonas savastanoi
317,Pseudomonas syringae
29442,Pseudomonas tolaasii
285811,Pseudopyrenochaeta lycopersici
5297,Puccinia graminis 
27350,Puccinia striiformis
76659,Pyrenopeziza brassicae
53485,Pyrenophora teres
45151,Pyrenophora tritici-repentis
65070,Pythium aphanidermatum
46012,Radopholus similis
329,Ralstonia pickettii
305,Ralstonia solanacearum
64495,Rhizopus oryzae
914237,Rhynchosporium commune
34085,Riemerella anatipestifer
77044,Rosellinia necatrix
4932,Saccharomyces cerevisiae
28901,Salmonella enterica
5180,Sclerotinia sclerotiorum
39703,Septoria lycopersici
615,Serratia marcescens
93612,Setosphaeria turcica
623,Shigella flexneri
1280,Staphylococcus aureus
1282,Staphylococcus epidermidis
28035,Staphylococcus lugdunensis
29385,Staphylococcus saprophyticus
40324,Stenotrophomonas maltophilia
1311,Streptococcus agalactiae
1336,Streptococcus equi
1346,Streptococcus iniae
1348,Streptococcus parauberis
1313,Streptococcus pneumoniae
1314,Streptococcus pyogenes
36470,Streptococcus sp. 'group A'
1307,Streptococcus suis
1349,Streptococcus uberis  
1930,Streptomyces scabiei
85558,Streptomyces turgidiscabies
5811,Toxoplasma gondii
158,Treponema denticola
29875,Trichoderma virens
523103,Trichophyton mentagrophytes
5551,Trichophyton rubrum
5691,Trypanosoma brucei
5693,Trypanosoma cruzi
1159556,Ustilaginoidea virens
120017,Ustilago hordei
5270,Ustilago maydis
5025,Venturia inaequalis
27337,Verticillium dahliae
100787,Verticillium longisporum
28171,Vibrio aestuarianus
55601,Vibrio anguillarum
680,Vibrio campbellii
666,Vibrio cholerae
669,Vibrio harveyi
670,Vibrio parahaemolyticus
212663,Vibrio tasmaniensis
672,Vibrio vulnificus
29447,Xanthomonas albilineans
53413,Xanthomonas axonopodis
339,Xanthomonas campestris
346,Xanthomonas citri 
456327,Xanthomonas euvesicatoria
56454,Xanthomonas hortorum
347,Xanthomonas oryzae
343,Xanthomonas translucens
628,Xenorhabdus nematophila
2371,Xylella fastidiosa
630,Yersinia enterocolitica
632,Yersinia pestis
633,Yersinia pseudotuberculosis
29486,Yersinia ruckeri
1047171,Zymoseptoria tritici
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
