"t_number","org_code","aliases","full_name","definition","annotation","taxonomy","lineage","data_source","keywords","disease","comment","number_of_nucleotides","number_of_protein_genes","number_of_RNA_genes","created","type","detail","accession","length","accession2","tax_id"
"T00007","eco","ECOLI, 511145","Escherichia coli K-12 MG1655","Escherichia coli K-12 MG1655","manual","TAX: 511145","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000005845.2)            BioProject: 57779",NA,NA,"Colonizes the lower gut of animals, and, as a facultative anaerobe.            Maintained as a laboratory strain with minimal genetic manipulation, having only been cured of the temperate bacteriophage lambda and F plasmid by ultraviolet light and acridine orange, respectively.",4641652,4140,178,1997,"Chromosome","Circular","NC_000913 (U00096)",4641652,"NC_000913","511145"
"T00068","ecj","ECOLI, 316407","Escherichia coli K-12 W3110","Escherichia coli K-12 W3110","manual","TAX: 316407","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000010245.1)            BioProject: 16351",NA,NA,"Cured of the lambda prophage.            Lacks the F+ fertility factor of ancestral E.coli K-12 EMG2.            Widely used as a wild-type strain in Japan, the USA, and elsewhere from 1956.",4646332,4226,157,2001,"Chromosome","Circular","AP009048",4646332,"AP009048","316407"
"T00666","ecd","ECODH, 316385","Escherichia coli K-12 DH10B","Escherichia coli K-12 DH10B","KOALA","TAX: 316385","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000019425.1)            BioProject: 20079",NA,NA,NA,4686137,4126,157,2008,"Chromosome","Circular","CP000948",4686137,"CP000948","316385"
"T00913","ebw","ECOBW, 595496","Escherichia coli BW2952","Escherichia coli BW2952 (K-12 MC41000 with placMu50 fusion)","KOALA","TAX: 595496","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000022345.1)            BioProject: 33775",NA,NA,"Obtained in a series of strain constructions from an HfrC-derived MO strain of S. Brenner.            Contains an additional element, a lambda placMu50 operon fusion in the malEFG operon.",4578159,4084,171,2009,"Chromosome","Circular","CP001396",4578159,"CP001396","595496"
"T02541","ecok","1110693","Escherichia coli K-12 MDS42","Escherichia coli K-12 MDS42","KOALA","TAX: 1110693","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000350185.1)            BioProject: 78215",NA,NA,NA,3976195,3547,150,2013,"Chromosome","Circular","AP012306",3976195,"AP012306","1110693"
"T00044","ece","ECOLX, 155864","Escherichia coli O157:H7 EDL933 (EHEC)","Escherichia coli O157:H7 EDL933 (EHEC)","manual","TAX: 155864","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000006665.1)            BioProject: 259","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from Michigan ground beef linked to the outbreak in 1982 involving contaminated hamburgers.",5620522,5449,129,2001,"Chromosome","Circular","AE005174",5528445,"AE005174","155864"
"T00044","ece","ECOLX, 155864","Escherichia coli O157:H7 EDL933 (EHEC)","Escherichia coli O157:H7 EDL933 (EHEC)","manual","TAX: 155864","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","GenBank (Assembly: GCA_000006665.1)            BioProject: 259","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from Michigan ground beef linked to the outbreak in 1982 involving contaminated hamburgers.",5620522,5449,129,2001,"Plasmid","pO157; Circular","AF074613",92077,"AF074613","155864"
"T00048","ecs","ECO57, 386585","Escherichia coli O157:H7 Sakai (EHEC)","Escherichia coli O157:H7 Sakai (EHEC)","manual","TAX: 386585","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000008865.1)            BioProject: 57781","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from the 1996 outbreak in primary schools of Sakai, Japan.",5594477,5288,141,2001,"Chromosome","Circular","NC_002695 (BA000007)",5498450,"NC_002695","386585"
"T00048","ecs","ECO57, 386585","Escherichia coli O157:H7 Sakai (EHEC)","Escherichia coli O157:H7 Sakai (EHEC)","manual","TAX: 386585","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000008865.1)            BioProject: 57781","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from the 1996 outbreak in primary schools of Sakai, Japan.",5594477,5288,141,2001,"Plasmid","pO157; Circular","NC_002128 (AB011549)",92721,"NC_002128","386585"
"T00048","ecs","ECO57, 386585","Escherichia coli O157:H7 Sakai (EHEC)","Escherichia coli O157:H7 Sakai (EHEC)","manual","TAX: 386585","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia","RefSeq (Assembly: GCF_000008865.1)            BioProject: 57781","Human pathogen","H00277  Enterohemorrhagic Escherichia coli (EHEC) infection","Isolated from the 1996 outbreak in primary schools of Sakai, Japan.",5594477,5288,141,2001,"Plasmid","pOSAK1; Circular","NC_002127 (AB011548)",3306,"NC_002127","386585"
