species,isolation_source,metabolism,temperature
Lactobacillus acetotolerans,Fermented Vinegar Broth,Anaerobic,30
Lactobacillus acidifarinae,Artisanal wheat sourdough,Microaerophilic,30
Lactobacillus acidipiscis,Fermented fish,Microaerophilic,37
Lactobacillus acidophilus,Human,Microaerophilic,37
Lactobacillus agilis,Municipal sewage,Microaerophilic,37
Lactobacillus algidus,Vacuum-packed beef,Anaerobic,20
Lactobacillus alimentarius,Marinated fish product,Aerobic,30
Lactobacillus amylophilus,Swine waste-corn fermentation,Aerobic,30
Lactobacillus amylotrophicus,Swine waste-corn fermentation,Aerobic,30
Lactobacillus amylovorus,Cattle waste-corn fermentation,Microaerophilic,37
Lactobacillus animalis,Dental plaque of baboon,Aerobic,37
Lactobacillus antri,"Gastric biopsies, Human stomach mucosa",Anaerobic,37
Lactobacillus apinorum,Honey stomach of honeybee,Anaerobic,37
Lactobacillus apis,Stomachs of honeybees,Anaerobic,37
Lactobacillus apodemi,Faeces of wild Japanese wood mouse,Microaerophilic,37
Lactobacillus aquaticus,Surface of a eutrophic freshwater pond,Microaerophilic,37
Lactobacillus aviarius subsp. araffinosus,Intestine of chicken,Microaerophilic,37
Lactobacillus aviarius subsp. aviarius,Faeces of chicken,Microaerophilic,37
Lactobacillus backii,Orchardgrass silage,Preferably anaerobic,28
Lactobacillus bifermentans,Blown cheese,Anaerobic,NA
Lactobacillus bombi,Digestive tracts of bumblebee queens,Anaerobic,37
Lactobacillus bombicola,Bumble bee gut,Strictly anaerobic,37
Lactobacillus brantae,Faeces of Canada goose,Microaerophilic,37
Lactobacillus brevis,Faeces,Microaerophilic,30
Lactobacillus buchneri,Tomato pulp,Microaerophilic,37
Lactobacillus cacaonum,Cocoa bean heap fermentation,Microaerophilic,30
Lactobacillus camelliae,Fermented tea leaves (miang),Microaerophilic,37
Lactobacilllus capillatus,Fermented brine used for stinky tofu production,Microaerophilic,30
Lactobacillus casei,Cheese,Microaerophilic,30
Lactobacillus ceti,Lungs of beaked whale,Strictly anaerobic,37
Lactobacillus colehominis,Human vagina,Microaerophilic,37
Lactobacillus collinoides,Fermenting apple juice,Anaerobic,26
Lactobacillus composti,Composting material of distilled shochu residue,Microaerophilic,30
Lactobacillus concavus,Walls of a distilled spirit fermenting cellar,Microaerophilic,30
Lactobacillus coryniformis subsp. coryniformis,Silage,Microaerophilic,30
Lactobacillus coryniformis subsp. torquens,Air of cow shed,Microaerophilic,30
Lactobacillus crispatus,Eye,Preferably anaerobic,37
