"tax_id","org_name","rRNA16S_genes","tRNA_genes","reference","ref_type"
940283,"Acetobacter europaeus DSM 6160",4,NA,"Sievers M, Alonso L, Gianotti S, Boesch C, Teuber M (1996). 16S-23S ribosomal RNA spacer regions of Acetobacter europaeus and A. xylinum, tRNA genes and antitermination sequences. FEMS Microbiol Lett. 142(1):43-8.","full_text"
28448,"Acetobacter xylinum NCIB 11664",4,NA,"Sievers M, Alonso L, Gianotti S, Boesch C, Teuber M (1996). 16S-23S ribosomal RNA spacer regions of Acetobacter europaeus and A. xylinum, tRNA genes and antitermination sequences. FEMS Microbiol Lett. 142(1):43-8.","full_text"
28448,"Acetobacter xylinum CL27",4,NA,"Sievers M, Alonso L, Gianotti S, Boesch C, Teuber M (1996). 16S-23S ribosomal RNA spacer regions of Acetobacter europaeus and A. xylinum, tRNA genes and antitermination sequences. FEMS Microbiol Lett. 142(1):43-8.","full_text"
29552,"Acholeplasma axanthum ",2,NA,"Amikam D, Glaser G, Razin S (1984). Mycoplasmas (Mollicutes) have a low number of rRNA genes. J Bacteriol. 158(1):376-8.","full_text"
264635,"Acholeplasma granularum ",2,NA,"Amikam D, Glaser G, Razin S (1984). Mycoplasmas (Mollicutes) have a low number of rRNA genes. J Bacteriol. 158(1):376-8.","full_text"
472,"Acinetobacter sp. DSM587",NA,NA,"Stratz M, Mau M, Timmis KN (1996). System to study horizontal gene exchange among microorganisms without cultivation of recipients. Mol Microbiol. 22(2):207-15.","full_text"
202950,"Acinetobacter baylyi A7 (DSM 14959)",7,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
202950,"Acinetobacter baylyi C5 (DSM 14963)",7,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
202950,"Acinetobacter baylyi BD413 (LUH 3905)",7,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
1198992,"Acinetobacter baylyi BD4 (LUH 4836)",7,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
202950,"Acinetobacter baylyi 93A2 (LUH 5822)",7,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
981331,"Acinetobacter calcoaceticus BG1 (ATCC 23055)",6,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
1217666,"Acinetobacter grimontii DSM 14968",6,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
1217664,"Acinetobacter junii BG5 (ATCC 17908)",6,NA,"Maslunka C, Carr E, Gurtler V, Kampfer P, Seviour R (2006). Estimation of ribosomal RNA operon (rrn) copy number in Acinetobacter isolates and potential of patterns of rrn operon-containing fragments for typing strains of members of this genus. Syst Appl Microbiol. 29:216-28.","full_text"
