species,isolate,taxon,system,temperature,irradiance,light_hours,synonym,volume,c_per_cell,c_citation,mu_inf_amm,mu_amm,k_amm_m,k_amm,vmax_amm,vmax_amm_c,qmin_amm,qmin_amm_c,qmax_amm,qmax_amm_c,mu_inf_nit,mu_nit,k_nit_m,k_nit,vmax_nit,vmax_nit_c,qmin_nit,qmin_nit_c,qmax_nit,qmax_nit_c,mu_inf_p,mu_p,k_p_m,k_p,vmax_p,vmax_p_c,qmin_p,qmin_p_c,qmax_p,qmax_p_c,citation
Cyclotella cryptica,SAG 1070-1,diatom,freshwater,20,60,16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,6.69E-07,NA,7.00E-09,NA,NA,NA,1
Nitzschia closterium,,diatom,marine,20,60,16,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,8.98E-07,NA,7.00E-09,NA,NA,NA,1
Planktothrix agardhii,,cyano,freshwater,24,37,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.0357,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.0355,NA,NA,NA,NA,NA,NA,NA,2
Planktothrix agardhii,,cyano,freshwater,15.5,37,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.028387097,NA,NA,NA,NA,NA,NA,NA,3
Planktothrix agardhii,,cyano,freshwater,20.5,37,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.009032258,NA,NA,NA,NA,NA,NA,NA,3
Planktothrix agardhii,,cyano,freshwater,25.5,37,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,0.016774194,NA,NA,NA,NA,NA,NA,NA,3
Planktothrix agardhii,,cyano,freshwater,15.4,66.4,24,Oscillatoria agardhii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653,NA,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00111,NA,NA,4
Scenedesmus quadricauda,,green,freshwater,5,16.60577881,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275,0.281,0.019032258,NA,NA,NA,NA,0.000851613,NA,NA,5
Scenedesmus quadricauda,,green,freshwater,10,33.21155762,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383,0.358,0.012258065,NA,NA,NA,NA,0.000627097,NA,NA,5
Scenedesmus quadricauda,,green,freshwater,15,116.2404517,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594,0.623,0.017096774,NA,NA,NA,NA,0.000497806,NA,NA,5
Scenedesmus quadricauda,,green,freshwater,20,106.2769844,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815,1.03,0.014516129,NA,NA,NA,NA,0.000485419,NA,NA,5
Scenedesmus quadricauda,,green,freshwater,25,152.7731651,24,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.132,1.11,0.002225806,NA,NA,NA,NA,0.000538839,NA,NA,5
Prymnesium parvum,UTEX LL 2797,haptophyte,marine,10,150,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,0.0066,NA,NA,NA,NA,NA,NA,NA,6
Prymnesium parvum,UTEX LL 2797,haptophyte,marine,20,150,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,0.0032,NA,NA,NA,NA,NA,NA,NA,6
Microcystis aeruginosa,,cyano,freshwater,23,19.5,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,37.8571,NA,NA,NA,2.00E-07,NA,NA,NA,NA,0.67,0.6452,NA,NA,NA,1.94E-09,NA,NA,NA,7
Pyrocystis fusiformis,,dino,marine,NA,42,NA,,NA,NA,NA,NA,NA,NA,1.4,6.72E-05,NA,NA,NA,NA,NA,NA,NA,NA,3,7.44E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Pyrocystis lunula,,dino,marine,NA,67,NA,Dissodinium lunula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Pyrocystis noctiluca,,dino,marine,NA,67,NA,,NA,NA,NA,NA,NA,NA,4.4,9.60E-05,NA,NA,NA,NA,NA,NA,NA,NA,5,5.52E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
Dunaliella tertiolecta,,green,marine,23.5,74,24,,NA,NA,NA,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,NA,NA,NA,NA,6.00E-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
