"reference","genus","species","accession","acc_text","accession","ncbi_nucid","ncbi_taxid","name","ncbi_spid","ncbi_species","species","subsp","formasp","candidatus","ncbi_taxid","name","ncbi_spid","ncbi_species"
"gbm00001.pdf","Acidobacterium","Acidobacterium capsulatum","D26171","accession no. (16S rRNA gene): D26171.","D26171","521228","33075","Acidobacterium capsulatum","33075","Acidobacterium capsulatum","Acidobacterium capsulatum",FALSE,FALSE,FALSE,"33075","Acidobacterium capsulatum","33075","Acidobacterium capsulatum"
"gbm00002.pdf","Edaphobacter","Edaphobacter modestus","DQ528760","accession no. (16S rRNA gene): DQ528760.","DQ528760","319768618","388466","Edaphobacter modestus","388466","Edaphobacter modestus","Edaphobacter modestus",FALSE,FALSE,FALSE,"388466","Edaphobacter modestus","388466","Edaphobacter modestus"
"gbm00002.pdf","Edaphobacter","Edaphobacter aggregans","DQ528761","accession no. (16S rRNA gene): DQ528761.","DQ528761","108755786","1121860","Edaphobacter aggregans DSM 19364","570835","Edaphobacter aggregans","Edaphobacter aggregans",FALSE,FALSE,FALSE,"570835","Edaphobacter aggregans","570835","Edaphobacter aggregans"
"gbm00003.pdf","Terriglobus","Terriglobus roseus","DQ660892","accession no. (16S rRNA gene): DQ660892.","DQ660892","110084239","392734","Terriglobus roseus","392734","Terriglobus roseus","Terriglobus roseus",FALSE,FALSE,FALSE,"392734","Terriglobus roseus","392734","Terriglobus roseus"
"gbm00004.pdf","Acanthopleuribacter","Acanthopleuribacter pedis","AB303221","accession no. (16S rRNA gene): AB303221.","AB303221","189233087","442870","Acanthopleuribacter pedis","442870","Acanthopleuribacter pedis","Acanthopleuribacter pedis",FALSE,FALSE,FALSE,"442870","Acanthopleuribacter pedis","442870","Acanthopleuribacter pedis"
"gbm00005.pdf","Geothrix","Geothrix fermentans","U41563","accession no. (16S rRNA gene): U41563.","U41563","1136552","44676","Geothrix fermentans","44676","Geothrix fermentans","Geothrix fermentans",FALSE,FALSE,FALSE,"44676","Geothrix fermentans","44676","Geothrix fermentans"
"gbm00006.pdf","Holophaga","Holophaga foetida","X77215","accession no. (16S rRNA gene): X77215.","X77215","534921","903818","Holophaga foetida DSM 6591","35839","Holophaga foetida","Holophaga foetida",FALSE,FALSE,FALSE,"35839","Holophaga foetida","35839","Holophaga foetida"
"gbm00007.pdf","Acidimicrobium","Acidimicrobium ferrooxidans","U75647","accession no. (16S rRNA gene) : U75647.","U75647","1649046","525909","Acidimicrobium ferrooxidans DSM 10331","53635","Acidimicrobium ferrooxidans","Acidimicrobium ferrooxidans",FALSE,FALSE,FALSE,"53635","Acidimicrobium ferrooxidans","53635","Acidimicrobium ferrooxidans"
"gbm00008.pdf","Ferrimicrobium","Ferrimicrobium acidiphilum","AF251436","accession no. (16S rRNA gene): AF251436.","AF251436","229564289","121039","Ferrimicrobium acidiphilum","121039","Ferrimicrobium acidiphilum","Ferrimicrobium acidiphilum",FALSE,FALSE,FALSE,"121039","Ferrimicrobium acidiphilum","121039","Ferrimicrobium acidiphilum"
"gbm00009.pdf","Ferrithrix","Ferrithrix thermotolerans","AY140237","accession no. (16S rRNA gene): AY140237.","AY140237","118339866","209649","Ferrithrix thermotolerans","209649","Ferrithrix thermotolerans","Ferrithrix thermotolerans",FALSE,FALSE,FALSE,"209649","Ferrithrix thermotolerans","209649","Ferrithrix thermotolerans"
"gbm00010.pdf","Iamia","Iamia majanohamensis","AB360448","accession no. (16S rRNA gene): AB360448.","AB360448","169219361","467976","Iamia majanohamensis","467976","Iamia majanohamensis","Iamia majanohamensis",FALSE,FALSE,FALSE,"467976","Iamia majanohamensis","467976","Iamia majanohamensis"
"gbm00011.pdf","Actinobaculum","Actinobaculum suis","S83623","accession no. (16S rRNA gene) : S83623.","S83623","556587587","1657","Actinobaculum suis","1657","Actinobaculum suis","Actinobaculum suis",FALSE,FALSE,FALSE,"1657","Actinobaculum suis","1657","Actinobaculum suis"
"gbm00011.pdf","Actinobaculum","Actinobaculum massiliense","AF487679","accession no. (16S rRNA gene) : AF487679.","AF487679","24637991","202789","Actinobaculum massiliense","202789","Actinobaculum massiliense","Actinobaculum massiliense",FALSE,FALSE,FALSE,"202789","Actinobaculum massiliense","202789","Actinobaculum massiliense"
"gbm00011.pdf","Actinobaculum","Actinobaculum schaalii","Y12329","accession no. (16S rRNA gene) : Y12329.","Y12329","2329861","59505","Actinotignum schaalii","59505","Actinotignum schaalii","Actinobaculum schaalii",FALSE,FALSE,FALSE,"59505","Actinotignum schaalii","59505","Actinotignum schaalii"
"gbm00011.pdf","Actinobaculum","Actinobaculum urinale","AJ439453","accession no. (16S rRNA gene) : AJ439453.","AJ439453","28300450","190146","Actinotignum urinale","190146","Actinotignum urinale","Actinobaculum urinale",FALSE,FALSE,FALSE,"190146","Actinotignum urinale","190146","Actinotignum urinale"
"gbm00012.pdf","Actinomyces","Actinomyces bovis","X81061","accession no. (16S rRNA gene): X81061.","X81061","1838937","1658","Actinomyces bovis","1658","Actinomyces bovis","Actinomyces bovis",FALSE,FALSE,FALSE,"1658","Actinomyces bovis","1658","Actinomyces bovis"
"gbm00012.pdf","Actinomyces","Actinomyces bowdenii","AJ234039","accession no. (16S rRNA gene): AJ234039.","AJ234039","6456800","131109","Actinomyces bowdenii","131109","Actinomyces bowdenii","Actinomyces bowdenii",FALSE,FALSE,FALSE,"131109","Actinomyces bowdenii","131109","Actinomyces bowdenii"
"gbm00012.pdf","Actinomyces","Actinomyces canis","AJ243891","accession no. (16S rRNA gene): AJ243891.","AJ243891","8980291","100469","Actinomyces canis","100469","Actinomyces canis","Actinomyces canis",FALSE,FALSE,FALSE,"100469","Actinomyces canis","100469","Actinomyces canis"
"gbm00012.pdf","Actinomyces","Actinomyces cardiffensis","AJ421779","accession no. (16S rRNA gene): AJ421779.","AJ421779","22797895","181487","Actinomyces cardiffensis","181487","Actinomyces cardiffensis","Actinomyces cardiffensis",FALSE,FALSE,FALSE,"181487","Actinomyces cardiffensis","181487","Actinomyces cardiffensis"
"gbm00012.pdf","Actinomyces","Actinomyces catuli","AJ276805","accession no. (16S rRNA gene): AJ276805.","AJ276805","14272233","119495","Actinomyces catuli","119495","Actinomyces catuli","Actinomyces catuli",FALSE,FALSE,FALSE,"119495","Actinomyces catuli","119495","Actinomyces catuli"
"gbm00012.pdf","Actinomyces","Actinomyces coleocanis","AJ249326","accession no. (16S rRNA gene): AJ249326.","AJ249326","15485156","103618","Actinomyces coleocanis","103618","Actinomyces coleocanis","Actinomyces coleocanis",FALSE,FALSE,FALSE,"103618","Actinomyces coleocanis","103618","Actinomyces coleocanis"
"gbm00012.pdf","Actinomyces","Actinomyces dentalis","AJ697609","accession no. (16S rRNA gene): AJ697609.","AJ697609","58036763","272548","Actinomyces dentalis","272548","Actinomyces dentalis","Actinomyces dentalis",FALSE,FALSE,FALSE,"272548","Actinomyces dentalis","272548","Actinomyces dentalis"
"gbm00012.pdf","Actinomyces","Actinomyces denticolens","X80412","accession no. (16S rRNA gene): X80412.","X80412","1838938","52767","Actinomyces denticolens","52767","Actinomyces denticolens","Actinomyces denticolens",FALSE,FALSE,FALSE,"52767","Actinomyces denticolens","52767","Actinomyces denticolens"
"gbm00012.pdf","Actinomyces","Actinomyces europaeus","Y08828","accession no. (16S rRNA gene): Y08828.","Y08828","2326312","66228","Actinomyces europaeus","66228","Actinomyces europaeus","Actinomyces europaeus",FALSE,FALSE,FALSE,"66228","Actinomyces europaeus","66228","Actinomyces europaeus"
"gbm00012.pdf","Actinomyces","Actinomyces funkei","AJ404889","accession no. (16S rRNA gene): AJ404889.","AJ404889","14272234","132933","Actinomyces funkei","132933","Actinomyces funkei","Actinomyces funkei",FALSE,FALSE,FALSE,"132933","Actinomyces funkei","132933","Actinomyces funkei"
"gbm00012.pdf","Actinomyces","Actinomyces georgiae","X80413","accession no. (16S rRNA gene): X80413.","X80413","1838940","52768","Actinomyces georgiae","52768","Actinomyces georgiae","Actinomyces georgiae",FALSE,FALSE,FALSE,"52768","Actinomyces georgiae","52768","Actinomyces georgiae"
"gbm00012.pdf","Actinomyces","Actinomyces gerencseriae","X80414","accession no. (16S rRNA gene): X80414.","X80414","1838939","52769","Actinomyces gerencseriae","52769","Actinomyces gerencseriae","Actinomyces gerencseriae",FALSE,FALSE,FALSE,"52769","Actinomyces gerencseriae","52769","Actinomyces gerencseriae"
"gbm00012.pdf","Actinomyces","Actinomyces graevenitzii","AJ540309","accession no. (16S rRNA gene): AJ540309.","AJ540309","28207836","55565","Actinomyces graevenitzii","55565","Actinomyces graevenitzii","Actinomyces graevenitzii",FALSE,FALSE,FALSE,"55565","Actinomyces graevenitzii","55565","Actinomyces graevenitzii"
"gbm00012.pdf","Actinomyces","Actinomyces hominis","FJ617539","accession no. (16S rRNA gene): FJ617539.","FJ617539","223016584","1288828","Actinomyces hominis DSM 22168","595468","Actinomyces hominis","Actinomyces hominis",FALSE,FALSE,FALSE,"595468","Actinomyces hominis","595468","Actinomyces hominis"
"gbm00012.pdf","Actinomyces","Actinomyces hongkongensis","AF433168","accession no. (16S rRNA gene): AF433168.","AF433168","17016960","178339","Actinomyces hongkongensis","178339","Actinomyces hongkongensis","Actinomyces hongkongensis",FALSE,FALSE,FALSE,"178339","Actinomyces hongkongensis","178339","Actinomyces hongkongensis"
"gbm00012.pdf","Actinomyces","Actinomyces hordeovulneris","X82448","accession no. (16S rRNA gene): X82448.","X82448","1838943","52770","Actinomyces hordeovulneris","52770","Actinomyces hordeovulneris","Actinomyces hordeovulneris",FALSE,FALSE,FALSE,"52770","Actinomyces hordeovulneris","52770","Actinomyces hordeovulneris"
"gbm00012.pdf","Actinomyces","Actinomyces howellii","X80411","accession no. (16S rRNA gene): X80411.","X80411","1838941","52771","Actinomyces howellii","52771","Actinomyces howellii","Actinomyces howellii",FALSE,FALSE,FALSE,"52771","Actinomyces howellii","52771","Actinomyces howellii"
"gbm00012.pdf","Actinomyces","Actinomyces hyovaginalis","X69616","accession no. (16S rRNA gene): X69616.","X69616","403201","29316","Actinomyces hyovaginalis","29316","Actinomyces hyovaginalis","Actinomyces hyovaginalis",FALSE,FALSE,FALSE,"29316","Actinomyces hyovaginalis","29316","Actinomyces hyovaginalis"
"gbm00012.pdf","Actinomyces","Actinomyces israelii","X82450","accession no. (16S rRNA gene): X82450.","X82450","1838944","1659","Actinomyces israelii","1659","Actinomyces israelii","Actinomyces israelii",FALSE,FALSE,FALSE,"1659","Actinomyces israelii","1659","Actinomyces israelii"
"gbm00012.pdf","Actinomyces","Actinomyces johnsonii","EU667411","accession no. (16S rRNA gene): EU667411.","EU667411","194477385","544581","Actinomyces johnsonii","544581","Actinomyces johnsonii","Actinomyces johnsonii",FALSE,FALSE,FALSE,"544581","Actinomyces johnsonii","544581","Actinomyces johnsonii"
"gbm00012.pdf","Actinomyces","Actinomyces marimammalium","AJ276405","accession no. (16S rRNA gene): AJ276405.","AJ276405","14272359","156892","Actinomyces marimammalium","156892","Actinomyces marimammalium","Actinomyces marimammalium",FALSE,FALSE,FALSE,"156892","Actinomyces marimammalium","156892","Actinomyces marimammalium"
"gbm00012.pdf","Actinomyces","Actinomyces massiliensis","EF558367","accession no. (16S rRNA gene): EF558367.","EF558367","156076356","1167628","Actinomyces massiliensis 4401292","461393","Actinomyces massiliensis","Actinomyces massiliensis",FALSE,FALSE,FALSE,"461393","Actinomyces massiliensis","461393","Actinomyces massiliensis"
"gbm00012.pdf","Actinomyces","Actinomyces meyeri","X82451","accession no. (16S rRNA gene): X82451.","X82451","1838945","52773","Actinomyces meyeri","52773","Actinomyces meyeri","Actinomyces meyeri",FALSE,FALSE,FALSE,"52773","Actinomyces meyeri","52773","Actinomyces meyeri"
"gbm00012.pdf","Actinomyces","Actinomyces naeslundii","X81062","accession no. (16S rRNA gene): X81062.","X81062","1838946","1655","Actinomyces naeslundii","1655","Actinomyces naeslundii","Actinomyces naeslundii",FALSE,FALSE,FALSE,"1655","Actinomyces naeslundii","1655","Actinomyces naeslundii"
"gbm00012.pdf","Actinomyces","Actinomyces nasicola","AJ508455","accession no. (16S rRNA gene): AJ508455.","AJ508455","23503763","208480","Actinomyces nasicola","208480","Actinomyces nasicola","Actinomyces nasicola",FALSE,FALSE,FALSE,"208480","Actinomyces nasicola","208480","Actinomyces nasicola"
"gbm00012.pdf","Actinomyces","Actinomyces neuii subsp. neuiiand",NA,NA,NA,NA,NA,NA,NA,NA,"Actinomyces neuii subsp. neuiiand",TRUE,FALSE,FALSE,NA,NA,NA,NA
"gbm00012.pdf","Actinomyces","Actinomyces neuii subsp. neuii","AM084228","accession no. (16S rRNA gene): AM084228 (ATCC 51847).","AM084228","77681059","144053","Actinomyces neuii subsp. neuii","33007","Actinomyces neuii","Actinomyces neuii subsp. neuii",TRUE,FALSE,FALSE,"144053","Actinomyces neuii subsp. neuii","33007","Actinomyces neuii"
