"tax_id","org_name","strain","reference","biosample_id","genome_size","gc_content","total_genes","coding_genes","tRNA_genes","host","RefSeq_category","genome_status","ftp_path","ref_type"
220341,"Salmonella enterica subsp. enterica serovar Typhi str. CT18","CT18","PRJNA236","SAMEA1705914",5133710,51.8776,4829,4473,80,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/995/GCA_000195995.1_ASM19599v1","bioproject_id"
93061,"Staphylococcus aureus subsp. aureus NCTC 8325","NCTC 8325","PRJNA237","SAMN02604235",2821360,32.9,2872,2767,61,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1","bioproject_id"
192222,"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","NCTC 11168","PRJNA8","SAMEA1705929",1641480,30.5,1668,1572,43,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1","bioproject_id"
1114970,"Pseudomonas fluorescens F113","F113","PRJNA76715","SAMN02604099",6845830,60.8,6169,5946,66,NA,"representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/065/GCA_000237065.1_ASM23706v1","bioproject_id"
169963,"Listeria monocytogenes EGD-e","EGD-e","PRJNA276","SAMEA3138329",2944530,38,3055,2867,67,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/035/GCA_000196035.1_ASM19603v1","bioproject_id"
83332,"Mycobacterium tuberculosis H37Rv","H37Rv","PRJNA224","SAMEA3138326",4411530,65.6,4008,3906,45,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2","bioproject_id"
585057,"Escherichia coli IAI39","IAI39","PRJNA33411","SAMEA3138234",5132070,50.6,5092,4725,88,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1","bioproject_id"
171101,"Streptococcus pneumoniae R6","R6","PRJNA278","SAMN02603218",2038620,39.7,1967,1814,58,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/045/GCA_000007045.1_ASM704v1","bioproject_id"
214092,"Yersinia pestis CO92","CO92","PRJNA34","SAMEA1705942",4829860,47.6065,4230,3979,70,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/065/GCA_000009065.1_ASM906v1","bioproject_id"
176280,"Staphylococcus epidermidis ATCC 12228","ATCC 12228","PRJNA279","SAMN02603126",2564610,32.0512,2558,2482,60,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/645/GCA_000007645.1_ASM764v1","bioproject_id"
226900,"Bacillus cereus ATCC 14579","ATCC 14579","PRJNA384","SAMN02603340",5427080,35.3076,5494,5231,108,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/825/GCA_000007825.1_ASM782v1","bioproject_id"
190485,"Xanthomonas campestris pv. campestris str. ATCC 33913","ATCC 33913","PRJNA296","SAMN02603845",5076190,65.1,4240,4179,53,"plants","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/145/GCA_000007145.1_ASM714v1","bioproject_id"
272623,"Lactococcus lactis subsp. lactis Il1403","IL1403","PRJNA72","SAMN02603339",2365590,35.3,2406,2277,63,NA,"reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/865/GCA_000006865.1_ASM686v1","bioproject_id"
262316,"Mycobacterium avium subsp. paratuberculosis K-10","K-10","PRJNA91","SAMN02604086",4829780,69.3,4562,4311,46,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1","bioproject_id"
195103,"Clostridium perfringens ATCC 13124","ATCC 13124","PRJNA304","SAMN02604008",3256680,28.4,2948,2801,92,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/285/GCA_000013285.1_ASM1328v1","bioproject_id"
1765,"Mycobacterium tuberculosis variant bovis","ATCC BAA-935","PRJNA260835","SAMN03067437",4358090,65.6,4240,4001,45,NA,NA,"Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/758/245/GCA_000758245.1_ASM75824v1","bioproject_id"
203267,"Tropheryma whipplei str. Twist","Twist","PRJNA95","SAMN02603248",927303,46.3,912,852,50,"human","representative","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/485/GCA_000007485.1_ASM748v1","bioproject_id"
71421,"Haemophilus influenzae Rd KW20",NA,"PRJNA219","SAMN02603991",1830140,38.2,1765,1610,58,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/305/GCA_000027305.1_ASM2730v1","bioproject_id"
122586,"Neisseria meningitidis MC58","MC58","PRJNA251","SAMN02603997",2272360,51.5,2104,1943,59,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/805/GCA_000008805.1_ASM880v1","bioproject_id"
85962,"Helicobacter pylori 26695","26695","PRJNA233","SAMN02603995",1667870,38.9,1555,1445,36,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1","bioproject_id"
160490,"Streptococcus pyogenes M1 GAS","SF370","PRJNA269","SAMN02604089",1852430,38.5,1801,1693,60,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/785/GCA_000006785.2_ASM678v2","bioproject_id"
189518,"Leptospira interrogans serovar Lai str. 56601","56601","PRJNA293","SAMN02603127",4698130,35.0076,3741,3683,37,"human","reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/565/GCA_000092565.1_ASM9256v1","bioproject_id"
167539,"Prochlorococcus marinus subsp. marinus str. CCMP1375","CCMP1375; SS120","PRJNA419","SAMN02603142",1751080,36.4,1930,1882,40,NA,"reference","Complete Genome","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1","bioproject_id"
