#Organism Name,Organism Groups,Strain,BioSample,BioProject,Level,Size(Mb),CDS,Genes,Host,RefSeq category,tRNA
"Corynebacterium jeikeium K411","Bacteria;Terrabacteria group;Actinobacteria","K411 = NCTC 11915","SAMEA3283089","PRJNA13967","Complete",2.47682,2088,2195,,"representative",50
"Chlamydia muridarum str. Nigg","Bacteria;PVC group;Chlamydiae","Nigg","SAMN02603994","PRJNA229","Complete",1.08045,908,960,"human","representative",37
"Xylella fastidiosa 9a5c","Bacteria;Proteobacteria;Gammaproteobacteria","9a5c","SAMN02603773","PRJNA271","Complete",2.73175,2379,2658,"plants","representative",49
"Vibrio cholerae O1 biovar El Tor str. N16961","Bacteria;Proteobacteria;Gammaproteobacteria","N16961","SAMN02603969","PRJNA36","Complete",4.03346,3504,3693,"human","reference",98
"Pseudomonas aeruginosa PAO1","Bacteria;Proteobacteria;Gammaproteobacteria","PAO1","SAMN02603714","PRJNA331","Complete",6.2644,5572,5697,"human","reference",63
"Halobacterium salinarum NRC-1","Archaea;Euryarchaeota;Stenosarchaea group","NRC-1; ATCC 700922","SAMN02604216","PRJNA217","Complete",2.57101,2611,2717,,"representative",47
"Caulobacter vibrioides CB15","Bacteria;Proteobacteria;Alphaproteobacteria","CB15","SAMN02604005","PRJNA298","Complete",4.01695,3737,3819,,"reference",51
"Sinorhizobium meliloti 1021","Bacteria;Proteobacteria;Alphaproteobacteria","1021","SAMEA3283068","PRJNA19","Complete",6.69169,6218,6292,,"reference",54
"Chlorobaculum tepidum TLS","Bacteria;FCB group;Bacteroidetes/Chlorobi group","TLS","SAMN02604006","PRJNA302","Complete",2.15495,2245,2337,,"reference",50
"Neisseria gonorrhoeae FA 1090","Bacteria;Proteobacteria;Betaproteobacteria","FA 1090","SAMN02604088","PRJNA23","Complete",2.15392,1886,1989,"human","reference",55
"Lactococcus lactis subsp. lactis Il1403","Bacteria;Terrabacteria group;Firmicutes","IL1403","SAMN02603339","PRJNA72","Complete",2.36559,2277,2406,,"reference",63
"Rickettsia conorii str. Malish 7","Bacteria;Proteobacteria;Alphaproteobacteria","Malish 7","SAMN02603141","PRJNA42","Complete",1.26876,1289,1539,"human","representative",33
"Streptococcus pneumoniae R6","Bacteria;Terrabacteria group;Firmicutes","R6","SAMN02603218","PRJNA278","Complete",2.03862,1814,1967,"human","reference",58
"Caldanaerobacter subterraneus subsp. tengcongensis MB4","Bacteria;Terrabacteria group;Firmicutes","MB4","SAMN02603009","PRJNA249","Complete",2.68945,2476,2711,,"representative",56
"Brucella melitensis bv. 1 str. 16M","Bacteria;Proteobacteria;Alphaproteobacteria","16M","SAMN02603416","PRJNA180","Complete",3.29493,3099,3369,"human","representative",54
"Xanthomonas campestris pv. campestris str. ATCC 33913","Bacteria;Proteobacteria;Gammaproteobacteria","ATCC 33913","SAMN02603845","PRJNA296","Complete",5.07619,4179,4240,"plants","reference",53
"Methanopyrus kandleri AV19","Archaea;Euryarchaeota;Methanopyri","AV19","SAMN02603235","PRJNA294","Complete",1.69497,1687,1729,,,35
"Streptococcus agalactiae 2603V/R","Bacteria;Terrabacteria group;Firmicutes","2603V/R","SAMN02604013","PRJNA330","Complete",2.16027,2127,2279,"human","reference",80
"Pyrococcus furiosus DSM 3638","Archaea;Euryarchaeota;Thermococci","DSM 3638","SAMN02604284","PRJNA287","Complete",1.90826,1979,2121,,"representative",46
"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","Bacteria;Fusobacteria;Fusobacteriia","ATCC 25586","SAMN02603417","PRJNA295","Complete",2.1745,1983,2062,"human","reference",47
"Methanosarcina acetivorans C2A","Archaea;Euryarchaeota;Stenosarchaea group","C2A","SAMN03081414","PRJNA290","Complete",5.75149,4567,4965,,"representative",56
"Buchnera aphidicola str. Sg (Schizaphis graminum)","Bacteria;Proteobacteria;Gammaproteobacteria","Sg","SAMN02604269","PRJNA312","Complete",0.641454,560,625,,"representative",30
"Tropheryma whipplei str. Twist","Bacteria;Terrabacteria group;Actinobacteria","Twist","SAMN02603248","PRJNA95","Complete",0.927303,852,912,"human","representative",50
"Brucella suis 1330","Bacteria;Proteobacteria;Alphaproteobacteria","1330","SAMN02603682","PRJNA320","Complete",3.31517,3161,3358,"human",,55
"Bifidobacterium longum NCC2705","Bacteria;Terrabacteria group;Actinobacteria","NCC2705","SAMN02603675","PRJNA328","Complete",2.26027,1728,1799,,"reference",57
"Chlamydia caviae GPIC","Bacteria;PVC group;Chlamydiae","GPIC","SAMN02603993","PRJNA228","Complete",1.18136,976,1039,"human","representative",38
"Clostridium tetani E88","Bacteria;Terrabacteria group;Firmicutes","Massachusetts substr. E88","SAMN02603289","PRJNA81","Complete",2.87333,2699,2826,"human","representative",54
"Staphylococcus epidermidis ATCC 12228","Bacteria;Terrabacteria group;Firmicutes","ATCC 12228","SAMN02603126","PRJNA279","Complete",2.56461,2482,2558,"human","reference",60
"Chromobacterium violaceum ATCC 12472","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 12472","SAMN02603528","PRJNA444","Complete",4.75108,4245,4438,"human","representative",98
"[Mannheimia] succiniciproducens MBEL55E","Bacteria;Proteobacteria;Gammaproteobacteria","MBEL55E","SAMN02603473","PRJNA13068","Complete",2.31408,2051,2183,,"representative",59
"Enterococcus faecalis V583","Bacteria;Terrabacteria group;Firmicutes","V583","SAMN02603978","PRJNA70","Complete",3.35997,3264,3412,"human","reference",68
"Pseudomonas syringae pv. tomato str. DC3000","Bacteria;Proteobacteria;Gammaproteobacteria","DC3000","SAMN02604017","PRJNA359","Complete",6.53826,5619,5842,"plants","reference",63
"Bacillus cereus ATCC 14579","Bacteria;Terrabacteria group;Firmicutes","ATCC 14579","SAMN02603340","PRJNA384","Complete",5.42708,5231,5494,"human","reference",108
"Bacillus anthracis str. Ames","Bacteria;Terrabacteria group;Firmicutes","Ames","SAMN02603432","PRJNA309","Complete",5.22729,5321,5632,"human","reference",95
"Mycobacterium avium subsp. paratuberculosis K-10","Bacteria;Terrabacteria group;Actinobacteria","K-10","SAMN02604086","PRJNA91","Complete",4.82978,4311,4562,"human","representative",46
"Helicobacter hepaticus ATCC 51449","Bacteria;Proteobacteria;delta/epsilon subdivisions","ATCC 51449","SAMN02604097","PRJNA185","Complete",1.79915,1744,1819,"human","representative",36
"Prochlorococcus marinus subsp. marinus str. CCMP1375","Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group","CCMP1375; SS120","SAMN02603142","PRJNA419","Complete",1.75108,1882,1930,,"reference",40
"[Haemophilus] ducreyi 35000HP","Bacteria;Proteobacteria;Gammaproteobacteria","35000HP","SAMN02604087","PRJNA38","Complete",1.69895,1504,1678,"human","representative",48
"Wolbachia endosymbiont of Drosophila melanogaster","Bacteria;Proteobacteria;Alphaproteobacteria","wMel","SAMN02604000","PRJNA272","Complete",1.26778,1100,1270,,"representative",34
"Rickettsia typhi str. Wilmington","Bacteria;Proteobacteria;Alphaproteobacteria","Wilmington","SAMN02603327","PRJNA10679","Complete",1.1115,825,881,"human","representative",33
"Lactobacillus johnsonii NCC 533","Bacteria;Terrabacteria group;Firmicutes","NCC 533","SAMN02603676","PRJNA9638","Complete",1.99268,1749,1914,,,78
"Nanoarchaeum equitans Kin4-M","Archaea;DPANN group;Nanoarchaeota","","SAMN02603208","PRJNA9599","Complete",0.490885,536,553,,,0
"Treponema denticola ATCC 35405","Bacteria;Spirochaetes;Spirochaetia","ATCC 35405","SAMN02603967","PRJNA4","Complete",2.8432,2767,2838,"human","reference",44
"Mycoplasma hyopneumoniae J","Bacteria;Terrabacteria group;Tenericutes","J","SAMN02603526","PRJNA10675","Complete",0.897405,666,728,,"representative",30
"Brucella abortus bv. 1 str. 9-941","Bacteria;Proteobacteria;Alphaproteobacteria","9-941","SAMN02604220","PRJNA9619","Complete",3.28645,3153,3376,"human",,55
"Picrophilus torridus DSM 9790","Archaea;Euryarchaeota;Diaforarchaea group","DSM 9790","SAMN02603345","PRJNA10641","Complete",1.5459,1563,1616,,"representative",46
