species,isolate,volume,volume_citation
Alexandrium catenella,,17724,"Ou, L. J., D. Wang, B. Q. Huang, H. S. Hong, Y. Z. Qi, and S. H. Lu. 2008. Comparative study of phosphorus strategies of three typical harmful algae in Chinese coastal waters. Journal of Plankton Research 30:1007-1017."
Alexandrium minutum,,14137.17,"Tomas, C. [Ed.] 1997. Identifying marine phytoplankton. Academic Press, San Diego."
Alexandrium minutum,RCC 1490,5000,"Lippemeier, S., and D. Frampton. 2003. Influence of phosphorus limitation on toxicity and photosynthesis of Alexandrium minutum (Dinophyceae) monitored by in-line detection of variable chlorophyll fluorescence. Journal of Phycology 38:320-331."
Alexandrium tamarense,,14137.17,"Tomas, C. [Ed.] 1997. Identifying marine phytoplankton. Academic Press, San Diego."
Anabaena cylindrica,,30,"Dauta, A. 1982. Conditions de d_veloppement du phytoplancton: Ûtude comparative du comportement de huit esp_ces en culture. I. D_t_rmination des parametres de croissance en fonction de la lumi_re et de la temp_rature. Annales de limnologie 18:217-262."
Anabaena flos-aquae,,27.4,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of phosphate-limited growth and phosphate uptake in phytoplankton continuous culture. Journal of Phycology 17:257-265."
Anabaena flos-aquae,,132,"Rhee, G. Y. and T. C. Lederman. 1983. Effects of nitrogen sources on P-limited growth of Anabaena flos-aquae. Journal of Phycology 19:179-185."
Anabaena planktonica,,523.6,"Olenin, I., S. Hadju, L. Edler, A. Andersson, N. Wasmun, S. Busch, J. G_bel, S. Gromisz, S. Huseby, M. Huttunen, A. Jaanus, P. Kokoonen, I. Ledaine, and E. Niemkiewicz. 2006. Biovolumes and size-classes of phytoplankton in the Baltic Sea. HELCOM Balt. Sea Environ. Proc. No. 106. "
Ankistrodesmus falcatus,,225,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of nitrate-limited growth and nitrate uptake in phytoplankton continuous culture. Journal of Phycology 17:309-314."
Ankistrodesmus falcatus,,175,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of phosphate-limited growth and phosphate uptake in phytoplankton continuous culture. Journal of Phycology 17:257-265."
Aphanizomenon flos-aquae,,12,"Reynolds, C., and E. Bellinger. 1992. Patterns of abundance and dominance of the phytoplankton of Rostherne Mere, England: evidence from an 18-year data set. Aquatic Sciences 54:10-36."
Aphanothece stagnina,,20,"Caperon, J. and J. Meyer. 1972. Nitrogen-limited growth of marine phytoplankton. II. Uptake kinetics in nutrient limited growth of phytoplankton. Deep-Sea Research 19:619-632."
Asterionella formosa,,163,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of nitrate-limited growth and nitrate uptake in phytoplankton continuous culture. Journal of Phycology 17:309-314."
Asterionella formosa,,233,"Gotham, I. J. and G. Y. Rhee. 1981. Comparative kinetic studies of phosphate-limited growth and phosphate uptake in phytoplankton continuous culture. Journal of Phycology 17:257-265."
Asterionella formosa,,402,"Smith, R. E. H. and J. Kalff. 1982. Size-dependent phosphorus uptake kinetics and cell quota in phytoplankton. Journal of Phycology 18:275-284."
