"S.NO","ID","PHYLA","CLASS","ORDER","FAMILY","GENUS","SPECIES","STRAIN","ENVIRONMENT","PLANTSPHERE","HOST PHENOTYPE","PGPT BLAST-HMM COUNT","KEGG/IMG PGPT COUNT","IMG ISOLATION SITE","IMG SAMPLE ID","GENOME SIZE","GENE COUNT","IMG PROTEIN_COUNT","IS PUBLIC","IMG SEUQNECING STATUS","NCBI TAX ID","NCBI BIOPROJECT ID","NCBI BIOSAMPLE ID","NCBI REFSEQ ID","NCBI GBK ID","NCBI ASSEMBLY ID","NCBI WGS","NCBI LINK"
"1","PAB_0000000001","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidipila","Acidipila sp. EB88","Acidipila sp. EB88","Plants|Soil","not_announced","not_announced","not_announced","991","Forest soil|Forest","2767802315","4475085","3653","3593","Yes","Permanent Draft","2305226","PRJNA487882","SAMN09914061","GCF_003858395.1","GCA_003858395.1","ASM385839v1","QWEV00000000.1","link"
"2","PAB_0000000002","Bacteroidetes","Bacteroidia","Marinilabiliales","Prolixibacteraceae","Puteibacter","Puteibacter caeruleilacunae","Puteibacter caeruleilacunae JC036","Plants|Soil","not_announced","not_announced","not_announced","1280","Soil|Forest soil|Forest","2890659659","8075057","6214","6112","Yes","Permanent Draft","1872113","PRJNA523519","SAMN10983195","GCF_005217565.1","GCA_005217565.1","ASM521756v1","SJCO00000000.1","link"
"3","PAB_0000000003","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidisarcina","Acidisarcina polymorpha","Acidisarcina polymorpha SBC82","Plants|Soil","not_announced","not_announced","not_announced","1476","pine forest|Forest Soil|pine|pine forest","2841323159","7600726","6878","6794","Yes","Finished","2211140","PRJNA476855","SAMN09460743","GCF_003330725.1","GCA_003330725.1","ASM333072v1","not_available","link"
"4","PAB_0000000004","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Bryocella","Bryocella elongata","Bryocella elongata DSM 22489","Plants","not_announced","not_announced","not_announced","1344","methanotrophic community enriched from a Sphagnum peat sample|Sphagnum peat|methanotrophic community enriched from a Sphagnum peat sample","2684622995","5669524","4620","4567","Yes","Permanent Draft","863522","PRJNA329884","SAMN05421819","GCF_900108185.1","GCA_900108185.1","IMG-taxon 2684622995 annotated assembly","FNVA00000000.1","link"
"5","PAB_0000000005","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Edaphobacter","Edaphobacter dinghuensis","Edaphobacter dinghuensis EB95","Plants|Soil","not_announced","not_announced","not_announced","1155","forest soil|Forest Soil|Forest|forest soil","2747843220","4462202","3906","3850","Yes","Permanent Draft","1560005","PRJNA442829","SAMN08776643","GCF_003633965.1","GCA_003633965.1","ASM363396v1","RBIF00000000.1","link"
"6","PAB_0000000006","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Edaphobacter","Edaphobacter sp. 12200R-103","Edaphobacter sp. 12200R-103 [RHIZ]","Plants","Rhizosphere","not_announced","not_announced","1138","Tomato|rhizosphere of tomato plants","2884215851","4554841","3874","3809","Yes","Finished","2703788","PRJNA602778","SAMN13907365","GCF_010093025.1","GCA_010093025.1","ASM1009302v1","not_available","link"
"7","PAB_0000000007","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Terriglobus","Terriglobus albidus","Terriglobus albidus ORNL [RHIZ]","Plants|Soil","Rhizosphere","not_announced","not_announced","1434","Populus rhizosphere soil|Populus|Populus rhizosphere soil","2883900319","6405582","5365","5259","Yes","Finished","1592106","PRJNA559179","SAMN12527337","GCF_008000815.1","GCA_008000815.1","ASM800081v1","not_available","link"
"8","PAB_0000000008","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","unclassified Acidobacteriaceae","Acidobacteriaceae bacterium URHE0068","Acidobacteriaceae bacterium URHE0068","Plants|Soil","not_announced","not_announced","not_announced","1341","forest soil communities across North America|Soil|Forest Soil|Forest|forest soil communities across North America","2556921018","6679185","5623","5566","Yes","Permanent Draft","1380348","PRJNA213785","SAMN02743954","GCA_000620725.1","GCA_000620725.1","ASM62072v1","JIAQ00000000.1","link"
"9","PAB_0000000009","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Ancrocorticia","Ancrocorticia populi","Ancrocorticia populi sk1b4","Plants","not_announced","not_announced","not_announced","913","poplar|poplar bark|poplar|poplar bark","2866255120","2651737","2443","2382","Yes","Permanent Draft","2175228","PRJNA451234","SAMN08995089","GCF_003123745.1","GCA_003123745.1","ASM312374v1","QETB00000000.1","link"
"10","PAB_0000000010","Actinobacteria","Actinomycetia","Catenulisporales","Actinospicaceae","Actinospica","Actinospica robiniae","Actinospica robiniae DSM 44927","Plants|Soil","not_announced","not_announced","not_announced","1952","Forest soil from Lombardia|Soil|Forest Soil|Forest|Forest soil from Lombardia, Italy","2510065062","9918887","8726","8657","Yes","Permanent Draft","479430","PRJNA50863","SAMN02597168","GCF_000504285.1","GCA_000504285.1","ASM50428v1","AZAN00000000.1","link"
"11","PAB_0000000011","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas endophytica","Cellulomonas endophytica SYSUP0004 [CARP]","Plants","Carposphere","not_announced","not_announced","1148","Gastrodia elata|Tubers of Gastrodia elata Blume|Plant|Gastrodia elata|Tubers of Gastrodia elata Blume","2867442953","4214938","3807","3737","Yes","Permanent Draft","2494735","PRJNA508585","SAMN10525144","GCF_004123805.1","GCA_004123805.1","ASM412380v1","RWJX00000000.1","link"
"12","PAB_0000000012","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. SLBN-31","Streptomyces sp. SLBN-31 [RHIZ|PSYMB|PGPB]","Plants","Rhizosphere","Plant Symbiont|PGPB","not_announced","2161","Oryza sativa|Rice root","2808606375","9466072","8787","8690","Yes","Permanent Draft","1042957","PRJNA536285","SAMN11510839","GCF_006715395.1","GCA_006715395.1","ASM671539v1","VFNC00000000.1","link"
"13","PAB_0000000013","Actinobacteria","Actinomycetia","Catenulisporales","Catenulisporaceae","Catenulispora","Catenulispora acidiphila","Catenulispora acidiphila ID139908, DSM 44928","Plants|Soil","not_announced","not_announced","not_announced","2102","Forest|Forest soil from Gerenzano italy","644736339","10467782","9125","9056","Yes","Finished","479433","PRJNA21085","SAMN02598445","GCF_000024025.1","GCA_000024025.1","ASM2402v1","not_available","link"
"14","PAB_0000000014","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. H30R-01","Cellulomonas sp. H30R-01 [RHIZ]","Plants|Soil","Rhizosphere","not_announced","not_announced","1258","Suaeda maritima|rhizosphere soil of Suaeda maritima","2884994152","4492978","4057","3980","Yes","Finished","2704467","PRJNA603420","SAMN13931086","GCF_010119915.1","GCA_010119915.1","ASM1011991v1","not_available","link"
"15","PAB_0000000015","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. JZ18","Cellulomonas sp. JZ18","Plants","not_announced","not_announced","not_announced","1068","Panicum turgidum|Panicum turgidum","2884979374","4043325","3851","3775","Yes","Finished","2654191","PRJNA345401","SAMN13011526","GCF_009720485.1","GCA_009720485.1","ASM972048v1","not_available","link"
