Original,New
"host-associated, human",host_animal_endotherm
"host-associated, human, respiratory system, nasopharyngeal",host_animal_endotherm_nasopharyngeal
"host-associated, plants",host_plant
"environmental, terrestrial, soil",soil
"host-associated, human, circulatory system, blood",host_animal_endotherm_blood
"host-associated, human, respiratory system",host_animal_endotherm_nasopharyngeal
"host-associated, human, digestive system, large intestine, fecal",host_animal_endotherm_intestinal
"host-associated, arthropoda",host_animal_ectotherm
"host-associated, human, free living",host_animal_endotherm
soil,soil
"host-associated, mammals",host_animal_endotherm
"host-associated, microbial, bacteria",host
"engineered, food production",food
"host-associated, free living",host
"host-associated, human, respiratory system, pulmonary system, sputum",host_animal_endotherm_nasopharyngeal
free living,unclassified
host-associated,host
"environmental, aquatic, marine",water_marine
"engineered, food production, meat products",food
"host-associated, human, excretory system, urethra, urine",host_animal_endotherm
"host-associated, birds",host_animal_endotherm
"environmental, aquatic",water
"host-associated, mollusca",host_animal_ectotherm
seawater,water_marine
"host-associated, human, digestive system, large intestine, fecal, free living",host_animal_endotherm_intestinal
"host-associated, human, digestive system, oral",host_animal_endotherm_oral
"engineered, lab synthesis",bioreactor/digester
"host-associated, animal",host_animal
marine sediment,sediment_marine
"host-associated, human, digestive system, oral, free living",host_animal_endotherm_oral
"host-associated, animal, digestive system",host_animal_endotherm_intestinal
plant associated,host_plant
"engineered, wastewater",wastewater
"engineered, food production, fermented beverages",food_fermented
"host-associated, human, digestive system",host_animal_endotherm_intestinal
"environmental, terrestrial, soil, free living",soil
"host-associated, mammals, digestive system, large intestine, fecal",host_animal_endotherm_intestinal
"engineered, built environment, hospital",built_environment_surfaces
"host-associated, fish",host_animal_ectotherm
"host-associated, human, skin, free living",host_animal_endotherm_surface
freshwater,water_fresh
"environmental, aquatic, marine, free living",water_marine
"host-associated, insecta",host_animal_ectotherm
"engineered, food production, dairy products",food
"host-associated, invertebrates",host_animal_ectotherm
"host-associated, plants, free living",host_plant
"host-associated, mammals, free living",host_animal_endotherm
"host-associated, plants, rhizoplane",host_plant_root-associated
"environmental, aquatic, freshwater, ponds",water_groundwater_surface
"environmental, aquatic, marine, oceanic, sediment",sediment_marine
"host-associated, mammals, milk",milk
environmental,unclassified
"host-associated, animal, respiratory system",host_animal_endotherm_nasopharyngeal
"host-associated, human, reproductive system, vagina, free living",host_animal_endotherm_vagina
"environmental, aquatic, freshwater",water_fresh
"host-associated, plants, roots",host_plant_root-associated
"host-associated, human, nervous system, brain",host_animal_endotherm_intratissue
"environmental, aquatic, thermal springs",water_hotspring
"environmental, terrestrial",unclassified
"host-associated, plants, rhizoplane, endophytes",host_plant_root-associated
"host-associated, birds, digestive system, fecal",host_animal_endotherm_intestinal
"host-associated, human, excretory system",host_animal_endotherm_intestinal
