PROJECT_ID	ORGANISM_ID	PROJECT_STATUS	ANALYSIS_PROJECT_ID	EST_SIZE
4774	4774	Complete and Published	31181	2045438
4785	4785	Permanent Draft	27762	6446424
4860	4860	Complete and Published	25042	4633577
4878	4878	Permanent Draft	27915	3307260
4895	4895	Complete and Published	25328	5125950
4899	4899	Permanent Draft	31468	5028244
4920	4920	Permanent Draft	31430	4154698
2181	4920	Permanent Draft	31429	4026835
5328	5328	Permanent Draft	16957	2527074
5333	5333	Complete and Published	25024	2649255
5334	5334	Permanent Draft	25044	2884521
5359	5359	Complete and Published	9527	4875340
5643	5643	Permanent Draft	29906	3047417
5679	5679	Permanent Draft	9766	4355389
5680	5680	Permanent Draft	28304	3273334
4931	4931	Complete and Published	29035	1595604
4933	4933	Permanent Draft	27326	2425264
4959	4959	Permanent Draft	29151	2068805
4978	4978	Permanent Draft	10091	6350335
5044	5044	Complete and Published	28201	582127
5086	5086	Complete and Published	29280	3109342
5106	5106	Complete and Published	28931	3608022
5135	5135	Permanent Draft	27909	3290536
5157	5157	Complete and Published	24880	6919729
5183	5183	Complete and Published	25392	4176973
21516	5287	Permanent Draft	11623	2535083
5287	5287	Permanent Draft	9740	2533496
6256	6256	Permanent Draft	9667	2588570
6264	6264	Permanent Draft	16540	5223419
6298	6298	Permanent Draft	10502	4772184
6325	6325	Complete and Published	24957	3842422
6344	6344	Permanent Draft	15464	2136781
7161	7161	Complete and Published	30638	2350911
7221	7221	Permanent Draft	14156	2104391
94494	7234	Complete and Published	56185	3425208
7234	7234	Complete and Published	15099	3398994
7234	7234	Complete and Published	248213	3398990
7329	7329	Permanent Draft	9706	4598615
7351	7351	Permanent Draft	24998	8729608
7372	7372	Permanent Draft	10038	2604157
7391	7391	Permanent Draft	25129	8618824
7394	7394	Permanent Draft	24930	8719808
7397	7397	Complete and Published	25086	2311212
7470	7470	Complete and Published	24905	5017071
6350	6350	Permanent Draft	25000	3449536
6527	6527	Permanent Draft	28346	4009739
6553	6553	Permanent Draft	28638	3075569
117752	6599	Complete and Published	81815	4587291
6683	6683	Complete and Published	27851	1531091
6720	6720	Complete and Published	29396	4305430
27056	6777	Permanent Draft	196663	3887816
6800	6800	Complete and Published	25068	4131276
6873	6873	Permanent Draft	15530	1716325
6878	6878	Permanent Draft	15534	1672968
6897	6897	incomplete	12748	6523024
6899	6899	Permanent Draft	19729	4126426
6906	6906	Complete and Published	19731	3730959
6906	6906	Complete and Published	157638	4102190
6906	6906	Complete and Published	157639	4102190
36929	6930	Permanent Draft	21850	4147107
36923	7108	Permanent Draft	21846	3108525
7148	7148	Permanent Draft	28722	4652606
5814	5814	Permanent Draft	31404	2163473
5991	5991	Permanent Draft	29183	1294173
6007	6007	Complete and Published	23062	5409446
6100	6100	Permanent Draft	29170	2005522
6182	6182	Permanent Draft	11351	2493414
6182	6182	Permanent Draft	11352	2750597
9695	9695	incomplete	24321	1685057
9734	9734	Complete and Published	25095	3207552
9805	9805	incomplete	12201	1394664
9805	9805	incomplete	12202	1394664
9815	9815	Permanent Draft	25176	10034502
9838	9838	Permanent Draft	26567	3657623
9843	9843	Permanent Draft	13914	5048194
17029	10050	Permanent Draft	228446	38165703
19279	10109	Permanent Draft	228466	32474231
10123	10123	Permanent Draft	15264	2471193
7560	7560	Permanent Draft	14535	2120267
7567	7567	Permanent Draft	9976	3841730
148797	7642	Permanent Draft	131217	3558912
7642	7642	Permanent Draft	29890	3592947
7658	7658	Permanent Draft	9959	1632972
7663	7663	Permanent Draft	14177	5233365
4247	4247	Permanent Draft	30193	11176855
4274	4274	Permanent Draft	28934	1900014
4370	4370	Permanent Draft	24996	8612710
93282	4390	Complete and Published	56813	3279946
4390	4390	Permanent Draft	27884	3249359
4391	4391	Permanent Draft	29452	3561737
