"tax_id","genbank.Accession","org_name","name_class","rRNA16S_genes","tRNA_genes","genome_size","total_genes","coding_genes","isolation_source","reference","ref_type"
329726,"NC_009925","Acaryochloris marina MBIC11017","scientific name",2,67,8361599,7652,7228," ","NC_009925","genbank_accession"
634452,"NC_013209","Acetobacter pasteurianus IFO 3283-01","scientific name",5,57,3340249,3146,3013," ","NC_013209","genbank_accession"
446692,"NZ_LN606600","Acetobacter senegalensis","scientific name",5,56,3969909,3674,3467," ","NZ_LN606600","genbank_accession"
931626,"NC_016894","Acetobacterium woodii DSM 1030","scientific name",5,58,4044777,3649,3521," ","NC_016894","genbank_accession"
574087,"NC_014378","Acetohalobium arabaticum DSM 5501","scientific name",5,67,2469596,2396,2286," ","NC_014378","genbank_accession"
891968,"NC_018024","Acetomicrobium mobile DSM 13181","scientific name",2,49,2160700,2088,2009," ","NC_018024","genbank_accession"
61635,"NC_022549","Acholeplasma brassicae","scientific name",4,45,1877792,1744,1671," ","NC_022549","genbank_accession"
441768,"NC_010163","Acholeplasma laidlawii PG-8A","scientific name",2,36,1496992,1419,1363," ","NC_010163","genbank_accession"
35623,"NZ_LK028559","Acholeplasma oculi","scientific name",2,34,1587120,1475,1427," ","NZ_LK028559","genbank_accession"
1318466,"NC_022538","Acholeplasma palmae J233","scientific name",2,35,1554229,1471,1416," ","NC_022538","genbank_accession"
85698,"NZ_LN831029","Achromobacter xylosoxidans","scientific name",3,57,6813182,6152,6027,"pus","NZ_LN831029","genbank_accession"
591001,"NC_013740","Acidaminococcus fermentans DSM 20731","scientific name",6,60,2329769,2164,2030," ","NC_013740","genbank_accession"
568816,"NC_016077","Acidaminococcus intestini RyC-MR95","scientific name",3,52,2487765,2417,2301," ","NC_016077","genbank_accession"
933801,"NC_015518","Acidianus hospitalis W1","scientific name",1,47,2137654,2434,2326,"","NC_015518","genbank_accession"
525909,"NC_013124","Acidimicrobium ferrooxidans DSM 10331","scientific name",2,45,2158157,2109,2017," ","NC_013124","genbank_accession"
926570,"NC_015178","Acidiphilium multivorum AIU301","scientific name",2,48,4214744,3853,3721," ","NC_015178","genbank_accession"
1748,"NZ_CP013126","Acidipropionibacterium acidipropionici","scientific name",4,53,3651382,3310,3156," ","NZ_CP013126","genbank_accession"
637389,"NZ_CP005986","Acidithiobacillus caldus ATCC 51756","scientific name",2,49,2987045,2941,2817," ","NZ_CP005986","genbank_accession"
743299,"NC_015942","Acidithiobacillus ferrivorans SS3","scientific name",2,48,3207552,3140,2990," ","NC_015942","genbank_accession"
243159,"NC_011761","Acidithiobacillus ferrooxidans ATCC 23270","scientific name",2,79,2982397,3030,2894," ","NC_011761","genbank_accession"
240015,"NC_012483","Acidobacterium capsulatum ATCC 51196","scientific name",1,45,4127356,3396,3281," ","NC_012483","genbank_accession"
351607,"NC_008578","Acidothermus cellulolyticus 11B","scientific name",1,46,2443540,2217,2083," ","NC_008578","genbank_accession"
643561,"NC_015138","Acidovorax avenae subsp. avenae ATCC 19860","scientific name",3,52,5482170,4749,4632,"maize leaf","NC_015138","genbank_accession"
535289,"NC_011992","Acidovorax ebreus TPSY","scientific name",3,53,3796573,3546,3423," ","NC_011992","genbank_accession"
1842533,"NZ_CP016447","Acidovorax sp. RAC01","scientific name",3,53,4574859,4084,3968,"algal phycosphere","NZ_CP016447","genbank_accession"
439481,"NC_013926","Aciduliprofundum boonei T469","scientific name",1,44,1486778,1568,1516,"","NC_013926","genbank_accession"
673860,"NC_019942","Aciduliprofundum sp. MAR08-339","scientific name",1,45,1437090,1541,1482,"","NC_019942","genbank_accession"
