Genbank Accession,Organism,Phylm,Bacteria or Archaea,Genome Length (nt),Chromosomes/plasmids,GC Content,Coding Length (nt),Coding GC Content,Effective Number of Codons,Effective Number of Codons Corrected for CG Content,Total Genes,Coding Genes,rRNA 5S,rRNA 16S,rRNA 23S,tRNAs,Isolation Source,Host,Country
NC_015954,Aalophilic archaeon DL31,Euryarchaeota,Archaea,3643158,3,0.623807422,3033951,0.634760746,50.3464,35.356,3563,3385,2,2,2,45,,,
NC_009925,Acaryochloris marina MBIC11017,Cyanobacteria,Bacteria,8361599,10,0.469558929,6983319,0.481742919,58.7486,58.0634,7652,7228,2,2,2,67, , , 
NC_013209,Acetobacter pasteurianus IFO 3283-01,Proteobacteria,Bacteria,3340249,7,0.530995144,2954234,0.53909169,57.9969,56.0552,3146,3013,5,5,5,57, , , 
NZ_LN606600,Acetobacter senegalensis,Proteobacteria,Bacteria,3969909,2,0.556409479,3329025,0.565488394,49.6999,28.2254,3674,3467,5,5,5,56, , , 
NC_016894,Acetobacterium woodii DSM 1030,Firmicutes,Bacteria,4044777,1,0.39338139,3467120,0.403173239,55.2682,53.7226,3649,3521,6,5,5,58, , , 
NC_014378,Acetohalobium arabaticum DSM 5501,Firmicutes,Bacteria,2469596,1,0.366312952,2137627,0.373129643,49.7682,51.1921,2396,2286,5,5,5,67, , ,Russia
NC_018024,Acetomicrobium mobile DSM 13181,Synergistetes,Bacteria,2160700,1,0.479680659,1990791,0.485541677,57.8956,54.95,2088,2009,2,2,2,49, , ,Uruguay
NC_022549,Acholeplasma brassicae,Tenericutes,Bacteria,1877792,1,0.357698829,1693079,0.36144858,49.8131,43.3507,1744,1671,6,4,4,45, , , 
NC_010163,Acholeplasma laidlawii PG-8A,Tenericutes,Bacteria,1496992,1,0.319277591,1368209,0.322206622,44.2572,34.6084,1419,1363,2,2,2,36, , , 
NZ_LK028559,Acholeplasma oculi,Tenericutes,Bacteria,1587120,1,0.312901356,1447968,0.31498348,38.5106,23.9261,1475,1427,2,2,2,34, , , 
NC_022538,Acholeplasma palmae J233,Tenericutes,Bacteria,1554229,1,0.289825373,1406643,0.29184164,47.9895,49.8646,1471,1416,2,2,2,35, , , 
NZ_LN831029,Achromobacter xylosoxidans,Proteobacteria,Bacteria,6813182,1,0.673750386,6027279,0.680532293,32.466,60.0196,6152,6027,4,3,3,57,pus,Homo sapiens,Japan
NC_013740,Acidaminococcus fermentans DSM 20731,Firmicutes,Bacteria,2329769,1,0.558427037,2046330,0.570539454,51.3166,41.4966,2164,2030,6,6,6,60, ,Sus scrofa, 
NC_016077,Acidaminococcus intestini RyC-MR95,Firmicutes,Bacteria,2487765,1,0.500206008,2182301,0.509364657,56.9424,49.9276,2417,2301,3,3,3,52, , , 
NC_015518,Acidianus hospitalis W1,Crenarchaeota,Archaea,2137654,1,0.341481362,1898735,0.345976663,50.2047,49.083,2434,2326,1,1,1,47,,,
NC_013124,Acidimicrobium ferrooxidans DSM 10331,Actinobacteria,Bacteria,2158157,1,0.682893321,1945144,0.683977125,47.7031,57.7917,2109,2017,2,2,2,45, , ,Iceland
NC_015178,Acidiphilium multivorum AIU301,Proteobacteria,Bacteria,4214744,9,0.669703308,3737736,0.680083612,46.7813,23.7174,3853,3721,2,2,2,48, , , 
NZ_CP013126,Acidipropionibacterium acidipropionici,Actinobacteria,Bacteria,3651382,1,0.687668121,3212477,0.691403861,46.4013,58.699,3310,3156,4,4,4,53, , ,China: Beijing
NZ_CP005986,Acidithiobacillus caldus ATCC 51756,Proteobacteria,Bacteria,2987045,4,0.614137596,2648484,0.621145845,54.867,35.8693,2941,2817,2,2,2,49, , , 
