"tax_id","org_name","genome_size","coding_genes","isolation_source","reference","ref_type"
71421,"Haemophilus influenzae Rd KW20 (serotype d)",1830138,1610,NA,"57771","bioproject_id"
243273,"Mycoplasma genitalium G37",580076,476,NA,"97","bioproject_id"
243232,"Methanocaldococcus jannaschii",1739927,1770,NA,"102","bioproject_id"
1148,"Synechocystis sp. PCC 6803",3947019,3564,NA,"60","bioproject_id"
272634,"Mycoplasma pneumoniae M129",816394,690,NA,"57709","bioproject_id"
511145,"Escherichia coli K-12 MG1655",4641652,4140,NA,"57779","bioproject_id"
85962,"Helicobacter pylori 26695",1667867,1445,NA,"57787","bioproject_id"
187420,"Methanothermobacter thermautotrophicus",1751377,1869,NA,"289","bioproject_id"
224308,"Bacillus subtilis subsp. subtilis 168",4215606,4174,NA,"57675","bioproject_id"
224325,"Archaeoglobus fulgidus DSM 4304",2178400,2407,NA,"104","bioproject_id"
224326,"Borrelia burgdorferi B31",1521208,1390,NA,"57581","bioproject_id"
224324,"Aquifex aeolicus",1590791,1526,NA,"57765","bioproject_id"
70601,"Pyrococcus horikoshii",1738505,2061,NA,"207","bioproject_id"
83332,"Mycobacterium tuberculosis H37Rv",4411532,3906,NA,"57777","bioproject_id"
243276,"Treponema pallidum subsp. pallidum Nichols",1138011,1031,NA,"5","bioproject_id"
272561,"Chlamydia trachomatis D/UW-3/CX",1042519,887,NA,"57637","bioproject_id"
272947,"Rickettsia prowazekii Madrid E",1111523,843,NA,"61565","bioproject_id"
85963,"Helicobacter pylori J99",1643831,1491,NA,"234","bioproject_id"
115713,"Chlamydia pneumoniae CWL029",1230230,1029,NA,"57811","bioproject_id"
243274,"Thermotoga maritima MSB8",1860725,1858,NA,"57723","bioproject_id"
272557,"Aeropyrum pernix",1669696,1700,NA,"211","bioproject_id"
272844,"Pyrococcus abyssi",1768562,1784,NA,"179","bioproject_id"
243230,"Deinococcus radiodurans",3284156,3167,NA,"57665","bioproject_id"
192222,"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819",1641481,1572,NA,"57587","bioproject_id"
122586,"Neisseria meningitidis MC58 (serogroup B)",2272360,1943,NA,"57817","bioproject_id"
243161,"Chlamydia muridarum Nigg",1080451,911,NA,"229","bioproject_id"
115711,"Chlamydia pneumoniae AR39",1229853,1110,NA,"247","bioproject_id"
122587,"Neisseria meningitidis Z2491 (serogroup A)",2184406,1909,NA,"252","bioproject_id"
138677,"Chlamydia pneumoniae J138",1226565,1069,NA,"257","bioproject_id"
160492,"Xylella fastidiosa 9a5c",2731750,2832,NA,"271","bioproject_id"
243277,"Vibrio cholerae O1 biovar El Tor N16961",4033464,3504,NA,"57623","bioproject_id"
208964,"Pseudomonas aeruginosa PAO1",6264404,5572,NA,"57945","bioproject_id"
107806,"Buchnera aphidicola APS (Acyrthosiphon pisum)",655725,574,NA,"57805","bioproject_id"
273075,"Thermoplasma acidophilum",1564906,1478,NA,"110","bioproject_id"
64091,"Halobacterium salinarum NRC-1",2571010,2605,NA,"217","bioproject_id"
272558,"Bacillus halodurans",4202352,4066,NA,"235","bioproject_id"
273119,"Ureaplasma parvum serovar 3 ATCC 700970",751719,611,NA,"101","bioproject_id"
273116,"Thermoplasma volcanium",1584804,1526,NA,"206","bioproject_id"
266835,"Mesorhizobium loti MAFF303099",7596297,7281,NA,"18","bioproject_id"
155864,"Escherichia coli O157:H7 EDL933 (EHEC)",5620522,5449,NA,"259","bioproject_id"
272623,"Lactococcus lactis subsp. lactis Il1403",2365589,2277,NA,"57671","bioproject_id"
272843,"Pasteurella multocida subsp. multocida Pm70",2257487,2014,NA,"39","bioproject_id"
272631,"Mycobacterium leprae TN",3268203,1605,NA,"57697","bioproject_id"
386585,"Escherichia coli O157:H7 Sakai (EHEC)",5594477,5288,NA,"57781","bioproject_id"
190650,"Caulobacter crescentus CB15",4016947,3737,NA,"57891","bioproject_id"
160490,"Streptococcus pyogenes M1 GAS (serotype M1)",1852433,1693,NA,"57845","bioproject_id"
158879,"Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)",2839469,2624,NA,"264","bioproject_id"
158878,"Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)",2903636,2733,NA,"263","bioproject_id"
83331,"Mycobacterium tuberculosis CDC1551",4403837,4189,NA,"223","bioproject_id"
273057,"Sulfolobus solfataricus P2",2992245,2994,NA,"108","bioproject_id"
272635,"Mycoplasma pulmonis",963879,782,NA,"100","bioproject_id"
272562,"Clostridium acetobutylicum ATCC 824",4132880,3778,NA,"57677","bioproject_id"
170187,"Streptococcus pneumoniae TIGR4 (virulent serotype 4)",2160842,2125,NA,"277","bioproject_id"
266834,"Sinorhizobium meliloti 1021",6691694,6218,NA,"57603","bioproject_id"
171101,"Streptococcus pneumoniae R6 (avirulent)",2038615,1814,NA,"57859","bioproject_id"
272944,"Rickettsia conorii",1268755,1374,NA,"42","bioproject_id"
273063,"Sulfolobus tokodaii",2694756,2816,NA,"246","bioproject_id"
214092,"Yersinia pestis CO92 (biovar Orientalis)",4829855,3979,NA,"57621","bioproject_id"
220341,"Salmonella enterica subsp. enterica serovar Typhi CT18",5133713,4473,NA,"57793","bioproject_id"
99287,"Salmonella enterica subsp. enterica serovar Typhimurium LT2",4951383,4552,NA,"57799","bioproject_id"
169963,"Listeria monocytogenes EGD-e",2944528,2867,NA,"61583","bioproject_id"
272626,"Listeria innocua",3093113,3043,NA,"86","bioproject_id"
316407,"Escherichia coli K-12 W3110",4646332,4226,NA,"16351","bioproject_id"
103690,"Nostoc sp. PCC 7120",7211789,6132,NA,"244","bioproject_id"
176299,"Agrobacterium fabrum",5674258,5355,NA,"57865","bioproject_id"
267608,"Ralstonia solanacearum GMI1000",5810922,5120,NA,"13","bioproject_id"
224914,"Brucella melitensis bv. 1 16M",3294931,3198,NA,"180","bioproject_id"
178306,"Pyrobaculum aerophilum",2222430,2605,NA,"172","bioproject_id"
195102,"Clostridium perfringens 13",3085740,2723,NA,"79","bioproject_id"
186497,"Pyrococcus furiosus DSM 3638",1908256,2065,NA,"287","bioproject_id"
190304,"Fusobacterium nucleatum subsp. nucleatum ATCC 25586",2174500,1983,NA,"57885","bioproject_id"
190192,"Methanopyrus kandleri",1694969,1687,NA,"294","bioproject_id"
186103,"Streptococcus pyogenes MGAS8232 (serotype M18)",1895017,1845,NA,"286","bioproject_id"
188937,"Methanosarcina acetivorans",5751492,4540,NA,"290","bioproject_id"
273068,"Thermoanaerobacter tengcongensis",2689445,2588,NA,"249","bioproject_id"
192952,"Methanosarcina mazei Go1",4096345,3371,NA,"300","bioproject_id"
190485,"Xanthomonas campestris pv. campestris ATCC 33913",5076188,4179,NA,"57887","bioproject_id"
190486,"Xanthomonas citri pv. citri 306",5274174,4429,NA,"297","bioproject_id"
100226,"Streptomyces coelicolor",9054847,8152,NA,"57801","bioproject_id"
196620,"Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)",2820462,2632,NA,"306","bioproject_id"
198804,"Buchnera aphidicola Sg (Schizaphis graminum)",641454,545,NA,"312","bioproject_id"
194439,"Chlorobium tepidum",2154946,2245,NA,"57897","bioproject_id"
198466,"Streptococcus pyogenes MGAS315 (serotype M3)",1900521,1865,NA,"57911","bioproject_id"
197221,"Thermosynechococcus elongatus",2593857,2476,NA,"57907","bioproject_id"
208435,"Streptococcus agalactiae 2603 (serotype V)",2160267,2127,NA,"57943","bioproject_id"
187410,"Yersinia pestis KIM10+ (biovar Mediaevalis)",4701745,4205,NA,"288","bioproject_id"
221109,"Oceanobacillus iheyensis",3630528,3496,NA,"284","bioproject_id"
206672,"Bifidobacterium longum NCC2705",2260266,1728,NA,"57939","bioproject_id"
204722,"Brucella suis 1330",3315175,3273,NA,"320","bioproject_id"
198214,"Shigella flexneri 301 (serotype 2a)",4828820,4313,NA,"62907","bioproject_id"
189518,"Leptospira interrogans serovar Lai 56601",4698134,3683,NA,"57881","bioproject_id"
211586,"Shewanella oneidensis",5131424,4214,NA,"57949","bioproject_id"
210007,"Streptococcus mutans UA159",2032925,1960,NA,"57947","bioproject_id"
36870,"Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)",703004,611,NA,"274","bioproject_id"
196627,"Corynebacterium glutamicum ATCC 13032 (Kyowa Hakko)",3309401,2959,NA,"57905","bioproject_id"
196164,"Corynebacterium efficiens",3219505,2998,NA,"305","bioproject_id"
211110,"Streptococcus agalactiae NEM316 (serotype III)",2211485,2094,NA,"334","bioproject_id"
199310,"Escherichia coli O6:K2:H1 CFT073 (UPEC)",5231428,5379,NA,"313","bioproject_id"
272633,"Mycoplasma penetrans",1358633,1037,NA,"176","bioproject_id"
216895,"Vibrio vulnificus CMCP6",5126696,4433,NA,"349","bioproject_id"
224911,"Bradyrhizobium diazoefficiens USDA 110",9105828,8317,NA,"57599","bioproject_id"
176280,"Staphylococcus epidermidis ATCC 12228",2564615,2482,NA,"57861","bioproject_id"
224915,"Buchnera aphidicola Bp (Baizongia pistaciae)",618379,507,NA,"256","bioproject_id"
212717,"Clostridium tetani E88",2873333,2432,NA,"81","bioproject_id"
183190,"Xylella fastidiosa Temecula1",2521148,2036,NA,"285","bioproject_id"
160488,"Pseudomonas putida KT2440",6181873,5564,NA,"57843","bioproject_id"
220668,"Lactobacillus plantarum WCFS1",3348624,3063,NA,"62911","bioproject_id"
203267,"Tropheryma whipplei Twist",927303,808,NA,"95","bioproject_id"
218496,"Tropheryma whipplei TW08/27",925938,783,NA,"354","bioproject_id"
223283,"Pseudomonas syringae pv. tomato DC3000",6538260,5619,NA,"57967","bioproject_id"
193567,"Streptococcus pyogenes SSI-1 (serotype M3)",1894275,1861,NA,"301","bioproject_id"
223926,"Vibrio parahaemolyticus RIMD 2210633",5165770,4831,NA,"57969","bioproject_id"
209261,"Salmonella enterica subsp. enterica serovar Typhi Ty2",4791961,4322,NA,"371","bioproject_id"
226186,"Bacteroides thetaiotaomicron VPI-5482",6293399,4816,NA,"62913","bioproject_id"
226185,"Enterococcus faecalis V583",3359974,3264,NA,"57669","bioproject_id"
227377,"Coxiella burnetii RSA 493",2032807,1833,NA,"57631","bioproject_id"
227941,"Chlamydophila caviae",1181356,1005,NA,"228","bioproject_id"
227882,"Streptomyces avermitilis",9119895,7676,NA,"189","bioproject_id"
226900,"Bacillus cereus ATCC 14579",5427083,5231,NA,"57975","bioproject_id"
198215,"Shigella flexneri 2457T (serotype 2a)",4599354,4068,NA,"408","bioproject_id"
198094,"Bacillus anthracis Ames",5227293,5321,NA,"57909","bioproject_id"
228410,"Nitrosomonas europaea",2812094,2462,NA,"52","bioproject_id"
710127,"Mycoplasma gallisepticum R(low)",1012800,763,NA,"409","bioproject_id"
233413,"Mycobacterium bovis AF2122/97",4345492,3918,NA,"57695","bioproject_id"
235279,"Helicobacter hepaticus",1799146,1875,NA,"185","bioproject_id"
243090,"Rhodopirellula baltica",7145576,7325,NA,"61589","bioproject_id"
233412,"Haemophilus ducreyi",1698955,1717,NA,"38","bioproject_id"
182082,"Chlamydia pneumoniae TW183",1225935,1113,NA,"420","bioproject_id"
167539,"Prochlorococcus marinus SS120",1751080,1882,NA,"57995","bioproject_id"
203907,"Candidatus Blochmannia floridanus (Camponotus floridanus)",705557,583,NA,"443","bioproject_id"
257313,"Bordetella pertussis Tohama I",4086189,3425,NA,"57617","bioproject_id"
257311,"Bordetella parapertussis 12822",4773551,4185,NA,"25","bioproject_id"
257310,"Bordetella bronchiseptica RB50",5339179,4994,NA,"24","bioproject_id"
59919,"Prochlorococcus marinus MED4",1657990,1948,NA,"213","bioproject_id"
74547,"Prochlorococcus marinus MIT 9313",2410873,2850,NA,"220","bioproject_id"
84588,"Synechococcus sp. WH8102",2434428,2517,NA,"230","bioproject_id"
242619,"Porphyromonas gingivalis W83",2343476,1909,NA,"48","bioproject_id"
273121,"Wolinella succinogenes",2110355,2044,NA,"445","bioproject_id"
243365,"Chromobacterium violaceum",4751080,4407,NA,"444","bioproject_id"
251221,"Gloeobacter violaceus",4659019,4430,NA,"58011","bioproject_id"
243265,"Photorhabdus luminescens",5688987,4683,NA,"9605","bioproject_id"
196600,"Vibrio vulnificus YJ016",5260086,5028,NA,"1430","bioproject_id"
257309,"Corynebacterium diphtheriae NCTC 13129",2488635,2272,NA,"87","bioproject_id"
228908,"Nanoarchaeum equitans",490885,536,NA,"9599","bioproject_id"
258594,"Rhodopseudomonas palustris CGA009",5467640,4822,NA,"57","bioproject_id"
262768,"Onion yellows phytoplasma OY-M",853092,752,NA,"9615","bioproject_id"
243231,"Geobacter sulfurreducens PCA",3814128,3430,NA,"57743","bioproject_id"
262316,"Mycobacterium avium subsp. paratuberculosis K-10",4829781,4350,NA,"91","bioproject_id"
243275,"Treponema denticola",2843201,2767,NA,"57583","bioproject_id"
