rRNA16S,Habitat,Oxygen,Motility,Spore,Pigment,Shape,Aggregation,Gram,GC,Length,Width,pH_optimum,Temp_optimum,Salt_optimum
JN565849,plant associated,NA,flagella,NA,NA,ovoid/coccobacillus,NA,negative,68.5,NA,NA,7,40,NA
JX402080,other,NA,non-motile,NA,NA,rod,NA,positive,36.2,NA,NA,7.25,38.5,NA
KC525204,other,NA,non-motile,no,NA,rod,NA,NA,NA,NA,NA,NA,37,NA
HG315101,other,NA,non-motile,NA,NA,cocci,NA,positive,40.8,NA,NA,NA,37,NA
HG1315102,other,NA,NA,NA,NA,cocci,chain,positive,40.8,NA,NA,NA,37,NA
HF952773,other,NA,flagella,NA,NA,NA,chain,positive,36.1,2.7,1.05,8,45,2
HF952774,other,NA,flagella,NA,NA,NA,NA,positive,39,2.55,0.7,7.5,45,2
AB775178,other,NA,non-motile,NA,NA,ovoid/coccobacillus,NA,positive,38.1,NA,NA,5,NA,2
KF386017,other,anaerobic,non-motile,no,NA,rod,chain,positive,41.3,NA,NA,NA,NA,NA
KF386018,other,anaerobic,non-motile,no,NA,rod,chain,positive,NA,NA,NA,NA,NA,NA
HM159602,other,NA,"motile, but unspecified structure",NA,NA,NA,NA,negative,62.5,NA,NA,7,42,3.4
HM159603,other,obligate aerobe,"motile, but unspecified structure",NA,NA,NA,NA,negative,64,NA,NA,7,42,3.1
HM159602,other,NA,"motile, but unspecified structure",NA,NA,NA,NA,NA,62.5,NA,NA,7,42,3.4
FJ853144,soil,obligate aerobe,non-motile,yes,NA,rod,NA,positive,76.8,NA,NA,9,28,NA
HF569045,other,anaerobic,NA,no,NA,rod,NA,negative,40,NA,NA,7.25,25,0
JX402080,hypersaline environment,obligate aerobe,flagella,yes,no,rod,clump,positive,36.2,NA,0.35,7.25,38.5,NA
JN565849,bioreactor,obligate aerobe,flagella,NA,no,ovoid/coccobacillus,clump,negative,68.5,3.25,NA,7,40,NA
KC525204,other,NA,non-motile,no,yes,rod,NA,NA,NA,NA,NA,NA,27.5,NA
HF569045,bioreactor,anaerobic,flagella,no,NA,rod,NA,negative,40,NA,0.45,7.25,25,0
HG315102,human - mouth,facultative anaerobe,non-motile,no,no,cocci,chain,positive,40.8,NA,NA,6.75,37,NA
FJ429590,hotspring,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,43.5,5.75,0.9,8.5,55,3
KC447383,plant endophyte,facultative anaerobe,flagella,yes,no,rod,NA,variable,57.8,3,0.9,7,28,NA
FJ430056,hotspring,obligate aerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,44.8,5.5,0.8,9,60,0.5
GU086365,seawater,obligate aerobe,flagella,NA,no,ovoid/coccobacillus,clump,negative,60.9,1.5,0.75,7.5,30,NA
JF262039,other,anaerobic,non-motile,no,NA,rod,NA,negative,45.5,1.65,0.45,NA,33,NA
NA,freshwater sediment,facultative anaerobe,"motile, but unspecified structure",no,no,ovoid/coccobacillus,clump,negative,42.6,1,0.5,6.15,19.5,NA
KF590624,other,obligate aerobe,NA,NA,no,NA,NA,positive,49.1,NA,NA,7,55,NA
FJ430012,soil,facultative anaerobe,"motile, but unspecified structure",yes,NA,rod,NA,positive,37.8,NA,NA,8.25,55,0.5
EU200685,other,obligate aerobe,NA,yes,NA,NA,NA,positive,72.6,NA,NA,7.5,28,NA
EU438907,soil,obligate aerobe,NA,NA,NA,NA,NA,positive,68.2,NA,NA,7.25,30,NA
EU438909,soil,NA,NA,NA,NA,NA,chain,positive,69.3,NA,NA,NA,NA,NA
AB445453,other,obligate aerobe,non-motile,NA,NA,NA,NA,positive,72,NA,NA,6.85,26,NA
AB445453,other,obligate aerobe,non-motile,NA,NA,NA,NA,NA,73,NA,NA,NA,25,1
AB445456,other,obligate aerobe,non-motile,NA,NA,NA,NA,positive,74,NA,NA,NA,25,NA
AB445456,other,obligate aerobe,non-motile,NA,NA,NA,NA,positive,74,NA,NA,7.35,26.5,NA
FJ607312,other,obligate aerobe,non-motile,NA,NA,cocci,NA,positive,65.2,NA,NA,NA,33.5,2
FM957483,other,obligate aerobe,non-motile,yes,NA,NA,NA,positive,NA,NA,NA,NA,NA,NA
AY241552,seawater,NA,non-motile,no,yes,rod,clump,negative,56.9,0.7,2.05,8,36,NA
HQ537484,seawater,obligate aerobe,flagella,no,yes,rod,NA,negative,51.5,2.15,0.65,NA,35,NA
EU912445,plant associated,obligate aerobe,"motile, but unspecified structure",no,yes,rod,NA,negative,64.2,1.8,0.45,6.8,28,NA
HM001269,plant associated,obligate aerobe,flagella,no,yes,rod,NA,negative,52.5,1.75,0.4,7.3,29,NA
FJ436725,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,60.1,0.8,0.3,7,28,NA
HM028673,other,obligate aerobe,non-motile,NA,yes,rod,clump,negative,64.6,1.45,1.15,8,30,NA
DQ296030,other,NA,flagella,NA,NA,NA,NA,negative,55.2,3.5,0.45,6.85,24,NA
AB583774,other,obligate aerobe,flagella,NA,yes,rod,clump,negative,49.6,1.58,0.42,7,30,NA
HM212668,other,NA,non-motile,NA,no,ovoid/coccobacillus,NA,negative,NA,1.5,0.75,NA,33.5,NA
HM748766,seawater,obligate aerobe,flagella,NA,yes,rod,NA,negative,57,3.5,0.6,7.5,30,NA
AB586707,hotspring,obligate aerobe,non-motile,no,yes,rod,NA,negative,63.4,5.85,0.4,7.6,50,NA
FN391026,other,obligate aerobe,non-motile,NA,yes,cocci,chain,NA,62.2,NA,2.5,4.9,23,NA
AF357916,freshwater sediment,anaerobic,non-motile,NA,NA,cocci,clump,negative,45.95,NA,1.45,7,27.5,NA
AF357917,freshwater sediment,anaerobic,non-motile,NA,NA,cocci,chain,negative,48.1,NA,1.45,7,27.5,NA
HM214546,other,NA,non-motile,no,yes,cocci,NA,negative,65.6,NA,1.5,6.5,30,NA
HQ123368,other,facultative aerobe,non-motile,no,yes,cocci,NA,positive,36.7,NA,NA,8,30,NA
AJ515913,human - fecal,anaerobic,non-motile,no,NA,cocci,NA,positive,NA,NA,1.1,6.8,39,NA
AB434284,NA,obligate aerobe,non-motile,yes,NA,rod,NA,positive,37.55,1,0.6,9,30,NA
AB490809,human - fecal,anaerobic,non-motile,no,yes,rod,NA,negative,51.3,1.35,0.4,7.5,37,NA
FJ422144,hotspring,obligate aerobe,non-motile,yes,no,NA,NA,positive,47.9,NA,NA,7,55,NA
AB450762,other,anaerobic,non-motile,yes,NA,NA,NA,positive,45.4,NA,NA,7.2,70,NA
AM941160,other,facultative anaerobe,non-motile,no,NA,cocci,chain,positive,41.5,NA,NA,NA,NA,NA
HM484980,other,facultative anaerobe,non-motile,no,yes,cocci,clump,positive,37.2,NA,NA,NA,NA,NA
AB290830,other,anaerobic,non-motile,NA,NA,rod,NA,positive,48.3,0.75,NA,NA,NA,NA
GQ231514,soil,facultative anaerobe,flagella,yes,yes,rod,NA,positive,29.8,3.5,1.35,7.3,30,NA
FR666703,other,obligate aerobe,non-motile,yes,yes,rod,NA,positive,36.5,3.5,0.5,7.5,30,NA
EU257201,other,facultative anaerobe,"motile, but unspecified structure",yes,NA,rod,NA,variable,55.1,3.94,0.725,7,28,NA
HM640986,soil,obligate aerobe,non-motile,no,yes,rod,NA,negative,38.5,3.5,0.35,6.5,30,0
AB282889,other,facultative anaerobe,non-motile,no,NA,rod,NA,positive,48.5,NA,NA,NA,37,NA
GU552681,seawater,obligate aerobe,non-motile,NA,yes,rod,NA,negative,32.4,2.75,0.3,7,30,NA
HQ401023,seawater,obligate aerobe,gliding,no,yes,rod,NA,negative,32.7,5,0.3,7.5,30,NA
EF397578,other,obligate aerobe,flagella,NA,NA,rod,NA,negative,64,2.85,0.6,7,23,NA
HM627214,other,obligate aerobe,non-motile,NA,yes,rod,NA,negative,42.5,1.3,0.7,6.5,27.5,NA
